INCREMENT-CASCADE CERT — coin=AAVE early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  9597      -74  0.98    -133.8 |  6631  -3705.4 |   6121  -3672.6 |     +420     -494 |    -2947 | fail
30  38   2   0.50 |  9597     -164  0.96    -133.8 |  7278  -3752.2 |   6121  -3672.6 |     +341     -505 |    -2985 | fail
30  38   2   0.75 |  9597     -262  0.93    -133.8 |  8047  -3804.9 |   6121  -3672.6 |     +229     -491 |    -3082 | fail
30  38   4   0.20 |  8809     -344  0.90     -73.6 |  6046  -3361.7 |   5548  -3328.8 |     +134     -479 |    -2951 | fail
30  38   4   0.50 |  8809      -66  0.98     -73.6 |  6645  -3406.1 |   5548  -3328.8 |     +451     -516 |    -2655 | fail
30  38   4   0.75 |  8809       +8  1.00     -73.6 |  7408  -3461.4 |   5548  -3328.8 |     +465     -456 |    -2581 | fail
30  38   8   0.20 |  7251     -298  0.89     -73.6 |  4971  -2766.6 |   4561  -2736.6 |       -4     -294 |    -2484 | fail
30  38   8   0.50 |  7251     -337  0.88     -73.6 |  5497  -2805.1 |   4561  -2736.6 |     -148     -189 |    -2491 | fail
30  38   8   0.75 |  7251     -140  0.95     -73.6 |  6103  -2849.7 |   4561  -2736.6 |      -59      -81 |    -2278 | fail
30  38   12  0.20 |  6031     -380  0.84     -60.0 |  4227  -2356.1 |   3890  -2334.0 |      -28     -351 |    -2185 | fail
30  38   12  0.50 |  6031      -29  0.99     -60.0 |  4627  -2386.3 |   3890  -2334.0 |     +302     -331 |    -1807 | fail
30  38   12  0.75 |  6031       -1  1.00     -60.0 |  5120  -2421.1 |   3890  -2334.0 |     +279     -280 |    -1788 | fail
30  60   2   0.20 |  8219       +6  1.00    -133.8 |  5645  -3154.5 |   5210  -3126.0 |     +371     -365 |    -2401 | fail
30  60   2   0.50 |  8219      -48  0.98    -133.8 |  6186  -3192.9 |   5210  -3126.0 |     +306     -354 |    -2408 | fail
30  60   2   0.75 |  8219     -109  0.97    -133.8 |  6870  -3240.3 |   5210  -3126.0 |     +205     -314 |    -2446 | fail
30  60   4   0.20 |  7533     -187  0.94     -73.6 |  5163  -2874.1 |   4744  -2846.4 |     +130     -317 |    -2396 | fail
30  60   4   0.50 |  7533      +38  1.01     -73.6 |  5667  -2911.2 |   4744  -2846.4 |     +327     -290 |    -2179 | fail
30  60   4   0.75 |  7533     +270  1.09     -73.6 |  6294  -2956.5 |   4744  -2846.4 |     +468     -198 |    -2007 | fail
30  60   8   0.20 |  6257     -238  0.90     -73.6 |  4314  -2407.2 |   3970  -2382.0 |       -1     -237 |    -2132 | fail
30  60   8   0.50 |  6257     -209  0.91     -73.6 |  4733  -2438.2 |   3970  -2382.0 |      -97     -111 |    -2092 | fail
30  60   8   0.75 |  6257      -33  0.99     -73.6 |  5269  -2477.5 |   3970  -2382.0 |      -20      -13 |    -1962 | fail
30  60   12  0.20 |  5235     -218  0.89     -60.0 |  3649  -2048.5 |   3385  -2031.0 |      -15     -203 |    -1821 | fail
30  60   12  0.50 |  5235       +4  1.00     -60.0 |  4004  -2074.1 |   3385  -2031.0 |     +120     -116 |    -1549 | fail
30  60   12  0.75 |  5235       +0  1.00     -60.0 |  4407  -2102.6 |   3385  -2031.0 |     +128     -128 |    -1578 | fail
30  100  2   0.20 |  6471      -50  0.98    -133.8 |  4459  -2508.5 |   4145  -2487.0 |     +274     -324 |    -1992 | fail
30  100  2   0.50 |  6471     -116  0.95    -133.8 |  4885  -2538.2 |   4145  -2487.0 |     +254     -370 |    -2032 | fail
30  100  2   0.75 |  6471      -80  0.97    -133.8 |  5448  -2578.0 |   4145  -2487.0 |     +235     -315 |    -1994 | fail
30  100  4   0.20 |  5955     -284  0.88     -60.0 |  4138  -2305.4 |   3809  -2285.4 |      +75     -359 |    -2053 | fail
30  100  4   0.50 |  5955     -246  0.89     -60.0 |  4529  -2333.6 |   3809  -2285.4 |     +133     -379 |    -1965 | fail
30  100  4   0.75 |  5955      -12  0.99     -60.0 |  5017  -2368.1 |   3809  -2285.4 |     +331     -343 |    -1777 | fail
30  100  8   0.20 |  5030     -225  0.88     -60.0 |  3469  -1929.5 |   3180  -1908.0 |      +10     -235 |    -1724 | fail
30  100  8   0.50 |  5030     -161  0.92     -60.0 |  3815  -1954.9 |   3180  -1908.0 |      +40     -202 |    -1574 | fail
30  100  8   0.75 |  5030     -132  0.93     -60.0 |  4228  -1984.5 |   3180  -1908.0 |       +9     -141 |    -1540 | fail
30  100  12  0.20 |  4214     -181  0.89     -60.0 |  2942  -1642.2 |   2712  -1627.2 |      +37     -218 |    -1442 | fail
30  100  12  0.50 |  4214     +117  1.07     -60.0 |  3207  -1661.0 |   2712  -1627.2 |     +297     -180 |    -1115 | fail
30  100  12  0.75 |  4214      +54  1.03     -60.0 |  3546  -1685.4 |   2712  -1627.2 |     +220     -166 |    -1147 | fail
60  38   2   0.20 |  9597    -1063  0.79    -133.8 |  6236  -5120.8 |   5648  -5083.2 |     -122     -941 |    -3931 | fail
60  38   2   0.50 |  9597    -1079  0.79    -133.8 |  6982  -5174.6 |   5648  -5083.2 |     -175     -904 |    -3905 | fail
60  38   2   0.75 |  9597    -1186  0.77    -133.8 |  7851  -5234.5 |   5648  -5083.2 |     -298     -887 |    -4003 | fail
60  38   4   0.20 |  8809    -1158  0.75     -90.0 |  5642  -4589.3 |   5055  -4549.5 |     -317     -841 |    -3776 | fail
60  38   4   0.50 |  8809     -746  0.84     -90.0 |  6326  -4639.8 |   5055  -4549.5 |      +69     -815 |    -3329 | fail
60  38   4   0.75 |  8809     -627  0.87     -95.6 |  7204  -4704.2 |   5055  -4549.5 |     +142     -769 |    -3244 | fail
60  38   8   0.20 |  7251     -999  0.74     -90.0 |  4652  -3785.3 |   4166  -3749.4 |     -369     -630 |    -3159 | fail
60  38   8   0.50 |  7251    -1004  0.74     -90.0 |  5267  -3830.4 |   4166  -3749.4 |     -528     -476 |    -3131 | fail
60  38   8   0.75 |  7251     -832  0.79     -90.0 |  5957  -3881.5 |   4166  -3749.4 |     -457     -375 |    -2910 | fail
60  38   12  0.20 |  6031     -973  0.70     -90.0 |  3938  -3214.2 |   3543  -3188.7 |     -337     -636 |    -2764 | fail
