INCREMENT-CASCADE CERT — coin=ADA early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4961     +121  1.06     -60.0 |  3444  -1938.0 |   3204  -1922.4 |     +194      -73 |    -1414 | fail
30  38   2   0.50 |  4961      +71  1.04     -60.0 |  3750  -1960.7 |   3204  -1922.4 |     +176     -105 |    -1439 | fail
30  38   2   0.75 |  4961     +129  1.06     -60.0 |  4173  -1990.2 |   3204  -1922.4 |     +124       +5 |    -1350 | fail
30  38   4   0.20 |  5336     +127  1.06     -60.0 |  3723  -2082.2 |   3440  -2064.0 |     +338     -211 |    -1445 | fail
30  38   4   0.50 |  5336      +98  1.05     -60.0 |  4060  -2105.8 |   3440  -2064.0 |     +142      -43 |    -1417 | fail
30  38   4   0.75 |  5336     +187  1.09     -60.0 |  4482  -2134.9 |   3440  -2064.0 |     +272      -85 |    -1297 | fail
30  38   8   0.20 |  4828      +16  1.01     -60.0 |  3393  -1888.9 |   3123  -1873.8 |     +123     -107 |    -1458 | fail
30  38   8   0.50 |  4828     +296  1.15     -60.0 |  3711  -1911.5 |   3123  -1873.8 |     +287       +9 |    -1097 | fail
30  38   8   0.75 |  4827     +439  1.23     -60.0 |  4136  -1939.8 |   3123  -1873.8 |     +317     +122 |     -965 | fail
30  38   12  0.20 |  4436      -22  0.99     -60.0 |  3144  -1764.3 |   2917  -1750.2 |      +13      -35 |    -1355 | fail
30  38   12  0.50 |  4436      -62  0.97     -60.0 |  3446  -1786.0 |   2917  -1750.2 |       -5      -57 |    -1312 | fail
30  38   12  0.75 |  4436      +78  1.04     -60.0 |  3787  -1809.2 |   2917  -1750.2 |      +46      +32 |    -1161 | fail
30  60   2   0.20 |  4367      +80  1.05     -60.0 |  3007  -1698.7 |   2810  -1686.0 |     +159      -79 |    -1271 | fail
30  60   2   0.50 |  4367      +19  1.01     -60.0 |  3287  -1719.0 |   2810  -1686.0 |     +100      -81 |    -1267 | fail
30  60   2   0.75 |  4367     +151  1.09     -60.0 |  3651  -1745.0 |   2810  -1686.0 |       +6     +145 |    -1175 | fail
30  60   4   0.20 |  4659     +204  1.11     -60.0 |  3217  -1793.4 |   2961  -1776.6 |     +304     -100 |    -1213 | fail
30  60   4   0.50 |  4659     +227  1.12     -60.0 |  3523  -1815.6 |   2961  -1776.6 |     +134      +93 |    -1167 | fail
30  60   4   0.75 |  4659     +346  1.19     -60.0 |  3885  -1840.6 |   2961  -1776.6 |     +202     +144 |    -1050 | fail
30  60   8   0.20 |  4180      +83  1.05     -60.0 |  2926  -1631.5 |   2695  -1617.0 |     +147      -64 |    -1226 | fail
30  60   8   0.50 |  4180     +358  1.22     -60.0 |  3204  -1651.8 |   2695  -1617.0 |     +307      +50 |     -918 | fail
30  60   8   0.75 |  4179     +586  1.35     -60.0 |  3541  -1675.1 |   2695  -1617.0 |     +356     +230 |     -793 | fail
30  60   12  0.20 |  3859      +17  1.01     -60.0 |  2708  -1506.6 |   2489  -1493.4 |      +62      -45 |    -1122 | fail
30  60   12  0.50 |  3859      +10  1.01     -60.0 |  2946  -1524.5 |   2489  -1493.4 |      +44      -34 |    -1057 | fail
30  60   12  0.75 |  3859     +226  1.15     -60.0 |  3274  -1547.0 |   2489  -1493.4 |      +73     +153 |     -836 | fail
30  100  2   0.20 |  3543       +4  1.00     -60.0 |  2437  -1367.0 |   2259  -1355.4 |     +109     -105 |    -1075 | fail
30  100  2   0.50 |  3543      -31  0.98     -60.0 |  2689  -1384.5 |   2259  -1355.4 |      +35      -67 |    -1082 | fail
30  100  2   0.75 |  3543      +88  1.06     -60.0 |  2975  -1406.1 |   2259  -1355.4 |      +22      +65 |    -1042 | fail
30  100  4   0.20 |  3766     +177  1.12     -60.0 |  2590  -1445.7 |   2387  -1432.2 |     +233      -55 |     -937 | fail
30  100  4   0.50 |  3766     +260  1.18     -60.0 |  2849  -1464.8 |   2387  -1432.2 |     +120     +140 |     -839 | fail
30  100  4   0.75 |  3766     +358  1.24     -60.0 |  3139  -1484.9 |   2387  -1432.2 |     +177     +181 |     -731 | fail
30  100  8   0.20 |  3372      +62  1.05     -60.0 |  2310  -1289.5 |   2131  -1278.6 |     +103      -42 |    -1014 | fail
30  100  8   0.50 |  3372     +303  1.23     -60.0 |  2560  -1307.0 |   2131  -1278.6 |     +189     +114 |     -785 | fail
30  100  8   0.75 |  3371     +377  1.28     -60.0 |  2848  -1327.1 |   2131  -1278.6 |     +251     +126 |     -667 | fail
30  100  12  0.20 |  3134      +79  1.06     -60.0 |  2202  -1226.6 |   2027  -1216.2 |      +85       -6 |     -858 | fail
30  100  12  0.50 |  3134      +88  1.07     -60.0 |  2384  -1240.3 |   2027  -1216.2 |      +50      +37 |     -836 | fail
30  100  12  0.75 |  3134     +207  1.16     -60.0 |  2654  -1258.8 |   2027  -1216.2 |      +49     +158 |     -714 | fail
