INCREMENT-CASCADE CERT — coin=ATOM early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  3322     -477  0.63     -60.0 |  2372  -1297.7 |   2138  -1282.8 |     -248     -230 |    -1497 | fail
30  38   2   0.50 |  3322     -411  0.69     -60.0 |  2620  -1316.2 |   2138  -1282.8 |     -269     -142 |    -1417 | fail
30  38   2   0.75 |  3322     -432  0.68     -60.0 |  2885  -1335.1 |   2138  -1282.8 |     -254     -178 |    -1447 | fail
30  38   4   0.20 |  3734     -724  0.51     -60.0 |  2731  -1486.8 |   2448  -1468.8 |     -391     -333 |    -1861 | fail
30  38   4   0.50 |  3734     -721  0.52     -60.0 |  2989  -1504.6 |   2448  -1468.8 |     -377     -344 |    -1838 | fail
30  38   4   0.75 |  3734     -768  0.50     -60.0 |  3290  -1526.2 |   2448  -1468.8 |     -385     -383 |    -1900 | fail
30  38   8   0.20 |  3212     -617  0.52     -60.0 |  2358  -1291.1 |   2127  -1276.2 |     -331     -286 |    -1593 | fail
30  38   8   0.50 |  3212     -635  0.51     -60.0 |  2579  -1306.7 |   2127  -1276.2 |     -372     -263 |    -1613 | fail
30  38   8   0.75 |  3212     -691  0.48     -60.0 |  2833  -1324.8 |   2127  -1276.2 |     -352     -339 |    -1659 | fail
30  38   12  0.20 |  2832     -520  0.54     -60.0 |  2078  -1135.3 |   1870  -1122.0 |     -302     -218 |    -1372 | fail
30  38   12  0.50 |  2832     -505  0.56     -60.0 |  2250  -1148.0 |   1870  -1122.0 |     -320     -186 |    -1381 | fail
30  38   12  0.75 |  2832     -540  0.54     -60.0 |  2468  -1164.0 |   1870  -1122.0 |     -292     -248 |    -1414 | fail
30  60   2   0.20 |  2765     -405  0.62     -60.0 |  1972  -1077.4 |   1775  -1065.0 |     -246     -159 |    -1205 | fail
30  60   2   0.50 |  2765     -359  0.67     -60.0 |  2176  -1092.5 |   1775  -1065.0 |     -269      -90 |    -1150 | fail
30  60   2   0.75 |  2765     -371  0.66     -60.0 |  2394  -1107.6 |   1775  -1065.0 |     -275      -97 |    -1159 | fail
30  60   4   0.20 |  3084     -541  0.55     -60.0 |  2215  -1210.5 |   1995  -1197.0 |     -291     -251 |    -1461 | fail
30  60   4   0.50 |  3084     -509  0.59     -60.0 |  2434  -1227.2 |   1995  -1197.0 |     -279     -230 |    -1431 | fail
30  60   4   0.75 |  3084     -555  0.55     -60.0 |  2687  -1245.0 |   1995  -1197.0 |     -287     -267 |    -1473 | fail
30  60   8   0.20 |  2697     -538  0.50     -60.0 |  1974  -1077.7 |   1776  -1065.6 |     -290     -248 |    -1351 | fail
30  60   8   0.50 |  2697     -539  0.51     -60.0 |  2164  -1091.9 |   1776  -1065.6 |     -322     -217 |    -1381 | fail
30  60   8   0.75 |  2697     -579  0.48     -60.0 |  2366  -1106.3 |   1776  -1065.6 |     -331     -248 |    -1432 | fail
30  60   12  0.20 |  2416     -445  0.54     -60.0 |  1768   -961.0 |   1583   -949.8 |     -274     -172 |    -1176 | fail
30  60   12  0.50 |  2416     -411  0.58     -60.0 |  1918   -972.2 |   1583   -949.8 |     -283     -128 |    -1155 | fail
30  60   12  0.75 |  2416     -454  0.54     -60.0 |  2108   -986.4 |   1583   -949.8 |     -291     -163 |    -1185 | fail
30  100  2   0.20 |  2155     -314  0.62     -60.0 |  1526   -835.2 |   1376   -825.6 |     -164     -149 |     -948 | fail
30  100  2   0.50 |  2155     -297  0.65     -60.0 |  1692   -847.3 |   1376   -825.6 |     -190     -107 |     -917 | fail
30  100  2   0.75 |  2155     -295  0.66     -60.0 |  1867   -859.8 |   1376   -825.6 |     -193     -103 |     -901 | fail
30  100  4   0.20 |  2354     -427  0.54     -60.0 |  1694   -927.8 |   1529   -917.4 |     -242     -185 |    -1146 | fail
30  100  4   0.50 |  2354     -431  0.54     -60.0 |  1875   -941.0 |   1529   -917.4 |     -226     -205 |    -1140 | fail
