INCREMENT-CASCADE CERT — coin=AVAX early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 | 12827     +162  1.03     -60.0 |  8762  -4901.0 |   8098  -4858.8 |     +825     -664 |    -3778 | fail
30  38   2   0.50 | 12827     +272  1.05     -60.0 |  9595  -4962.0 |   8098  -4858.8 |     +796     -524 |    -3589 | fail
30  38   2   0.75 | 12827     +394  1.08     -60.0 | 10733  -5049.0 |   8098  -4858.8 |     +828     -434 |    -3526 | fail
30  38   4   0.20 | 10932     -260  0.94     -60.0 |  7553  -4196.1 |   6922  -4153.2 |     +311     -570 |    -3561 | fail
30  38   4   0.50 | 10932      -75  0.98     -60.0 |  8254  -4247.9 |   6922  -4153.2 |     +361     -436 |    -3346 | fail
30  38   4   0.75 | 10932     +391  1.09     -60.0 |  9170  -4317.7 |   6922  -4153.2 |     +832     -440 |    -2916 | fail
30  38   8   0.20 |  8370      -64  0.98     -60.0 |  5794  -3219.7 |   5311  -3186.6 |     +438     -502 |    -2598 | fail
30  38   8   0.50 |  8370     -237  0.93     -60.0 |  6338  -3260.4 |   5311  -3186.6 |      +55     -292 |    -2707 | fail
30  38   8   0.75 |  8370      -48  0.99     -60.0 |  7063  -3315.5 |   5311  -3186.6 |     +259     -307 |    -2475 | fail
30  38   12  0.20 |  6706      +12  1.00     -60.0 |  4635  -2582.1 |   4260  -2556.0 |     +324     -311 |    -2016 | fail
30  38   12  0.50 |  6706     +130  1.05     -60.0 |  5062  -2613.2 |   4260  -2556.0 |     +395     -265 |    -1841 | fail
30  38   12  0.75 |  6706     +154  1.06     -60.0 |  5579  -2650.0 |   4260  -2556.0 |     +404     -250 |    -1824 | fail
30  60   2   0.20 | 10662     +235  1.06     -60.0 |  7282  -4067.6 |   6719  -4031.4 |     +751     -517 |    -2947 | fail
30  60   2   0.50 | 10662     +256  1.06     -60.0 |  7938  -4116.6 |   6719  -4031.4 |     +717     -461 |    -2847 | fail
30  60   2   0.75 | 10662     +431  1.10     -60.0 |  8865  -4186.9 |   6719  -4031.4 |     +796     -365 |    -2644 | fail
30  60   4   0.20 |  9202     -110  0.97     -60.0 |  6338  -3543.1 |   5850  -3510.0 |     +246     -356 |    -2865 | fail
