INCREMENT-CASCADE CERT — coin=BCH early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 | 12701    -1135  0.78     -60.0 |  9166  -5089.3 |   8396  -5037.6 |     -624     -511 |    -4964 | fail
30  38   2   0.50 | 12701     -978  0.81     -60.0 | 10013  -5150.6 |   8396  -5037.6 |     -443     -535 |    -4792 | fail
30  38   2   0.75 | 12701     -764  0.85     -60.0 | 10925  -5217.3 |   8396  -5037.6 |     -240     -524 |    -4640 | fail
30  38   4   0.20 | 10524     -790  0.81     -60.0 |  7643  -4245.3 |   7004  -4202.4 |     -544     -246 |    -3953 | fail
30  38   4   0.50 | 10524     -838  0.80     -60.0 |  8328  -4295.1 |   7004  -4202.4 |     -449     -388 |    -3951 | fail
30  38   4   0.75 | 10524     -670  0.85     -60.0 |  9070  -4348.2 |   7004  -4202.4 |     -259     -411 |    -3809 | fail
30  38   8   0.20 |  7936     -278  0.91     -60.0 |  5745  -3186.9 |   5254  -3152.4 |     -243      -36 |    -2659 | fail
30  38   8   0.50 |  7936     -323  0.90     -60.0 |  6268  -3225.1 |   5254  -3152.4 |     -202     -121 |    -2684 | fail
30  38   8   0.75 |  7936     -365  0.89     -60.0 |  6819  -3264.4 |   5254  -3152.4 |     -175     -191 |    -2808 | fail
30  38   12  0.20 |  6729     -228  0.92     -60.0 |  4901  -2725.6 |   4496  -2697.6 |     -261      +33 |    -2229 | fail
30  38   12  0.50 |  6729     -108  0.96     -60.0 |  5353  -2758.3 |   4496  -2697.6 |      -75      -34 |    -2059 | fail
30  38   12  0.75 |  6729      +25  1.01     -60.0 |  5801  -2790.1 |   4496  -2697.6 |      +69      -44 |    -1991 | fail
30  60   2   0.20 | 10011     -629  0.84     -60.0 |  7181  -3991.0 |   6585  -3951.0 |     -405     -224 |    -3635 | fail
30  60   2   0.50 | 10011     -390  0.90     -60.0 |  7820  -4036.9 |   6585  -3951.0 |     -308      -82 |    -3382 | fail
30  60   2   0.75 | 10011     -197  0.95     -60.0 |  8556  -4089.0 |   6585  -3951.0 |     -136      -61 |    -3229 | fail
30  60   4   0.20 |  8409     -432  0.87     -60.0 |  6057  -3356.0 |   5535  -3321.0 |     -374      -58 |    -2979 | fail
30  60   4   0.50 |  8409     -399  0.88     -60.0 |  6587  -3394.2 |   5535  -3321.0 |     -329      -70 |    -2913 | fail
30  60   4   0.75 |  8409     -235  0.93     -60.0 |  7195  -3436.1 |   5535  -3321.0 |     -150      -85 |    -2762 | fail
30  60   8   0.20 |  6507     -157  0.94     -60.0 |  4662  -2595.8 |   4281  -2568.6 |     -209      +52 |    -2115 | fail
30  60   8   0.50 |  6507     -104  0.96     -60.0 |  5103  -2626.1 |   4281  -2568.6 |     -128      +24 |    -2015 | fail
30  60   8   0.75 |  6507     -113  0.96     -60.0 |  5570  -2659.0 |   4281  -2568.6 |     -109       -4 |    -2050 | fail
30  60   12  0.20 |  5544      -83  0.96     -60.0 |  4002  -2224.9 |   3668  -2200.8 |     -216     +133 |    -1743 | fail
30  60   12  0.50 |  5544      +51  1.02     -60.0 |  4345  -2249.4 |   3668  -2200.8 |      -92     +143 |    -1562 | fail
