INCREMENT-CASCADE CERT — coin=BNB early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4345     -336  0.80     -60.0 |  3025  -1671.0 |   2756  -1653.6 |      +71     -407 |    -1639 | fail
30  38   2   0.50 |  4345     -135  0.92     -60.0 |  3351  -1695.6 |   2756  -1653.6 |     +285     -420 |    -1420 | fail
30  38   2   0.75 |  4345      -84  0.95     -60.0 |  3726  -1722.9 |   2756  -1653.6 |     +355     -438 |    -1383 | fail
30  38   4   0.20 |  4556     -597  0.66     -60.0 |  3221  -1755.1 |   2889  -1733.4 |     -118     -479 |    -1971 | fail
30  38   4   0.50 |  4556     -494  0.72     -60.0 |  3547  -1779.9 |   2889  -1733.4 |      -56     -438 |    -1861 | fail
30  38   4   0.75 |  4556     -361  0.80     -60.0 |  3931  -1807.6 |   2889  -1733.4 |      +87     -448 |    -1740 | fail
30  38   8   0.20 |  4203     -592  0.64     -60.0 |  3000  -1634.6 |   2690  -1614.0 |     -228     -364 |    -1876 | fail
30  38   8   0.50 |  4203     -485  0.71     -60.0 |  3320  -1657.9 |   2690  -1614.0 |     -106     -379 |    -1727 | fail
30  38   8   0.75 |  4203     -114  0.93     -60.0 |  3666  -1680.8 |   2690  -1614.0 |     +260     -374 |    -1414 | fail
30  38   12  0.20 |  3730     -666  0.55     -60.0 |  2685  -1464.4 |   2410  -1446.0 |     -222     -444 |    -1752 | fail
30  38   12  0.50 |  3730      -21  0.99     -60.0 |  2979  -1486.1 |   2410  -1446.0 |     +434     -455 |    -1094 | fail
30  38   12  0.75 |  3730     +127  1.08     -60.0 |  3273  -1506.6 |   2410  -1446.0 |     +586     -459 |     -990 | fail
30  60   2   0.20 |  3729     -191  0.86     -60.0 |  2565  -1414.5 |   2332  -1399.2 |      +85     -276 |    -1365 | fail
30  60   2   0.50 |  3729      -58  0.96     -60.0 |  2837  -1434.7 |   2332  -1399.2 |     +205     -263 |    -1256 | fail
30  60   2   0.75 |  3729      +86  1.06     -60.0 |  3164  -1458.5 |   2332  -1399.2 |     +364     -278 |    -1170 | fail
