INCREMENT-CASCADE CERT — coin=BTC early=1 bars=48567 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4799     -816  0.57     -60.0 |  3494  -1910.5 |   3145  -1887.0 |     -411     -405 |    -2258 | fail
30  38   2   0.50 |  4799     -685  0.65     -60.0 |  3826  -1934.7 |   3145  -1887.0 |     -317     -367 |    -2093 | fail
30  38   2   0.75 |  4799     -701  0.64     -60.0 |  4168  -1959.4 |   3145  -1887.0 |     -330     -372 |    -2162 | fail
30  38   4   0.20 |  4844     -906  0.54     -60.0 |  3556  -1948.8 |   3208  -1924.8 |     -431     -475 |    -2326 | fail
30  38   4   0.50 |  4844     -668  0.66     -60.0 |  3888  -1974.0 |   3208  -1924.8 |     -309     -359 |    -2089 | fail
30  38   4   0.75 |  4844     -631  0.68     -60.0 |  4212  -1997.4 |   3208  -1924.8 |     -327     -304 |    -2092 | fail
30  38   8   0.20 |  4235     -851  0.50     -60.0 |  3105  -1692.2 |   2785  -1671.0 |     -292     -559 |    -2126 | fail
30  38   8   0.50 |  4235     -662  0.61     -60.0 |  3405  -1715.3 |   2785  -1671.0 |     -178     -484 |    -1912 | fail
30  38   8   0.75 |  4235     -570  0.67     -60.0 |  3718  -1738.1 |   2785  -1671.0 |     -158     -411 |    -1869 | fail
30  38   12  0.20 |  3795     -818  0.46     -60.0 |  2786  -1519.8 |   2500  -1500.0 |     -315     -503 |    -1917 | fail
30  38   12  0.50 |  3795     -569  0.63     -60.0 |  3058  -1539.0 |   2500  -1500.0 |     -150     -419 |    -1675 | fail
30  38   12  0.75 |  3795     -522  0.66     -60.0 |  3341  -1558.7 |   2500  -1500.0 |     -109     -414 |    -1648 | fail
30  60   2   0.20 |  3924     -719  0.54     -60.0 |  2891  -1570.0 |   2582  -1549.2 |     -346     -374 |    -1914 | fail
30  60   2   0.50 |  3924     -572  0.64     -60.0 |  3141  -1589.9 |   2582  -1549.2 |     -259     -312 |    -1765 | fail
30  60   2   0.75 |  3924     -608  0.62     -60.0 |  3416  -1609.0 |   2582  -1549.2 |     -284     -324 |    -1831 | fail
30  60   4   0.20 |  3931     -741  0.53     -60.0 |  2896  -1581.7 |   2601  -1560.6 |     -337     -403 |    -1916 | fail
30  60   4   0.50 |  3931     -563  0.65     -60.0 |  3157  -1601.8 |   2601  -1560.6 |     -253     -310 |    -1734 | fail
30  60   4   0.75 |  3931     -505  0.69     -60.0 |  3424  -1621.2 |   2601  -1560.6 |     -251     -255 |    -1737 | fail
30  60   8   0.20 |  3452     -691  0.50     -60.0 |  2529  -1384.0 |   2278  -1366.8 |     -214     -477 |    -1724 | fail
30  60   8   0.50 |  3452     -506  0.64     -60.0 |  2805  -1405.7 |   2278  -1366.8 |      -73     -433 |    -1523 | fail
30  60   8   0.75 |  3452     -422  0.70     -60.0 |  3038  -1422.0 |   2278  -1366.8 |      -57     -365 |    -1491 | fail
30  60   12  0.20 |  3108     -601  0.51     -60.0 |  2285  -1237.9 |   2034  -1220.4 |     -198     -403 |    -1548 | fail
30  60   12  0.50 |  3108     -421  0.66     -60.0 |  2506  -1254.7 |   2034  -1220.4 |      -72     -350 |    -1366 | fail
30  60   12  0.75 |  3108     -355  0.72     -60.0 |  2708  -1268.4 |   2034  -1220.4 |      -38     -316 |    -1325 | fail
30  100  2   0.20 |  2947     -541  0.54     -60.0 |  2158  -1174.5 |   1933  -1159.8 |     -254     -287 |    -1440 | fail
30  100  2   0.50 |  2947     -484  0.59     -60.0 |  2357  -1189.8 |   1933  -1159.8 |     -234     -251 |    -1363 | fail
30  100  2   0.75 |  2947     -473  0.61     -60.0 |  2573  -1205.7 |   1933  -1159.8 |     -246     -228 |    -1386 | fail
30  100  4   0.20 |  2923     -556  0.52     -60.0 |  2144  -1165.6 |   1917  -1150.2 |     -252     -303 |    -1424 | fail
30  100  4   0.50 |  2923     -427  0.64     -60.0 |  2352  -1181.6 |   1917  -1150.2 |     -187     -240 |    -1271 | fail
30  100  4   0.75 |  2923     -385  0.68     -60.0 |  2560  -1196.0 |   1917  -1150.2 |     -181     -204 |    -1271 | fail
30  100  8   0.20 |  2597     -496  0.52     -60.0 |  1910  -1036.6 |   1706  -1023.6 |     -184     -312 |    -1292 | fail
30  100  8   0.50 |  2597     -356  0.66     -60.0 |  2114  -1051.9 |   1706  -1023.6 |      -91     -265 |    -1152 | fail
30  100  8   0.75 |  2597     -263  0.75     -60.0 |  2275  -1062.3 |   1706  -1023.6 |      -62     -201 |    -1105 | fail
30  100  12  0.20 |  2351     -452  0.52     -60.0 |  1719   -945.6 |   1558   -934.8 |     -158     -295 |    -1139 | fail
30  100  12  0.50 |  2351     -333  0.65     -60.0 |  1889   -957.3 |   1558   -934.8 |      -68     -265 |    -1017 | fail
30  100  12  0.75 |  2351     -285  0.71     -60.0 |  2059   -968.7 |   1558   -934.8 |      -28     -256 |     -984 | fail
60  38   2   0.20 |  4799    -1251  0.51     -90.0 |  3231  -2526.9 |   2774  -2496.6 |     -700     -551 |    -2673 | fail
60  38   2   0.50 |  4799    -1138  0.56     -90.0 |  3651  -2558.3 |   2774  -2496.6 |     -614     -524 |    -2523 | fail
60  38   2   0.75 |  4799    -1154  0.55     -90.0 |  4068  -2587.7 |   2774  -2496.6 |     -632     -522 |    -2582 | fail
60  38   4   0.20 |  4844    -1297  0.49     -90.0 |  3250  -2539.2 |   2785  -2506.5 |     -686     -611 |    -2697 | fail
60  38   4   0.50 |  4844    -1069  0.58     -90.0 |  3679  -2571.3 |   2785  -2506.5 |     -579     -490 |    -2449 | fail
60  38   4   0.75 |  4844    -1036  0.60     -90.0 |  4097  -2601.2 |   2785  -2506.5 |     -600     -436 |    -2453 | fail
60  38   8   0.20 |  4234    -1187  0.46     -90.0 |  2841  -2192.1 |   2403  -2162.7 |     -510     -677 |    -2451 | fail
60  38   8   0.50 |  4234     -996  0.55     -90.0 |  3236  -2222.6 |   2403  -2162.7 |     -400     -596 |    -2219 | fail
60  38   8   0.75 |  4234     -896  0.60     -90.0 |  3618  -2249.8 |   2403  -2162.7 |     -393     -502 |    -2170 | fail
60  38   12  0.20 |  3795    -1100  0.44     -90.0 |  2523  -1951.1 |   2138  -1924.2 |     -485     -615 |    -2197 | fail
60  38   12  0.50 |  3795     -843  0.57     -90.0 |  2887  -1977.2 |   2138  -1924.2 |     -316     -527 |    -1938 | fail
60  38   12  0.75 |  3795     -783  0.61     -90.0 |  3237  -2001.3 |   2138  -1924.2 |     -267     -515 |    -1916 | fail
60  60   2   0.20 |  3924    -1047  0.49     -90.0 |  2658  -2059.0 |   2258  -2032.2 |     -576     -471 |    -2224 | fail
60  60   2   0.50 |  3924     -927  0.56     -90.0 |  2989  -2085.4 |   2258  -2032.2 |     -500     -427 |    -2083 | fail
60  60   2   0.75 |  3924     -956  0.55     -90.0 |  3335  -2109.2 |   2258  -2032.2 |     -535     -421 |    -2135 | fail
60  60   4   0.20 |  3931    -1029  0.50     -90.0 |  2634  -2041.5 |   2236  -2012.4 |     -512     -517 |    -2187 | fail
60  60   4   0.50 |  3931     -862  0.58     -90.0 |  2977  -2067.3 |   2236  -2012.4 |     -443     -419 |    -2005 | fail
60  60   4   0.75 |  3931     -795  0.62     -90.0 |  3327  -2092.6 |   2236  -2012.4 |     -436     -360 |    -2008 | fail
60  60   8   0.20 |  3452     -983  0.45     -90.0 |  2317  -1796.9 |   1969  -1772.1 |     -391     -592 |    -2010 | fail
60  60   8   0.50 |  3452     -816  0.55     -90.0 |  2676  -1824.9 |   1969  -1772.1 |     -262     -554 |    -1816 | fail
60  60   8   0.75 |  3452     -719  0.61     -90.0 |  2963  -1844.7 |   1969  -1772.1 |     -240     -478 |    -1777 | fail
60  60   12  0.20 |  3108     -836  0.48     -90.0 |  2083  -1596.3 |   1746  -1571.4 |     -337     -500 |    -1771 | fail
60  60   12  0.50 |  3108     -642  0.60     -90.0 |  2380  -1618.0 |   1746  -1571.4 |     -193     -448 |    -1554 | fail
60  60   12  0.75 |  3108     -574  0.65     -90.0 |  2628  -1634.4 |   1746  -1571.4 |     -151     -423 |    -1509 | fail
60  100  2   0.20 |  2947     -832  0.47     -90.0 |  2003  -1564.7 |   1718  -1546.2 |     -444     -388 |    -1723 | fail
60  100  2   0.50 |  2947     -781  0.51     -90.0 |  2259  -1584.6 |   1718  -1546.2 |     -426     -355 |    -1661 | fail
60  100  2   0.75 |  2947     -782  0.51     -90.0 |  2519  -1603.4 |   1718  -1546.2 |     -446     -336 |    -1688 | fail
60  100  4   0.20 |  2923     -813  0.47     -90.0 |  1966  -1526.3 |   1673  -1505.7 |     -415     -397 |    -1667 | fail
