INCREMENT-CASCADE CERT — coin=COMP early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  6632     -235  0.91     -60.0 |  4718  -2619.2 |   4324  -2594.4 |      -79     -156 |    -2218 | fail
30  38   2   0.50 |  6632     -443  0.83     -60.0 |  5185  -2652.6 |   4324  -2594.4 |      -98     -345 |    -2402 | fail
30  38   2   0.75 |  6632     -443  0.84     -60.0 |  5723  -2692.9 |   4324  -2594.4 |     -103     -340 |    -2415 | fail
30  38   4   0.20 |  5940     -320  0.87     -60.0 |  4289  -2374.2 |   3917  -2350.2 |     -140     -180 |    -2073 | fail
30  38   4   0.50 |  5940     -621  0.74     -60.0 |  4711  -2404.7 |   3917  -2350.2 |     -251     -370 |    -2362 | fail
30  38   4   0.75 |  5940     -476  0.80     -60.0 |  5189  -2440.1 |   3917  -2350.2 |     -278     -198 |    -2224 | fail
30  38   8   0.20 |  4635     -113  0.94     -60.0 |  3290  -1821.0 |   3006  -1803.6 |      +15     -129 |    -1501 | fail
30  38   8   0.50 |  4635     -230  0.88     -60.0 |  3635  -1846.1 |   3006  -1803.6 |      -24     -206 |    -1630 | fail
30  38   8   0.75 |  4635     -190  0.90     -60.0 |  3972  -1871.5 |   3006  -1803.6 |      -83     -106 |    -1578 | fail
30  38   12  0.20 |  3959     -280  0.82     -60.0 |  2858  -1575.2 |   2598  -1558.8 |     -184      -96 |    -1464 | fail
30  38   12  0.50 |  3959     -461  0.71     -60.0 |  3122  -1594.9 |   2598  -1558.8 |     -164     -297 |    -1643 | fail
30  38   12  0.75 |  3959     -196  0.88     -60.0 |  3428  -1617.7 |   2598  -1558.8 |      -53     -142 |    -1388 | fail
30  60   2   0.20 |  5393       +2  1.00     -60.0 |  3804  -2113.1 |   3489  -2093.4 |      -29      +31 |    -1605 | fail
