INCREMENT-CASCADE CERT — coin=CRV early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  7830     -543  0.82     -60.0 |  5581  -3077.6 |   5075  -3045.0 |      -53     -489 |    -2903 | fail
30  38   2   0.50 |  7830     -424  0.86     -60.0 |  6072  -3112.5 |   5075  -3045.0 |      +72     -495 |    -2746 | fail
30  38   2   0.75 |  7830     -373  0.88     -60.0 |  6682  -3157.9 |   5075  -3045.0 |     +159     -532 |    -2730 | fail
30  38   4   0.20 |  6724     -434  0.84     -60.0 |  4831  -2669.7 |   4403  -2641.8 |     -239     -196 |    -2417 | fail
30  38   4   0.50 |  6724     -314  0.88     -60.0 |  5267  -2700.7 |   4403  -2641.8 |     -114     -200 |    -2292 | fail
30  38   4   0.75 |  6724     -264  0.90     -60.0 |  5760  -2736.5 |   4403  -2641.8 |      -34     -230 |    -2290 | fail
30  38   8   0.20 |  5277     -459  0.78     -60.0 |  3802  -2105.5 |   3474  -2084.4 |     -242     -217 |    -2052 | fail
30  38   8   0.50 |  5277     -447  0.79     -60.0 |  4132  -2129.0 |   3474  -2084.4 |     -224     -223 |    -1988 | fail
30  38   8   0.75 |  5277     -501  0.77     -60.0 |  4509  -2157.2 |   3474  -2084.4 |     -235     -265 |    -2071 | fail
30  38   12  0.20 |  4364     -536  0.70     -60.0 |  3170  -1759.3 |   2902  -1741.2 |     -245     -290 |    -1867 | fail
30  38   12  0.50 |  4364     -597  0.66     -60.0 |  3461  -1780.6 |   2902  -1741.2 |     -244     -353 |    -1871 | fail
30  38   12  0.75 |  4364     -501  0.72     -60.0 |  3759  -1802.7 |   2902  -1741.2 |     -129     -372 |    -1823 | fail
30  60   2   0.20 |  6410     -398  0.84     -60.0 |  4537  -2530.7 |   4181  -2508.6 |      -36     -362 |    -2288 | fail
30  60   2   0.50 |  6410     -350  0.86     -60.0 |  4967  -2560.7 |   4181  -2508.6 |      -13     -337 |    -2199 | fail
30  60   2   0.75 |  6410     -283  0.89     -60.0 |  5450  -2596.9 |   4181  -2508.6 |      +56     -339 |    -2193 | fail
30  60   4   0.20 |  5563     -358  0.84     -60.0 |  3964  -2196.5 |   3625  -2175.0 |     -157     -200 |    -1955 | fail
30  60   4   0.50 |  5563     -316  0.86     -60.0 |  4327  -2222.0 |   3625  -2175.0 |      -82     -233 |    -1887 | fail
30  60   4   0.75 |  5563     -323  0.86     -60.0 |  4741  -2253.3 |   3625  -2175.0 |      -40     -284 |    -1903 | fail
30  60   8   0.20 |  4479     -425  0.76     -60.0 |  3206  -1789.8 |   2956  -1773.6 |     -239     -186 |    -1763 | fail
30  60   8   0.50 |  4479     -379  0.79     -60.0 |  3488  -1810.5 |   2956  -1773.6 |     -221     -158 |    -1727 | fail
30  60   8   0.75 |  4479     -476  0.74     -60.0 |  3824  -1835.3 |   2956  -1773.6 |     -290     -186 |    -1822 | fail
30  60   12  0.20 |  3727     -408  0.73     -60.0 |  2657  -1492.4 |   2466  -1479.6 |     -176     -233 |    -1529 | fail
30  60   12  0.50 |  3727     -456  0.70     -60.0 |  2916  -1511.0 |   2466  -1479.6 |     -171     -285 |    -1534 | fail
30  60   12  0.75 |  3727     -363  0.76     -60.0 |  3187  -1530.3 |   2466  -1479.6 |      -85     -277 |    -1532 | fail
30  100  2   0.20 |  4834     -254  0.87     -60.0 |  3413  -1899.1 |   3137  -1882.2 |      -19     -235 |    -1708 | fail
30  100  2   0.50 |  4834     -303  0.84     -60.0 |  3726  -1920.8 |   3137  -1882.2 |      -59     -245 |    -1712 | fail
30  100  2   0.75 |  4834     -208  0.89     -60.0 |  4112  -1949.9 |   3137  -1882.2 |       +1     -209 |    -1667 | fail
30  100  4   0.20 |  4258     -275  0.84     -60.0 |  3034  -1683.5 |   2779  -1667.4 |     -138     -137 |    -1556 | fail
30  100  4   0.50 |  4258     -275  0.84     -60.0 |  3306  -1703.3 |   2779  -1667.4 |     -109     -166 |    -1543 | fail
30  100  4   0.75 |  4258     -231  0.87     -60.0 |  3631  -1727.2 |   2779  -1667.4 |      -56     -175 |    -1552 | fail
30  100  8   0.20 |  3460     -330  0.76     -60.0 |  2486  -1389.2 |   2296  -1377.6 |     -191     -138 |    -1396 | fail
30  100  8   0.50 |  3460     -348  0.75     -60.0 |  2697  -1404.4 |   2296  -1377.6 |     -180     -167 |    -1376 | fail
30  100  8   0.75 |  3460     -391  0.73     -60.0 |  2953  -1423.3 |   2296  -1377.6 |     -203     -188 |    -1430 | fail
30  100  12  0.20 |  2943     -302  0.74     -60.0 |  2118  -1181.8 |   1951  -1170.6 |     -134     -168 |    -1209 | fail
30  100  12  0.50 |  2943     -396  0.67     -60.0 |  2310  -1195.0 |   1951  -1170.6 |     -180     -216 |    -1260 | fail
30  100  12  0.75 |  2943     -385  0.68     -60.0 |  2519  -1209.9 |   1951  -1170.6 |     -138     -247 |    -1293 | fail
60  38   2   0.20 |  7830    -1352  0.68     -90.0 |  5221  -4223.1 |   4651  -4185.9 |     -431     -921 |    -3676 | fail
60  38   2   0.50 |  7830    -1205  0.72     -90.0 |  5799  -4265.0 |   4651  -4185.9 |     -282     -922 |    -3501 | fail
60  38   2   0.75 |  7830    -1145  0.73     -90.0 |  6521  -4318.7 |   4651  -4185.9 |     -178     -968 |    -3480 | fail
60  38   4   0.20 |  6724    -1134  0.69     -90.0 |  4515  -3657.5 |   4027  -3624.3 |     -592     -542 |    -3127 | fail
60  38   4   0.50 |  6724    -1020  0.72     -90.0 |  5036  -3695.2 |   4027  -3624.3 |     -455     -565 |    -3005 | fail
60  38   4   0.75 |  6724     -982  0.74     -90.0 |  5620  -3738.8 |   4027  -3624.3 |     -392     -590 |    -3007 | fail
60  38   8   0.20 |  5277    -1005  0.65     -90.0 |  3553  -2882.5 |   3175  -2857.5 |     -528     -477 |    -2620 | fail
60  38   8   0.50 |  5277     -993  0.66     -90.0 |  3942  -2910.4 |   3175  -2857.5 |     -517     -476 |    -2579 | fail
60  38   8   0.75 |  5277    -1081  0.63     -90.0 |  4402  -2945.6 |   3175  -2857.5 |     -549     -532 |    -2648 | fail
60  38   12  0.20 |  4364     -983  0.59     -90.0 |  2956  -2403.1 |   2643  -2378.7 |     -447     -535 |    -2315 | fail
60  38   12  0.50 |  4364    -1056  0.57     -90.0 |  3295  -2427.9 |   2643  -2378.7 |     -457     -599 |    -2336 | fail
60  38   12  0.75 |  4364     -997  0.59     -90.0 |  3669  -2455.8 |   2643  -2378.7 |     -362     -635 |    -2310 | fail
60  60   2   0.20 |  6410    -1100  0.68     -90.0 |  4250  -3489.4 |   3849  -3464.1 |     -364     -736 |    -2986 | fail
60  60   2   0.50 |  6410    -1069  0.70     -90.0 |  4746  -3524.7 |   3849  -3464.1 |     -348     -721 |    -2917 | fail
60  60   2   0.75 |  6410     -991  0.72     -90.0 |  5325  -3568.1 |   3849  -3464.1 |     -268     -723 |    -2902 | fail
60  60   4   0.20 |  5563     -928  0.69     -90.0 |  3702  -3010.8 |   3317  -2985.3 |     -426     -503 |    -2531 | fail
60  60   4   0.50 |  5563     -872  0.71     -90.0 |  4132  -3041.9 |   3317  -2985.3 |     -346     -527 |    -2449 | fail
60  60   4   0.75 |  5563     -884  0.71     -90.0 |  4624  -3079.4 |   3317  -2985.3 |     -314     -569 |    -2450 | fail
60  60   8   0.20 |  4479     -913  0.63     -90.0 |  3006  -2465.2 |   2718  -2446.2 |     -485     -428 |    -2275 | fail
60  60   8   0.50 |  4479     -854  0.66     -90.0 |  3330  -2489.3 |   2718  -2446.2 |     -456     -399 |    -2223 | fail
60  60   8   0.75 |  4479     -976  0.61     -90.0 |  3733  -2519.9 |   2718  -2446.2 |     -537     -439 |    -2319 | fail
60  60   12  0.20 |  3727     -786  0.61     -90.0 |  2479  -2039.9 |   2246  -2021.4 |     -362     -424 |    -1888 | fail
60  60   12  0.50 |  3727     -859  0.58     -90.0 |  2775  -2061.5 |   2246  -2021.4 |     -358     -500 |    -1928 | fail
60  60   12  0.75 |  3727     -775  0.63     -90.0 |  3108  -2085.4 |   2246  -2021.4 |     -283     -492 |    -1929 | fail
60  100  2   0.20 |  4834     -803  0.70     -90.0 |  3215  -2637.3 |   2909  -2618.1 |     -276     -527 |    -2229 | fail
60  100  2   0.50 |  4834     -843  0.68     -90.0 |  3576  -2662.6 |   2909  -2618.1 |     -302     -541 |    -2232 | fail
60  100  2   0.75 |  4834     -761  0.72     -90.0 |  4017  -2695.9 |   2909  -2618.1 |     -246     -515 |    -2194 | fail
60  100  4   0.20 |  4258     -731  0.69     -90.0 |  2849  -2323.5 |   2560  -2304.0 |     -346     -385 |    -2008 | fail
60  100  4   0.50 |  4258     -708  0.70     -90.0 |  3165  -2346.9 |   2560  -2304.0 |     -299     -409 |    -1975 | fail
60  100  4   0.75 |  4258     -686  0.71     -90.0 |  3543  -2374.6 |   2560  -2304.0 |     -250     -435 |    -2000 | fail
60  100  8   0.20 |  3460     -703  0.63     -90.0 |  2329  -1916.2 |   2114  -1902.6 |     -388     -315 |    -1757 | fail
60  100  8   0.50 |  3460     -721  0.63     -90.0 |  2574  -1934.1 |   2114  -1902.6 |     -353     -367 |    -1738 | fail
60  100  8   0.75 |  3460     -782  0.60     -90.0 |  2878  -1957.1 |   2114  -1902.6 |     -391     -391 |    -1783 | fail
60  100  12  0.20 |  2943     -613  0.62     -90.0 |  1978  -1616.2 |   1778  -1600.2 |     -298     -315 |    -1497 | fail
60  100  12  0.50 |  2943     -726  0.56     -90.0 |  2206  -1632.5 |   1778  -1600.2 |     -341     -385 |    -1557 | fail
60  100  12  0.75 |  2943     -731  0.56     -90.0 |  2467  -1651.4 |   1778  -1600.2 |     -297     -434 |    -1595 | fail
