INCREMENT-CASCADE CERT — coin=DOGE early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  8106     +750  1.23     -60.0 |  5797  -3279.1 |   5425  -3255.0 |    +1155     -405 |    -1702 | fail
30  38   2   0.50 |  8106     +259  1.08     -60.0 |  6262  -3313.8 |   5425  -3255.0 |     +798     -539 |    -2159 | fail
30  38   2   0.75 |  8106      +79  1.02     -60.0 |  6826  -3354.3 |   5425  -3255.0 |     +603     -524 |    -2316 | fail
30  38   4   0.20 |  7731     +243  1.08     -60.0 |  5547  -3132.2 |   5180  -3108.0 |     +488     -246 |    -2077 | fail
30  38   4   0.50 |  7731     +328  1.10     -60.0 |  6000  -3165.4 |   5180  -3108.0 |     +711     -382 |    -1982 | fail
30  38   4   0.75 |  7731     +310  1.10     -60.0 |  6551  -3205.9 |   5180  -3108.0 |     +728     -418 |    -2035 | fail
30  38   8   0.20 |  6313     +707  1.28     -60.0 |  4521  -2552.3 |   4221  -2532.6 |     +805      -97 |    -1181 | fail
30  38   8   0.50 |  6313    +3373  2.31     -60.0 |  4883  -2580.0 |   4221  -2532.6 |    +3356      +17 |    +1617 | PASS
30  38   8   0.75 |  6313    +3292  2.26     -60.0 |  5339  -2612.0 |   4221  -2532.6 |    +3307      -15 |    +1488 | fail
30  38   12  0.20 |  5393     +797  1.36     -60.0 |  3941  -2225.3 |   3678  -2206.8 |    +1005     -209 |     -839 | fail
30  38   12  0.50 |  5393    +4128  2.84     -60.0 |  4223  -2246.0 |   3678  -2206.8 |    +4376     -247 |    +2528 | fail
30  38   12  0.75 |  5393    +5209  3.29     -60.0 |  4553  -2270.6 |   3678  -2206.8 |    +5490     -281 |    +3574 | fail
30  60   2   0.20 |  6937     +965  1.35     -60.0 |  4920  -2778.3 |   4596  -2757.6 |    +1279     -314 |    -1107 | fail
30  60   2   0.50 |  6937     +520  1.19     -60.0 |  5279  -2804.8 |   4596  -2757.6 |     +930     -410 |    -1520 | fail
30  60   2   0.75 |  6937     +394  1.14     -60.0 |  5799  -2841.9 |   4596  -2757.6 |     +838     -445 |    -1614 | fail
30  60   4   0.20 |  6617     +463  1.17     -60.0 |  4759  -2696.4 |   4462  -2677.2 |     +687     -225 |    -1558 | fail
30  60   4   0.50 |  6617     +477  1.18     -60.0 |  5116  -2722.6 |   4462  -2677.2 |     +847     -370 |    -1503 | fail
30  60   4   0.75 |  6617     +555  1.20     -60.0 |  5602  -2757.5 |   4462  -2677.2 |     +949     -394 |    -1361 | fail
30  60   8   0.20 |  5442     +724  1.33     -60.0 |  3890  -2211.3 |   3662  -2197.2 |     +842     -117 |     -917 | fail
30  60   8   0.50 |  5442    +2345  2.05     -60.0 |  4202  -2234.5 |   3662  -2197.2 |    +2418      -73 |     +861 | fail
30  60   8   0.75 |  5442    +3536  2.56     -60.0 |  4595  -2261.9 |   3662  -2197.2 |    +3607      -71 |    +2030 | fail
30  60   12  0.20 |  4672     +751  1.39     -60.0 |  3383  -1924.2 |   3183  -1909.8 |     +956     -206 |     -659 | fail
30  60   12  0.50 |  4672    +3002  2.55     -60.0 |  3616  -1940.6 |   3183  -1909.8 |    +3235     -232 |    +1588 | fail
30  60   12  0.75 |  4672    +5165  3.63     -60.0 |  3922  -1962.9 |   3183  -1909.8 |    +5489     -324 |    +3771 | fail
30  100  2   0.20 |  5516     +961  1.44     -60.0 |  3879  -2195.3 |   3630  -2178.0 |    +1210     -250 |     -724 | fail
30  100  2   0.50 |  5516     +511  1.23     -60.0 |  4164  -2216.0 |   3630  -2178.0 |     +873     -361 |    -1140 | fail
30  100  2   0.75 |  5516     +360  1.16     -60.0 |  4581  -2245.6 |   3630  -2178.0 |     +778     -418 |    -1224 | fail
30  100  4   0.20 |  5222     +714  1.34     -60.0 |  3714  -2103.5 |   3479  -2087.4 |     +877     -163 |     -869 | fail
30  100  4   0.50 |  5222     +545  1.26     -60.0 |  3988  -2123.4 |   3479  -2087.4 |     +880     -335 |     -970 | fail
30  100  4   0.75 |  5222     +968  1.45     -60.0 |  4362  -2150.5 |   3479  -2087.4 |    +1293     -325 |     -625 | fail
30  100  8   0.20 |  4343     +747  1.43     -60.0 |  3095  -1751.7 |   2898  -1738.8 |     +879     -131 |     -551 | fail
30  100  8   0.50 |  4343    +1647  1.93     -60.0 |  3314  -1768.0 |   2898  -1738.8 |    +1769     -122 |     +505 | fail
30  100  8   0.75 |  4343    +3770  3.10     -60.0 |  3628  -1790.9 |   2898  -1738.8 |    +3859      -89 |    +2604 | fail
30  100  12  0.20 |  3767     +715  1.47     -60.0 |  2691  -1527.6 |   2528  -1516.8 |     +875     -160 |     -429 | fail
30  100  12  0.50 |  3767    +2065  2.34     -60.0 |  2892  -1542.5 |   2528  -1516.8 |    +2266     -201 |     +944 | fail
30  100  12  0.75 |  3767    +5077  4.25     -60.0 |  3144  -1560.2 |   2528  -1516.8 |    +5350     -273 |    +3943 | fail
60  38   2   0.20 |  8106     -285  0.94     -90.0 |  5513  -4589.7 |   5066  -4559.4 |     +570     -855 |    -2768 | fail
60  38   2   0.50 |  8106     -825  0.82     -90.0 |  6050  -4629.6 |   5066  -4559.4 |     +190    -1015 |    -3278 | fail
60  38   2   0.75 |  8106     -993  0.79     -90.0 |  6699  -4676.6 |   5066  -4559.4 |      -12     -981 |    -3403 | fail
60  38   4   0.20 |  7731     -719  0.83     -90.0 |  5252  -4354.7 |   4804  -4323.6 |      -69     -650 |    -3082 | fail
60  38   4   0.50 |  7731     -638  0.85     -90.0 |  5782  -4393.7 |   4804  -4323.6 |     +183     -820 |    -2987 | fail
