INCREMENT-CASCADE CERT — coin=DOT early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  2213     -149  0.82     -60.0 |  1530   -846.6 |   1398   -838.8 |      -76      -73 |     -781 | fail
30  38   2   0.50 |  2213      +36  1.04     -60.0 |  1696   -858.5 |   1398   -838.8 |     -156     +191 |     -591 | fail
30  38   2   0.75 |  2213      -23  0.97     -60.0 |  1868   -870.3 |   1398   -838.8 |     -223     +200 |     -663 | fail
30  38   4   0.20 |  2670     -331  0.68     -60.0 |  1869  -1027.0 |   1694  -1016.4 |     -201     -130 |    -1093 | fail
30  38   4   0.50 |  2670     -123  0.88     -60.0 |  2082  -1042.5 |   1694  -1016.4 |     -234     +111 |     -868 | fail
30  38   4   0.75 |  2670     -116  0.89     -60.0 |  2287  -1057.9 |   1694  -1016.4 |     -254     +138 |     -901 | fail
30  38   8   0.20 |  2674     -308  0.71     -60.0 |  1898  -1043.7 |   1719  -1031.4 |     -153     -154 |    -1083 | fail
30  38   8   0.50 |  2674      -30  0.97     -60.0 |  2107  -1058.3 |   1719  -1031.4 |     -129      +99 |     -803 | fail
30  38   8   0.75 |  2674      +45  1.04     -60.0 |  2303  -1072.3 |   1719  -1031.4 |      -64     +108 |     -795 | fail
30  38   12  0.20 |  2427     -206  0.78     -60.0 |  1674   -916.8 |   1511   -906.6 |     -179      -27 |     -876 | fail
30  38   12  0.50 |  2427      -87  0.91     -60.0 |  1865   -930.4 |   1511   -906.6 |     -254     +167 |     -756 | fail
30  38   12  0.75 |  2427     -188  0.80     -60.0 |  2049   -943.1 |   1511   -906.6 |     -313     +125 |     -858 | fail
30  60   2   0.20 |  1954     -141  0.81     -60.0 |  1353   -750.6 |   1239   -743.4 |      -63      -78 |     -731 | fail
30  60   2   0.50 |  1954      +87  1.11     -60.0 |  1493   -760.9 |   1239   -743.4 |      -91     +178 |     -546 | fail
30  60   2   0.75 |  1954      +75  1.10     -60.0 |  1643   -771.9 |   1239   -743.4 |     -152     +227 |     -559 | fail
