INCREMENT-CASCADE CERT — coin=ETC early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4786     -670  0.65     -60.0 |  3507  -1933.6 |   3189  -1913.4 |     -378     -292 |    -2122 | fail
30  38   2   0.50 |  4786     -661  0.66     -60.0 |  3827  -1957.2 |   3189  -1913.4 |     -346     -315 |    -2106 | fail
30  38   2   0.75 |  4786     -678  0.66     -60.0 |  4201  -1985.0 |   3189  -1913.4 |     -397     -281 |    -2170 | fail
30  38   4   0.20 |  4432     -600  0.67     -60.0 |  3272  -1814.8 |   2997  -1798.2 |     -312     -288 |    -1947 | fail
30  38   4   0.50 |  4432     -590  0.68     -60.0 |  3580  -1838.3 |   2997  -1798.2 |     -301     -289 |    -1907 | fail
30  38   4   0.75 |  4432     -659  0.65     -60.0 |  3880  -1860.3 |   2997  -1798.2 |     -358     -302 |    -1985 | fail
30  38   8   0.20 |  3609     -368  0.75     -60.0 |  2635  -1458.5 |   2406  -1443.6 |     -228     -140 |    -1429 | fail
30  38   8   0.50 |  3609     -334  0.77     -60.0 |  2887  -1477.0 |   2406  -1443.6 |     -211     -123 |    -1377 | fail
30  38   8   0.75 |  3609     -376  0.75     -60.0 |  3149  -1497.4 |   2406  -1443.6 |     -237     -139 |    -1370 | fail
30  38   12  0.20 |  3116     -465  0.64     -60.0 |  2317  -1287.1 |   2124  -1274.4 |     -240     -225 |    -1390 | fail
30  38   12  0.50 |  3116     -298  0.77     -60.0 |  2518  -1301.5 |   2124  -1274.4 |     -208      -90 |    -1225 | fail
30  38   12  0.75 |  3116     -352  0.73     -60.0 |  2739  -1317.4 |   2124  -1274.4 |     -248     -104 |    -1246 | fail
30  60   2   0.20 |  3873     -469  0.70     -60.0 |  2811  -1566.3 |   2585  -1551.0 |     -270     -199 |    -1646 | fail
30  60   2   0.50 |  3873     -391  0.75     -60.0 |  3060  -1584.2 |   2585  -1551.0 |     -199     -192 |    -1582 | fail
30  60   2   0.75 |  3873     -405  0.75     -60.0 |  3374  -1608.1 |   2585  -1551.0 |     -263     -142 |    -1649 | fail
30  60   4   0.20 |  3597     -388  0.73     -60.0 |  2611  -1447.6 |   2388  -1432.8 |     -210     -178 |    -1462 | fail
30  60   4   0.50 |  3597     -387  0.74     -60.0 |  2855  -1465.6 |   2388  -1432.8 |     -206     -181 |    -1475 | fail
30  60   4   0.75 |  3597     -483  0.67     -60.0 |  3108  -1484.6 |   2388  -1432.8 |     -286     -197 |    -1573 | fail
30  60   8   0.20 |  2982     -240  0.80     -60.0 |  2131  -1180.3 |   1946  -1167.6 |     -137     -103 |    -1130 | fail
30  60   8   0.50 |  2982     -183  0.85     -60.0 |  2328  -1194.9 |   1946  -1167.6 |      -94      -90 |    -1043 | fail
30  60   8   0.75 |  2982     -229  0.81     -60.0 |  2569  -1212.8 |   1946  -1167.6 |     -125     -104 |    -1057 | fail
30  60   12  0.20 |  2604     -325  0.69     -60.0 |  1893  -1056.4 |   1744  -1046.4 |     -172     -153 |    -1102 | fail
30  60   12  0.50 |  2604     -205  0.81     -60.0 |  2065  -1069.5 |   1744  -1046.4 |      -91     -113 |     -971 | fail
30  60   12  0.75 |  2604     -218  0.80     -60.0 |  2262  -1083.2 |   1744  -1046.4 |     -135      -82 |     -987 | fail
30  100  2   0.20 |  2887     -337  0.71     -60.0 |  2121  -1170.7 |   1930  -1158.0 |     -213     -124 |    -1209 | fail
30  100  2   0.50 |  2887     -252  0.79     -60.0 |  2295  -1183.1 |   1930  -1158.0 |     -105     -147 |    -1135 | fail
30  100  2   0.75 |  2887     -240  0.80     -60.0 |  2519  -1200.0 |   1930  -1158.0 |     -127     -112 |    -1182 | fail
30  100  4   0.20 |  2700     -270  0.75     -60.0 |  1974  -1091.8 |   1802  -1081.2 |     -166     -104 |    -1058 | fail
30  100  4   0.50 |  2700     -220  0.80     -60.0 |  2140  -1103.5 |   1802  -1081.2 |      -88     -133 |    -1006 | fail
30  100  4   0.75 |  2700     -286  0.74     -60.0 |  2335  -1118.7 |   1802  -1081.2 |     -141     -145 |    -1074 | fail
30  100  8   0.20 |  2289     -226  0.76     -60.0 |  1659   -922.4 |   1521   -912.6 |     -132      -94 |     -900 | fail
30  100  8   0.50 |  2289     -136  0.85     -60.0 |  1817   -933.6 |   1521   -912.6 |      -32     -104 |     -777 | fail
30  100  8   0.75 |  2289     -150  0.84     -60.0 |  1988   -946.8 |   1521   -912.6 |      -41     -109 |     -785 | fail
30  100  12  0.20 |  2008     -261  0.68     -60.0 |  1458   -813.9 |   1342   -805.2 |     -144     -117 |     -854 | fail
30  100  12  0.50 |  2008     -114  0.86     -60.0 |  1593   -823.2 |   1342   -805.2 |       -7     -107 |     -702 | fail
30  100  12  0.75 |  2008     -118  0.86     -60.0 |  1752   -834.5 |   1342   -805.2 |      -20      -97 |     -710 | fail
60  38   2   0.20 |  4786    -1125  0.56     -90.0 |  3232  -2565.8 |   2822  -2539.8 |     -634     -491 |    -2508 | fail
60  38   2   0.50 |  4786    -1132  0.56     -90.0 |  3630  -2594.7 |   2822  -2539.8 |     -614     -518 |    -2494 | fail
60  38   2   0.75 |  4786    -1131  0.57     -90.0 |  4103  -2629.3 |   2822  -2539.8 |     -659     -472 |    -2563 | fail
60  38   4   0.20 |  4432     -993  0.59     -90.0 |  3013  -2411.0 |   2655  -2389.5 |     -529     -463 |    -2324 | fail
60  38   4   0.50 |  4432     -993  0.59     -90.0 |  3400  -2439.6 |   2655  -2389.5 |     -514     -479 |    -2283 | fail
60  38   4   0.75 |  4432    -1069  0.57     -90.0 |  3781  -2466.9 |   2655  -2389.5 |     -566     -503 |    -2359 | fail
60  38   8   0.20 |  3609     -688  0.64     -90.0 |  2431  -1930.3 |   2122  -1909.8 |     -412     -276 |    -1706 | fail
60  38   8   0.50 |  3609     -672  0.66     -90.0 |  2744  -1952.8 |   2122  -1909.8 |     -410     -262 |    -1643 | fail
60  38   8   0.75 |  3609     -737  0.63     -90.0 |  3078  -1977.7 |   2122  -1909.8 |     -439     -298 |    -1659 | fail
60  38   12  0.20 |  3116     -750  0.56     -90.0 |  2124  -1694.6 |   1863  -1676.7 |     -413     -337 |    -1645 | fail
60  38   12  0.50 |  3116     -604  0.65     -90.0 |  2384  -1712.6 |   1863  -1676.7 |     -386     -218 |    -1476 | fail
60  38   12  0.75 |  3116     -684  0.61     -90.0 |  2665  -1732.4 |   1863  -1676.7 |     -437     -247 |    -1516 | fail
60  60   2   0.20 |  3873     -811  0.61     -90.0 |  2596  -2088.4 |   2298  -2068.2 |     -481     -330 |    -1973 | fail
60  60   2   0.50 |  3873     -746  0.65     -90.0 |  2908  -2110.7 |   2298  -2068.2 |     -404     -342 |    -1906 | fail
60  60   2   0.75 |  3873     -771  0.64     -90.0 |  3286  -2139.7 |   2298  -2068.2 |     -468     -302 |    -1960 | fail
60  60   4   0.20 |  3597     -711  0.63     -90.0 |  2410  -1931.5 |   2126  -1913.4 |     -383     -328 |    -1758 | fail
60  60   4   0.50 |  3597     -732  0.63     -90.0 |  2715  -1953.4 |   2126  -1913.4 |     -381     -351 |    -1762 | fail
