INCREMENT-CASCADE CERT — coin=FIL early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  3107      -45  0.96     -60.0 |  2185  -1225.0 |   2025  -1215.0 |      -69      +24 |     -957 | fail
30  38   2   0.50 |  3107     +374  1.30     -60.0 |  2402  -1240.6 |   2025  -1215.0 |       -0     +374 |     -514 | fail
30  38   2   0.75 |  3107     +398  1.32     -60.0 |  2658  -1259.3 |   2025  -1215.0 |      +51     +347 |     -518 | fail
30  38   4   0.20 |  3506      +31  1.02     -60.0 |  2470  -1370.8 |   2262  -1357.2 |      -50      +81 |    -1005 | fail
30  38   4   0.50 |  3506     +135  1.10     -60.0 |  2700  -1387.9 |   2262  -1357.2 |      +67      +68 |     -939 | fail
30  38   4   0.75 |  3506       -0  1.00     -60.0 |  2976  -1409.1 |   2262  -1357.2 |      +67      -68 |    -1046 | fail
30  38   8   0.20 |  3276     -114  0.91     -60.0 |  2344  -1305.4 |   2156  -1293.6 |     -214     +100 |    -1065 | fail
30  38   8   0.50 |  3276     +264  1.20     -60.0 |  2569  -1322.4 |   2156  -1293.6 |     -233     +497 |     -685 | fail
30  38   8   0.75 |  3276     +199  1.15     -60.0 |  2817  -1340.4 |   2156  -1293.6 |     -206     +406 |     -744 | fail
30  38   12  0.20 |  2877      -23  0.98     -60.0 |  2082  -1160.7 |   1918  -1150.8 |     -163     +139 |     -865 | fail
30  38   12  0.50 |  2877     +704  1.60     -60.0 |  2264  -1174.9 |   1918  -1150.8 |     -127     +831 |     -119 | fail
30  38   12  0.75 |  2877     +639  1.54     -60.0 |  2467  -1190.6 |   1918  -1150.8 |      -82     +721 |     -135 | fail
30  60   2   0.20 |  2684      +49  1.05     -60.0 |  1905  -1063.4 |   1757  -1054.2 |      -44      +93 |     -765 | fail
30  60   2   0.50 |  2684     +447  1.42     -60.0 |  2074  -1076.1 |   1757  -1054.2 |      +32     +415 |     -387 | fail
30  60   2   0.75 |  2684     +413  1.38     -60.0 |  2294  -1092.3 |   1757  -1054.2 |      +62     +351 |     -421 | fail
30  60   4   0.20 |  3059     +151  1.13     -60.0 |  2120  -1169.3 |   1927  -1156.2 |       -8     +159 |     -761 | fail
30  60   4   0.50 |  3059     +185  1.16     -60.0 |  2316  -1183.8 |   1927  -1156.2 |      +69     +116 |     -707 | fail
30  60   4   0.75 |  3059      +59  1.05     -60.0 |  2584  -1204.6 |   1927  -1156.2 |      +71      -13 |     -792 | fail
30  60   8   0.20 |  2858      +36  1.03     -60.0 |  2017  -1128.6 |   1865  -1119.0 |     -117     +153 |     -794 | fail
30  60   8   0.50 |  2858     +535  1.47     -60.0 |  2206  -1141.4 |   1865  -1119.0 |     -146     +681 |     -307 | fail
30  60   8   0.75 |  2858     +511  1.44     -60.0 |  2413  -1157.1 |   1865  -1119.0 |      -96     +608 |     -330 | fail
30  60   12  0.20 |  2505       +7  1.01     -60.0 |  1791   -999.3 |   1650   -990.0 |      -88      +95 |     -754 | fail
30  60   12  0.50 |  2505     +742  1.73     -60.0 |  1934  -1010.6 |   1650   -990.0 |      -97     +839 |       -9 | fail
30  60   12  0.75 |  2505     +643  1.63     -60.0 |  2133  -1025.8 |   1650   -990.0 |      -94     +737 |      -55 | fail
30  100  2   0.20 |  2142      +10  1.01     -60.0 |  1521   -855.0 |   1414   -848.4 |      -31      +42 |     -646 | fail
30  100  2   0.50 |  2142     +403  1.46     -60.0 |  1674   -866.9 |   1414   -848.4 |      +25     +378 |     -232 | fail
