INCREMENT-CASCADE CERT — coin=GRT early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  7695     +375  1.13     -60.0 |  5160  -2881.1 |   4761  -2856.6 |     +553     -178 |    -1986 | fail
30  38   2   0.50 |  7695     +708  1.24     -60.0 |  5656  -2916.9 |   4761  -2856.6 |     +842     -135 |    -1605 | fail
30  38   2   0.75 |  7695     +703  1.24     -60.0 |  6357  -2968.2 |   4761  -2856.6 |     +796      -93 |    -1570 | fail
30  38   4   0.20 |  7713      +47  1.02     -60.0 |  5203  -2911.3 |   4811  -2886.6 |     +151     -104 |    -2326 | fail
30  38   4   0.50 |  7713     +242  1.08     -60.0 |  5729  -2949.6 |   4811  -2886.6 |      -68     +310 |    -2137 | fail
30  38   4   0.75 |  7713     +217  1.07     -60.0 |  6411  -3000.9 |   4811  -2886.6 |     -281     +498 |    -2113 | fail
30  38   8   0.20 |  6516      -57  0.98     -60.0 |  4490  -2506.8 |   4140  -2484.0 |     +236     -293 |    -2028 | fail
30  38   8   0.50 |  6516     -402  0.84     -60.0 |  4900  -2538.0 |   4140  -2484.0 |     -147     -254 |    -2337 | fail
30  38   8   0.75 |  6516     -310  0.88     -60.0 |  5454  -2581.0 |   4140  -2484.0 |     -168     -142 |    -2253 | fail
30  38   12  0.20 |  5555      -60  0.97     -60.0 |  3894  -2174.3 |   3591  -2154.6 |     +277     -338 |    -1741 | fail
30  38   12  0.50 |  5555     -225  0.90     -60.0 |  4220  -2199.3 |   3591  -2154.6 |      -21     -204 |    -1888 | fail
30  38   12  0.75 |  5555     -189  0.92     -60.0 |  4667  -2232.5 |   3591  -2154.6 |     -120      -69 |    -1876 | fail
30  60   2   0.20 |  6753     +244  1.10     -60.0 |  4550  -2548.4 |   4209  -2525.4 |     +388     -144 |    -1827 | fail
30  60   2   0.50 |  6753     +425  1.16     -60.0 |  4971  -2578.3 |   4209  -2525.4 |     +434       -9 |    -1624 | fail
30  60   2   0.75 |  6753     +539  1.21     -60.0 |  5576  -2624.1 |   4209  -2525.4 |     +512      +27 |    -1496 | fail
30  60   4   0.20 |  6745      +50  1.02     -60.0 |  4578  -2548.9 |   4210  -2526.0 |     +159     -110 |    -2006 | fail
30  60   4   0.50 |  6745      -13  1.00     -60.0 |  5027  -2581.2 |   4210  -2526.0 |      -87      +74 |    -2065 | fail
30  60   4   0.75 |  6745     +105  1.04     -60.0 |  5614  -2625.6 |   4210  -2526.0 |     -229     +334 |    -1971 | fail
30  60   8   0.20 |  5717      +55  1.03     -60.0 |  3909  -2170.2 |   3582  -2149.2 |     +297     -242 |    -1679 | fail
30  60   8   0.50 |  5717     -179  0.92     -60.0 |  4277  -2197.3 |   3582  -2149.2 |       -7     -171 |    -1883 | fail
30  60   8   0.75 |  5717     -174  0.92     -60.0 |  4752  -2234.2 |   3582  -2149.2 |      -49     -125 |    -1894 | fail
30  60   12  0.20 |  4867       -3  1.00     -60.0 |  3390  -1891.6 |   3124  -1874.4 |     +302     -305 |    -1503 | fail
30  60   12  0.50 |  4867     -226  0.88     -60.0 |  3678  -1913.3 |   3124  -1874.4 |      +28     -254 |    -1738 | fail
30  60   12  0.75 |  4867     -171  0.91     -60.0 |  4085  -1942.8 |   3124  -1874.4 |      -78      -93 |    -1765 | fail
30  100  2   0.20 |  5500      +68  1.03     -60.0 |  3758  -2117.2 |   3503  -2101.8 |     +237     -169 |    -1556 | fail
30  100  2   0.50 |  5500     +148  1.07     -60.0 |  4087  -2142.2 |   3503  -2101.8 |     +250     -102 |    -1455 | fail
30  100  2   0.75 |  5500     +243  1.11     -60.0 |  4565  -2178.4 |   3503  -2101.8 |     +301      -59 |    -1333 | fail
30  100  4   0.20 |  5437      -46  0.98     -60.0 |  3726  -2088.6 |   3453  -2071.8 |      +79     -126 |    -1683 | fail
30  100  4   0.50 |  5437     -155  0.93     -60.0 |  4081  -2114.8 |   3453  -2071.8 |      -90      -66 |    -1797 | fail
30  100  4   0.75 |  5437     -146  0.93     -60.0 |  4564  -2151.8 |   3453  -2071.8 |     -197      +52 |    -1809 | fail
