INCREMENT-CASCADE CERT — coin=ICP early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  9641    -1207  0.69     -60.0 |  6898  -3844.5 |   6347  -3808.2 |     -569     -638 |    -4152 | fail
30  38   2   0.50 |  9641    -1299  0.67     -60.0 |  7575  -3893.2 |   6347  -3808.2 |     -630     -669 |    -4195 | fail
30  38   2   0.75 |  9641    -1159  0.71     -60.0 |  8381  -3951.7 |   6347  -3808.2 |     -596     -563 |    -4063 | fail
30  38   4   0.20 |  7747    -1066  0.66     -60.0 |  5599  -3108.0 |   5125  -3075.0 |     -526     -540 |    -3426 | fail
30  38   4   0.50 |  7747    -1067  0.66     -60.0 |  6121  -3145.7 |   5125  -3075.0 |     -480     -587 |    -3395 | fail
30  38   4   0.75 |  7747     -984  0.69     -60.0 |  6779  -3191.2 |   5125  -3075.0 |     -494     -489 |    -3310 | fail
30  38   8   0.20 |  5699     -834  0.64     -60.0 |  4152  -2300.4 |   3789  -2273.4 |     -400     -434 |    -2566 | fail
30  38   8   0.50 |  5699    -1009  0.57     -60.0 |  4519  -2326.3 |   3789  -2273.4 |     -414     -596 |    -2675 | fail
30  38   8   0.75 |  5699     -733  0.69     -60.0 |  4989  -2359.9 |   3789  -2273.4 |     -184     -550 |    -2414 | fail
30  38   12  0.20 |  4824     -626  0.68     -60.0 |  3507  -1949.5 |   3212  -1927.2 |     -392     -233 |    -2069 | fail
30  38   12  0.50 |  4824     -774  0.61     -60.0 |  3809  -1970.8 |   3212  -1927.2 |     -423     -351 |    -2199 | fail
30  38   12  0.75 |  4824     -713  0.64     -60.0 |  4213  -2000.1 |   3212  -1927.2 |     -374     -339 |    -2123 | fail
30  60   2   0.20 |  7642     -865  0.72     -60.0 |  5490  -3047.8 |   5030  -3018.0 |     -450     -415 |    -3183 | fail
30  60   2   0.50 |  7642     -968  0.69     -60.0 |  6017  -3085.2 |   5030  -3018.0 |     -544     -423 |    -3269 | fail
30  60   2   0.75 |  7642     -886  0.72     -60.0 |  6648  -3130.9 |   5030  -3018.0 |     -474     -411 |    -3156 | fail
30  60   4   0.20 |  6274     -702  0.72     -60.0 |  4523  -2503.4 |   4130  -2478.0 |     -379     -322 |    -2621 | fail
30  60   4   0.50 |  6274     -727  0.71     -60.0 |  4932  -2532.6 |   4130  -2478.0 |     -388     -339 |    -2619 | fail
30  60   4   0.75 |  6274     -598  0.77     -60.0 |  5459  -2570.1 |   4130  -2478.0 |     -313     -285 |    -2485 | fail
30  60   8   0.20 |  4718     -557  0.71     -60.0 |  3441  -1898.7 |   3130  -1878.0 |     -308     -250 |    -1982 | fail
30  60   8   0.50 |  4718     -652  0.66     -60.0 |  3739  -1920.3 |   3130  -1878.0 |     -311     -341 |    -2017 | fail
30  60   8   0.75 |  4718     -449  0.77     -60.0 |  4120  -1947.0 |   3130  -1878.0 |     -110     -339 |    -1803 | fail
30  60   12  0.20 |  4030     -391  0.76     -60.0 |  2905  -1605.9 |   2646  -1587.6 |     -304      -87 |    -1620 | fail
30  60   12  0.50 |  4030     -557  0.66     -60.0 |  3171  -1624.2 |   2646  -1587.6 |     -357     -199 |    -1785 | fail
30  60   12  0.75 |  4030     -568  0.66     -60.0 |  3512  -1648.8 |   2646  -1587.6 |     -356     -213 |    -1783 | fail
30  100  2   0.20 |  5627     -544  0.76     -60.0 |  4022  -2240.8 |   3701  -2220.6 |     -297     -247 |    -2222 | fail
30  100  2   0.50 |  5627     -648  0.71     -60.0 |  4370  -2266.1 |   3701  -2220.6 |     -368     -280 |    -2314 | fail
30  100  2   0.75 |  5627     -583  0.75     -60.0 |  4868  -2301.3 |   3701  -2220.6 |     -329     -254 |    -2249 | fail
30  100  4   0.20 |  4708     -443  0.76     -60.0 |  3390  -1883.4 |   3108  -1864.8 |     -239     -205 |    -1849 | fail
30  100  4   0.50 |  4708     -521  0.73     -60.0 |  3688  -1904.6 |   3108  -1864.8 |     -294     -227 |    -1911 | fail
30  100  4   0.75 |  4708     -435  0.78     -60.0 |  4083  -1933.1 |   3108  -1864.8 |     -228     -206 |    -1814 | fail
30  100  8   0.20 |  3617     -349  0.76     -60.0 |  2632  -1459.7 |   2407  -1444.2 |     -215     -134 |    -1432 | fail
30  100  8   0.50 |  3617     -371  0.75     -60.0 |  2847  -1475.7 |   2407  -1444.2 |     -201     -169 |    -1467 | fail
30  100  8   0.75 |  3617     -169  0.89     -60.0 |  3150  -1496.7 |   2407  -1444.2 |       -9     -160 |    -1378 | fail
30  100  12  0.20 |  3107     -274  0.78     -60.0 |  2266  -1261.1 |   2079  -1247.4 |     -206      -68 |    -1218 | fail
30  100  12  0.50 |  3107     -348  0.73     -60.0 |  2452  -1275.1 |   2079  -1247.4 |     -231     -117 |    -1320 | fail
30  100  12  0.75 |  3107     -282  0.78     -60.0 |  2709  -1292.6 |   2079  -1247.4 |     -157     -125 |    -1234 | fail
60  38   2   0.20 |  9641    -2178  0.58     -90.0 |  6398  -5189.2 |   5689  -5120.1 |    -1044    -1134 |    -5152 | fail
60  38   2   0.50 |  9641    -2303  0.56     -90.0 |  7203  -5247.1 |   5689  -5120.1 |    -1121    -1182 |    -5186 | fail
60  38   2   0.75 |  9641    -2170  0.59     -90.0 |  8164  -5317.3 |   5689  -5120.1 |    -1085    -1085 |    -5060 | fail
60  38   4   0.20 |  7745    -1838  0.56     -90.0 |  5185  -4190.1 |   4602  -4141.8 |     -904     -935 |    -4239 | fail
60  38   4   0.50 |  7745    -1876  0.56     -90.0 |  5825  -4236.7 |   4602  -4141.8 |     -877     -998 |    -4214 | fail
60  38   4   0.75 |  7745    -1800  0.58     -90.0 |  6608  -4291.4 |   4602  -4141.8 |     -883     -917 |    -4134 | fail
60  38   8   0.20 |  5697    -1424  0.54     -90.0 |  3863  -3111.0 |   3416  -3074.4 |     -677     -747 |    -3198 | fail
60  38   8   0.50 |  5697    -1578  0.50     -90.0 |  4295  -3142.1 |   3416  -3074.4 |     -661     -917 |    -3269 | fail
60  38   8   0.75 |  5697    -1252  0.61     -90.0 |  4858  -3182.5 |   3416  -3074.4 |     -421     -830 |    -2956 | fail
60  38   12  0.20 |  4822    -1089  0.58     -90.0 |  3245  -2622.1 |   2876  -2588.4 |     -620     -469 |    -2569 | fail
60  38   12  0.50 |  4822    -1271  0.52     -90.0 |  3606  -2648.0 |   2876  -2588.4 |     -654     -617 |    -2711 | fail
60  38   12  0.75 |  4822    -1166  0.57     -90.0 |  4097  -2684.2 |   2876  -2588.4 |     -601     -565 |    -2627 | fail
60  60   2   0.20 |  7642    -1607  0.61     -90.0 |  5081  -4112.2 |   4506  -4055.4 |     -828     -779 |    -3918 | fail
60  60   2   0.50 |  7642    -1723  0.59     -90.0 |  5710  -4157.6 |   4506  -4055.4 |     -931     -793 |    -4009 | fail
60  60   2   0.75 |  7642    -1667  0.60     -90.0 |  6473  -4213.3 |   4506  -4055.4 |     -887     -780 |    -3897 | fail
60  60   4   0.20 |  6273    -1353  0.60     -90.0 |  4201  -3395.2 |   3731  -3357.9 |     -716     -637 |    -3296 | fail
60  60   4   0.50 |  6273    -1433  0.58     -90.0 |  4696  -3430.3 |   3731  -3357.9 |     -751     -682 |    -3342 | fail
60  60   4   0.75 |  6273    -1312  0.62     -90.0 |  5321  -3475.2 |   3731  -3357.9 |     -662     -649 |    -3222 | fail
