INCREMENT-CASCADE CERT — coin=LDO early=1 bars=34542 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  7186     +214  1.08     -60.0 |  4953  -2769.4 |   4576  -2745.6 |     +357     -142 |    -1946 | fail
30  38   2   0.50 |  7186      +20  1.01     -60.0 |  5421  -2804.1 |   4576  -2745.6 |     +152     -131 |    -2137 | fail
30  38   2   0.75 |  7186     -100  0.96     -60.0 |  6007  -2849.9 |   4576  -2745.6 |      +63     -163 |    -2246 | fail
30  38   4   0.20 |  6616     +115  1.04     -60.0 |  4587  -2577.4 |   4261  -2556.6 |     +267     -152 |    -1867 | fail
30  38   4   0.50 |  6616      +51  1.02     -60.0 |  5040  -2609.8 |   4261  -2556.6 |     +366     -316 |    -1918 | fail
30  38   4   0.75 |  6616     -112  0.96     -60.0 |  5597  -2651.8 |   4261  -2556.6 |     +285     -398 |    -2032 | fail
30  38   8   0.20 |  5321     -121  0.94     -60.0 |  3762  -2105.9 |   3480  -2088.0 |     +199     -321 |    -1731 | fail
30  38   8   0.50 |  5321      -97  0.95     -60.0 |  4102  -2131.6 |   3480  -2088.0 |     +308     -406 |    -1751 | fail
30  38   8   0.75 |  5321     -231  0.89     -60.0 |  4539  -2164.6 |   3480  -2088.0 |     +243     -473 |    -1827 | fail
30  38   12  0.20 |  4397     -114  0.93     -60.0 |  3119  -1744.4 |   2881  -1728.6 |      +86     -200 |    -1423 | fail
30  38   12  0.50 |  4397     -140  0.92     -60.0 |  3404  -1764.5 |   2881  -1728.6 |     +162     -302 |    -1439 | fail
30  38   12  0.75 |  4397     -154  0.91     -60.0 |  3754  -1791.3 |   2881  -1728.6 |     +112     -265 |    -1426 | fail
30  60   2   0.20 |  6128     +255  1.11     -60.0 |  4206  -2355.0 |   3892  -2335.2 |     +372     -118 |    -1602 | fail
30  60   2   0.50 |  6128      +47  1.02     -60.0 |  4585  -2383.1 |   3892  -2335.2 |     +153     -107 |    -1759 | fail
30  60   2   0.75 |  6128      +19  1.01     -60.0 |  5091  -2421.6 |   3892  -2335.2 |     +118      -99 |    -1833 | fail
30  60   4   0.20 |  5669      +88  1.04     -60.0 |  3900  -2189.1 |   3619  -2171.4 |     +290     -202 |    -1629 | fail
30  60   4   0.50 |  5669      +10  1.00     -60.0 |  4279  -2216.0 |   3619  -2171.4 |     +291     -281 |    -1680 | fail
30  60   4   0.75 |  5669      -74  0.97     -60.0 |  4754  -2251.2 |   3619  -2171.4 |     +270     -344 |    -1753 | fail
30  60   8   0.20 |  4622      +15  1.01     -60.0 |  3263  -1817.2 |   3003  -1801.8 |     +230     -215 |    -1391 | fail
30  60   8   0.50 |  4622      -30  0.98     -60.0 |  3555  -1839.4 |   3003  -1801.8 |     +281     -311 |    -1359 | fail
30  60   8   0.75 |  4622     -108  0.94     -60.0 |  3922  -1866.6 |   3003  -1801.8 |     +235     -343 |    -1429 | fail
30  60   12  0.20 |  3839     -134  0.91     -60.0 |  2749  -1536.7 |   2538  -1522.8 |      +99     -233 |    -1260 | fail
30  60   12  0.50 |  3839     -144  0.91     -60.0 |  3000  -1555.3 |   2538  -1522.8 |     +116     -260 |    -1244 | fail
30  60   12  0.75 |  3839     -151  0.90     -60.0 |  3290  -1576.3 |   2538  -1522.8 |     +111     -262 |    -1280 | fail
30  100  2   0.20 |  4791     +249  1.13     -60.0 |  3291  -1852.8 |   3065  -1839.0 |     +363     -114 |    -1194 | fail
30  100  2   0.50 |  4791     +139  1.07     -60.0 |  3567  -1873.0 |   3065  -1839.0 |     +216      -77 |    -1314 | fail
30  100  2   0.75 |  4791      +63  1.03     -60.0 |  3971  -1904.3 |   3065  -1839.0 |     +131      -68 |    -1384 | fail
30  100  4   0.20 |  4445     +143  1.08     -60.0 |  3073  -1727.2 |   2856  -1713.6 |     +286     -143 |    -1203 | fail
30  100  4   0.50 |  4445     +237  1.14     -60.0 |  3340  -1746.6 |   2856  -1713.6 |     +349     -112 |    -1086 | fail
30  100  4   0.75 |  4445     +212  1.12     -60.0 |  3709  -1774.4 |   2856  -1713.6 |     +321     -108 |    -1097 | fail
30  100  8   0.20 |  3683     +122  1.09     -60.0 |  2556  -1428.1 |   2361  -1416.6 |     +250     -129 |    -1013 | fail
30  100  8   0.50 |  3683     +140  1.10     -60.0 |  2792  -1446.2 |   2361  -1416.6 |     +275     -135 |     -949 | fail
30  100  8   0.75 |  3683     +113  1.08     -60.0 |  3088  -1468.5 |   2361  -1416.6 |     +245     -132 |     -905 | fail
30  100  12  0.20 |  3140      +59  1.05     -60.0 |  2182  -1230.3 |   2034  -1220.4 |     +165     -106 |     -898 | fail
30  100  12  0.50 |  3140      +89  1.07     -60.0 |  2379  -1244.2 |   2034  -1220.4 |     +185      -96 |     -840 | fail
30  100  12  0.75 |  3140      +12  1.01     -60.0 |  2634  -1264.1 |   2034  -1220.4 |      +89      -76 |     -866 | fail
60  38   2   0.20 |  7186     -545  0.86     -90.0 |  4676  -3852.1 |   4251  -3825.9 |       +3     -548 |    -2687 | fail
60  38   2   0.50 |  7186     -762  0.80     -90.0 |  5190  -3889.9 |   4251  -3825.9 |     -213     -549 |    -2939 | fail
60  38   2   0.75 |  7186     -880  0.78     -90.0 |  5857  -3942.0 |   4251  -3825.9 |     -310     -571 |    -3049 | fail
60  38   4   0.20 |  6616     -576  0.84     -90.0 |  4313  -3565.0 |   3934  -3540.6 |      -57     -519 |    -2571 | fail
60  38   4   0.50 |  6616     -657  0.82     -90.0 |  4825  -3601.1 |   3934  -3540.6 |      +28     -685 |    -2649 | fail
60  38   4   0.75 |  6616     -801  0.78     -90.0 |  5469  -3649.5 |   3934  -3540.6 |      -42     -759 |    -2753 | fail
60  38   8   0.20 |  5321     -718  0.75     -90.0 |  3546  -2919.7 |   3220  -2898.0 |      -76     -642 |    -2348 | fail
60  38   8   0.50 |  5321     -719  0.76     -90.0 |  3933  -2948.9 |   3220  -2898.0 |      +23     -742 |    -2392 | fail
