INCREMENT-CASCADE CERT — coin=LINK early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  5687     -320  0.85     -60.0 |  3938  -2188.5 |   3613  -2167.8 |      +22     -342 |    -2054 | fail
30  38   2   0.50 |  5687     -267  0.88     -60.0 |  4328  -2216.3 |   3613  -2167.8 |     -136     -131 |    -1908 | fail
30  38   2   0.75 |  5687     -201  0.91     -60.0 |  4791  -2250.0 |   3613  -2167.8 |     -121      -80 |    -1877 | fail
30  38   4   0.20 |  6100     -222  0.90     -60.0 |  4196  -2325.1 |   3837  -2302.2 |      -21     -201 |    -2068 | fail
30  38   4   0.50 |  6100     -108  0.95     -60.0 |  4627  -2356.5 |   3837  -2302.2 |      -21      -88 |    -1955 | fail
30  38   4   0.75 |  6100     -155  0.94     -60.0 |  5122  -2390.8 |   3837  -2302.2 |       +9     -164 |    -1999 | fail
30  38   8   0.20 |  5528     -274  0.87     -60.0 |  3831  -2130.2 |   3519  -2111.4 |     -124     -149 |    -1957 | fail
30  38   8   0.50 |  5528     -151  0.93     -60.0 |  4218  -2156.8 |   3519  -2111.4 |     -128      -23 |    -1771 | fail
30  38   8   0.75 |  5528      -21  0.99     -60.0 |  4679  -2188.3 |   3519  -2111.4 |      -28       +7 |    -1648 | fail
30  38   12  0.20 |  4801     -331  0.83     -60.0 |  3436  -1911.8 |   3158  -1894.8 |     -173     -159 |    -1760 | fail
30  38   12  0.50 |  4801     -351  0.82     -60.0 |  3768  -1935.3 |   3158  -1894.8 |     -209     -143 |    -1774 | fail
30  38   12  0.75 |  4801     -228  0.88     -60.0 |  4130  -1961.6 |   3158  -1894.8 |      -97     -131 |    -1677 | fail
30  60   2   0.20 |  5005     -355  0.82     -60.0 |  3530  -1949.9 |   3216  -1929.6 |      -60     -295 |    -1882 | fail
30  60   2   0.50 |  5005     -327  0.83     -60.0 |  3832  -1972.1 |   3216  -1929.6 |     -174     -154 |    -1765 | fail
30  60   2   0.75 |  5005     -240  0.88     -60.0 |  4252  -2001.9 |   3216  -1929.6 |     -142      -98 |    -1680 | fail
30  60   4   0.20 |  5388     -291  0.86     -60.0 |  3779  -2094.3 |   3456  -2073.6 |      -98     -193 |    -1911 | fail
30  60   4   0.50 |  5388     -152  0.93     -60.0 |  4137  -2119.9 |   3456  -2073.6 |     -110      -42 |    -1746 | fail
30  60   4   0.75 |  5388     -176  0.92     -60.0 |  4551  -2149.9 |   3456  -2073.6 |     -104      -72 |    -1773 | fail
30  60   8   0.20 |  4857     -330  0.83     -60.0 |  3453  -1905.5 |   3143  -1885.8 |     -193     -137 |    -1782 | fail
30  60   8   0.50 |  4857     -237  0.88     -60.0 |  3755  -1925.9 |   3143  -1885.8 |     -204      -33 |    -1641 | fail
30  60   8   0.75 |  4857     -134  0.93     -60.0 |  4122  -1952.6 |   3143  -1885.8 |     -151      +17 |    -1558 | fail
30  60   12  0.20 |  4243     -289  0.83     -60.0 |  3047  -1684.7 |   2779  -1667.4 |     -130     -159 |    -1566 | fail
30  60   12  0.50 |  4243     -232  0.86     -60.0 |  3311  -1703.4 |   2779  -1667.4 |     -179      -53 |    -1455 | fail
30  60   12  0.75 |  4243     -200  0.88     -60.0 |  3633  -1725.5 |   2779  -1667.4 |     -144      -56 |    -1406 | fail
30  100  2   0.20 |  4054     -309  0.81     -60.0 |  2876  -1602.2 |   2647  -1588.2 |      -77     -232 |    -1543 | fail
30  100  2   0.50 |  4054     -270  0.83     -60.0 |  3122  -1619.9 |   2647  -1588.2 |     -136     -134 |    -1452 | fail
30  100  2   0.75 |  4054     -182  0.89     -60.0 |  3446  -1641.8 |   2647  -1588.2 |      -67     -115 |    -1371 | fail
30  100  4   0.20 |  4355     -337  0.81     -60.0 |  3091  -1730.3 |   2861  -1716.6 |     -173     -164 |    -1667 | fail
30  100  4   0.50 |  4355     -249  0.86     -60.0 |  3355  -1748.4 |   2861  -1716.6 |     -205      -44 |    -1539 | fail
30  100  4   0.75 |  4355     -226  0.87     -60.0 |  3705  -1772.3 |   2861  -1716.6 |     -201      -25 |    -1490 | fail
30  100  8   0.20 |  3949     -348  0.78     -60.0 |  2814  -1555.7 |   2569  -1541.4 |     -230     -118 |    -1559 | fail
30  100  8   0.50 |  3949     -246  0.84     -60.0 |  3064  -1574.1 |   2569  -1541.4 |     -244       -1 |    -1427 | fail
30  100  8   0.75 |  3949     -230  0.86     -60.0 |  3374  -1595.5 |   2569  -1541.4 |     -247      +17 |    -1386 | fail
30  100  12  0.20 |  3477     -290  0.79     -60.0 |  2469  -1375.9 |   2272  -1363.2 |     -170     -119 |    -1326 | fail
30  100  12  0.50 |  3477     -263  0.81     -60.0 |  2703  -1392.6 |   2272  -1363.2 |     -249      -14 |    -1245 | fail
30  100  12  0.75 |  3477     -300  0.79     -60.0 |  2970  -1411.1 |   2272  -1363.2 |     -253      -47 |    -1264 | fail
60  38   2   0.20 |  5687     -912  0.70     -90.0 |  3697  -3009.1 |   3317  -2985.3 |     -300     -612 |    -2648 | fail
60  38   2   0.50 |  5687     -800  0.74     -90.0 |  4143  -3040.9 |   3317  -2985.3 |     -440     -359 |    -2429 | fail
60  38   2   0.75 |  5687     -745  0.76     -90.0 |  4667  -3079.1 |   3317  -2985.3 |     -438     -307 |    -2390 | fail
60  38   4   0.20 |  6100     -810  0.74     -90.0 |  3903  -3155.3 |   3476  -3128.4 |     -338     -472 |    -2636 | fail
60  38   4   0.50 |  6100     -712  0.78     -90.0 |  4421  -3193.0 |   3476  -3128.4 |     -341     -371 |    -2532 | fail
60  38   4   0.75 |  6100     -739  0.77     -90.0 |  4993  -3233.5 |   3476  -3128.4 |     -296     -443 |    -2517 | fail
60  38   8   0.20 |  5528     -776  0.73     -90.0 |  3552  -2886.4 |   3182  -2863.8 |     -407     -369 |    -2462 | fail
60  38   8   0.50 |  5528     -678  0.77     -90.0 |  4010  -2918.4 |   3182  -2863.8 |     -418     -260 |    -2309 | fail
60  38   8   0.75 |  5528     -506  0.83     -90.0 |  4553  -2955.8 |   3182  -2863.8 |     -311     -196 |    -2128 | fail
60  38   12  0.20 |  4801     -852  0.67     -90.0 |  3212  -2599.5 |   2864  -2577.6 |     -430     -422 |    -2292 | fail
60  38   12  0.50 |  4801     -874  0.67     -90.0 |  3608  -2627.2 |   2864  -2577.6 |     -467     -408 |    -2310 | fail
60  38   12  0.75 |  4801     -698  0.74     -90.0 |  4028  -2657.8 |   2864  -2577.6 |     -327     -370 |    -2206 | fail
60  60   2   0.20 |  5005     -879  0.67     -90.0 |  3312  -2689.4 |   2963  -2666.7 |     -355     -524 |    -2393 | fail
60  60   2   0.50 |  5005     -799  0.71     -90.0 |  3660  -2715.2 |   2963  -2666.7 |     -472     -328 |    -2207 | fail
60  60   2   0.75 |  5005     -701  0.74     -90.0 |  4134  -2748.5 |   2963  -2666.7 |     -435     -266 |    -2129 | fail
60  60   4   0.20 |  5388     -843  0.70     -90.0 |  3513  -2843.3 |   3132  -2818.8 |     -384     -459 |    -2450 | fail
60  60   4   0.50 |  5388     -720  0.75     -90.0 |  3947  -2875.5 |   3132  -2818.8 |     -405     -316 |    -2299 | fail
60  60   4   0.75 |  5388     -743  0.74     -90.0 |  4440  -2911.6 |   3132  -2818.8 |     -404     -338 |    -2325 | fail
60  60   8   0.20 |  4857     -803  0.69     -90.0 |  3201  -2575.1 |   2835  -2551.5 |     -444     -358 |    -2236 | fail
60  60   8   0.50 |  4857     -729  0.72     -90.0 |  3568  -2600.0 |   2835  -2551.5 |     -474     -256 |    -2117 | fail
60  60   8   0.75 |  4857     -554  0.79     -90.0 |  4014  -2631.9 |   2835  -2551.5 |     -399     -156 |    -1973 | fail
60  60   12  0.20 |  4243     -736  0.68     -90.0 |  2861  -2312.7 |   2546  -2291.4 |     -369     -366 |    -1991 | fail
60  60   12  0.50 |  4243     -696  0.70     -90.0 |  3176  -2335.0 |   2546  -2291.4 |     -423     -273 |    -1883 | fail
60  60   12  0.75 |  4243     -645  0.73     -90.0 |  3552  -2361.1 |   2546  -2291.4 |     -368     -277 |    -1827 | fail
60  100  2   0.20 |  4054     -762  0.65     -90.0 |  2702  -2206.3 |   2433  -2189.7 |     -334     -427 |    -1993 | fail
