INCREMENT-CASCADE CERT — coin=LTC early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  9056     -960  0.74     -60.0 |  6584  -3645.0 |   6016  -3609.6 |     -314     -646 |    -3732 | fail
30  38   2   0.50 |  9056    -1189  0.68     -60.0 |  7173  -3688.9 |   6016  -3609.6 |     -546     -642 |    -3917 | fail
30  38   2   0.75 |  9056    -1323  0.65     -60.0 |  7903  -3742.2 |   6016  -3609.6 |     -660     -663 |    -4014 | fail
30  38   4   0.20 |  8197     -990  0.71     -60.0 |  6045  -3359.6 |   5548  -3328.8 |     -271     -719 |    -3541 | fail
30  38   4   0.50 |  8197    -1181  0.65     -60.0 |  6581  -3399.4 |   5548  -3328.8 |     -439     -742 |    -3709 | fail
30  38   4   0.75 |  8197    -1347  0.61     -60.0 |  7217  -3447.1 |   5548  -3328.8 |     -579     -768 |    -3840 | fail
30  38   8   0.20 |  6554     -752  0.71     -60.0 |  4767  -2636.8 |   4350  -2610.0 |     -166     -586 |    -2790 | fail
30  38   8   0.50 |  6554     -862  0.68     -60.0 |  5230  -2671.4 |   4350  -2610.0 |     -226     -636 |    -2861 | fail
30  38   8   0.75 |  6554     -824  0.70     -60.0 |  5734  -2706.5 |   4350  -2610.0 |     -266     -558 |    -2845 | fail
30  38   12  0.20 |  5715     -725  0.69     -60.0 |  4187  -2321.0 |   3825  -2295.0 |     -165     -561 |    -2477 | fail
30  38   12  0.50 |  5715     -769  0.67     -60.0 |  4581  -2349.7 |   3825  -2295.0 |     -229     -541 |    -2483 | fail
30  38   12  0.75 |  5715     -766  0.68     -60.0 |  5012  -2380.6 |   3825  -2295.0 |     -244     -522 |    -2502 | fail
30  60   2   0.20 |  7429     -763  0.75     -60.0 |  5441  -3019.4 |   4985  -2991.0 |     -274     -489 |    -3037 | fail
30  60   2   0.50 |  7429     -960  0.69     -60.0 |  5899  -3054.9 |   4985  -2991.0 |     -441     -518 |    -3192 | fail
30  60   2   0.75 |  7429    -1057  0.66     -60.0 |  6492  -3098.4 |   4985  -2991.0 |     -562     -496 |    -3232 | fail
30  60   4   0.20 |  6640     -707  0.74     -60.0 |  4928  -2729.6 |   4504  -2702.4 |     -188     -518 |    -2782 | fail
30  60   4   0.50 |  6640     -879  0.68     -60.0 |  5337  -2759.3 |   4504  -2702.4 |     -337     -541 |    -2927 | fail
30  60   4   0.75 |  6640    -1008  0.64     -60.0 |  5839  -2796.9 |   4504  -2702.4 |     -458     -549 |    -3073 | fail
30  60   8   0.20 |  5448     -565  0.74     -60.0 |  3977  -2204.9 |   3636  -2181.6 |     -149     -417 |    -2266 | fail
30  60   8   0.50 |  5448     -649  0.71     -60.0 |  4355  -2233.1 |   3636  -2181.6 |     -192     -457 |    -2322 | fail
30  60   8   0.75 |  5448     -614  0.73     -60.0 |  4747  -2261.4 |   3636  -2181.6 |     -215     -399 |    -2317 | fail
30  60   12  0.20 |  4778     -567  0.71     -60.0 |  3493  -1932.3 |   3182  -1909.2 |     -185     -381 |    -2032 | fail
30  60   12  0.50 |  4778     -664  0.66     -60.0 |  3819  -1956.8 |   3182  -1909.2 |     -247     -417 |    -2078 | fail
