INCREMENT-CASCADE CERT — coin=MANA early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  6279     -722  0.71     -60.0 |  4456  -2450.6 |   4041  -2424.6 |     -350     -372 |    -2616 | fail
30  38   2   0.50 |  6279     -632  0.75     -60.0 |  4911  -2483.8 |   4041  -2424.6 |     -315     -317 |    -2551 | fail
30  38   2   0.75 |  6279     -733  0.71     -60.0 |  5438  -2522.3 |   4041  -2424.6 |     -369     -364 |    -2600 | fail
30  38   4   0.20 |  5641     -502  0.77     -60.0 |  4032  -2207.5 |   3638  -2182.8 |     -298     -204 |    -2172 | fail
30  38   4   0.50 |  5641     -207  0.91     -60.0 |  4436  -2234.8 |   3638  -2182.8 |     -133      -73 |    -1906 | fail
30  38   4   0.75 |  5641     -243  0.89     -60.0 |  4861  -2265.2 |   3638  -2182.8 |     -135     -108 |    -1912 | fail
30  38   8   0.20 |  4439     -332  0.81     -60.0 |  3175  -1746.4 |   2880  -1728.0 |     -156     -176 |    -1672 | fail
30  38   8   0.50 |  4439     -168  0.90     -60.0 |  3479  -1767.6 |   2880  -1728.0 |      +36     -204 |    -1495 | fail
30  38   8   0.75 |  4439     -179  0.90     -60.0 |  3823  -1793.5 |   2880  -1728.0 |      +56     -235 |    -1496 | fail
30  38   12  0.20 |  3776     -278  0.81     -60.0 |  2714  -1487.4 |   2451  -1470.6 |      -26     -252 |    -1383 | fail
30  38   12  0.50 |  3776     -117  0.92     -60.0 |  2965  -1505.2 |   2451  -1470.6 |     +108     -224 |    -1250 | fail
30  38   12  0.75 |  3776     -112  0.93     -60.0 |  3258  -1526.6 |   2451  -1470.6 |     +103     -216 |    -1281 | fail
30  60   2   0.20 |  5101     -469  0.76     -60.0 |  3599  -1982.9 |   3270  -1962.0 |     -225     -244 |    -1999 | fail
30  60   2   0.50 |  5101     -332  0.83     -60.0 |  3961  -2007.4 |   3270  -1962.0 |     -109     -223 |    -1890 | fail
30  60   2   0.75 |  5101     -375  0.82     -60.0 |  4368  -2037.1 |   3270  -1962.0 |     -146     -229 |    -1917 | fail
30  60   4   0.20 |  4616     -364  0.80     -60.0 |  3295  -1808.6 |   2982  -1789.2 |     -227     -138 |    -1742 | fail
30  60   4   0.50 |  4616     -115  0.94     -60.0 |  3604  -1829.8 |   2982  -1789.2 |      -35      -80 |    -1535 | fail
30  60   4   0.75 |  4616     -190  0.90     -60.0 |  3954  -1855.1 |   2982  -1789.2 |      -54     -136 |    -1562 | fail
30  60   8   0.20 |  3707     -221  0.85     -60.0 |  2616  -1446.1 |   2387  -1432.2 |      -80     -141 |    -1328 | fail
30  60   8   0.50 |  3707      -53  0.96     -60.0 |  2882  -1464.2 |   2387  -1432.2 |     +103     -156 |    -1177 | fail
30  60   8   0.75 |  3707      -94  0.94     -60.0 |  3178  -1485.7 |   2387  -1432.2 |      +78     -172 |    -1183 | fail
30  60   12  0.20 |  3161     -133  0.89     -60.0 |  2242  -1235.8 |   2037  -1222.2 |       +7     -140 |    -1058 | fail
30  60   12  0.50 |  3161      +31  1.02     -60.0 |  2463  -1251.0 |   2037  -1222.2 |     +158     -127 |     -887 | fail
30  60   12  0.75 |  3161      -37  0.97     -60.0 |  2696  -1268.4 |   2037  -1222.2 |     +143     -180 |     -969 | fail
30  100  2   0.20 |  3791     -292  0.80     -60.0 |  2653  -1468.2 |   2424  -1454.4 |      -95     -198 |    -1436 | fail
30  100  2   0.50 |  3791     -157  0.89     -60.0 |  2926  -1487.9 |   2424  -1454.4 |      +32     -189 |    -1341 | fail
30  100  2   0.75 |  3791     -200  0.87     -60.0 |  3237  -1509.4 |   2424  -1454.4 |       -8     -192 |    -1366 | fail
30  100  4   0.20 |  3442     -192  0.86     -60.0 |  2425  -1331.3 |   2196  -1317.6 |      -97      -95 |    -1216 | fail
30  100  4   0.50 |  3442       -5  1.00     -60.0 |  2675  -1348.9 |   2196  -1317.6 |      +59      -64 |    -1042 | fail
30  100  4   0.75 |  3442      -11  0.99     -60.0 |  2947  -1368.0 |   2196  -1317.6 |      +63      -74 |    -1008 | fail
30  100  8   0.20 |  2832      -70  0.94     -60.0 |  1991  -1097.7 |   1810  -1086.0 |      -34      -35 |     -939 | fail
30  100  8   0.50 |  2832      +32  1.03     -60.0 |  2187  -1112.2 |   1810  -1086.0 |     +114      -83 |     -807 | fail
30  100  8   0.75 |  2832      +28  1.03     -60.0 |  2407  -1127.3 |   1810  -1086.0 |     +133     -104 |     -770 | fail
30  100  12  0.20 |  2445     -115  0.88     -60.0 |  1726   -957.9 |   1581   -948.6 |      -22      -94 |     -778 | fail
30  100  12  0.50 |  2445       -4  1.00     -60.0 |  1902   -969.8 |   1581   -948.6 |      +84      -88 |     -661 | fail
30  100  12  0.75 |  2445      -47  0.95     -60.0 |  2090   -983.8 |   1581   -948.6 |      +83     -130 |     -679 | fail
60  38   2   0.20 |  6279    -1354  0.59     -90.0 |  4126  -3302.9 |   3636  -3272.4 |     -659     -695 |    -3251 | fail
60  38   2   0.50 |  6279    -1248  0.63     -90.0 |  4675  -3341.5 |   3636  -3272.4 |     -614     -635 |    -3178 | fail
60  38   2   0.75 |  6279    -1315  0.61     -90.0 |  5308  -3387.1 |   3636  -3272.4 |     -637     -679 |    -3191 | fail
60  38   4   0.20 |  5641    -1017  0.66     -90.0 |  3727  -2949.1 |   3240  -2916.0 |     -527     -490 |    -2682 | fail
60  38   4   0.50 |  5641     -686  0.77     -90.0 |  4208  -2981.8 |   3240  -2916.0 |     -364     -321 |    -2408 | fail
60  38   4   0.75 |  5641     -687  0.77     -90.0 |  4736  -3019.1 |   3240  -2916.0 |     -379     -308 |    -2365 | fail
60  38   8   0.20 |  4439     -727  0.69     -90.0 |  2917  -2320.0 |   2551  -2295.9 |     -311     -416 |    -2073 | fail
60  38   8   0.50 |  4439     -591  0.75     -90.0 |  3301  -2347.0 |   2551  -2295.9 |     -140     -451 |    -1896 | fail
60  38   8   0.75 |  4439     -587  0.75     -90.0 |  3730  -2378.9 |   2551  -2295.9 |     -137     -450 |    -1885 | fail
60  38   12  0.20 |  3776     -640  0.68     -90.0 |  2506  -1982.4 |   2178  -1960.2 |     -170     -469 |    -1742 | fail
60  38   12  0.50 |  3776     -488  0.76     -90.0 |  2815  -2003.9 |   2178  -1960.2 |      -52     -436 |    -1619 | fail
60  38   12  0.75 |  3776     -473  0.77     -90.0 |  3186  -2031.1 |   2178  -1960.2 |      -63     -410 |    -1646 | fail
60  60   2   0.20 |  5101     -979  0.63     -90.0 |  3343  -2673.2 |   2942  -2647.8 |     -490     -489 |    -2495 | fail
60  60   2   0.50 |  5101     -838  0.69     -90.0 |  3775  -2702.2 |   2942  -2647.8 |     -363     -475 |    -2398 | fail
60  60   2   0.75 |  5101     -878  0.68     -90.0 |  4268  -2737.8 |   2942  -2647.8 |     -410     -468 |    -2389 | fail
60  60   4   0.20 |  4616     -776  0.68     -90.0 |  3041  -2421.9 |   2662  -2395.8 |     -439     -336 |    -2150 | fail
60  60   4   0.50 |  4616     -508  0.79     -90.0 |  3430  -2448.9 |   2662  -2395.8 |     -247     -261 |    -1950 | fail
60  60   4   0.75 |  4616     -535  0.78     -90.0 |  3850  -2478.4 |   2662  -2395.8 |     -264     -271 |    -1926 | fail
60  60   8   0.20 |  3707     -557  0.71     -90.0 |  2403  -1927.7 |   2121  -1908.9 |     -230     -328 |    -1648 | fail
60  60   8   0.50 |  3707     -407  0.79     -90.0 |  2732  -1950.3 |   2121  -1908.9 |      -54     -353 |    -1492 | fail
60  60   8   0.75 |  3707     -454  0.77     -90.0 |  3095  -1976.5 |   2121  -1908.9 |      -91     -363 |    -1471 | fail
