INCREMENT-CASCADE CERT — coin=NEAR early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 | 11280      -66  0.98     -87.8 |  7726  -4340.3 |   7162  -4297.2 |     +442     -508 |    -3490 | fail
30  38   2   0.50 | 11280     -472  0.89     -87.8 |  8468  -4394.9 |   7162  -4297.2 |     +102     -574 |    -3788 | fail
30  38   2   0.75 | 11280     -513  0.89     -87.8 |  9450  -4466.5 |   7162  -4297.2 |      -13     -500 |    -3818 | fail
30  38   4   0.20 |  9938      +20  1.01     -87.8 |  6855  -3849.1 |   6351  -3810.6 |     +409     -389 |    -3024 | fail
30  38   4   0.50 |  9938      +26  1.01     -87.8 |  7476  -3895.1 |   6351  -3810.6 |     +394     -369 |    -3007 | fail
30  38   4   0.75 |  9938      +80  1.02     -87.8 |  8333  -3957.2 |   6351  -3810.6 |     +442     -362 |    -2982 | fail
30  38   8   0.20 |  7932      +33  1.01     -87.8 |  5500  -3078.9 |   5074  -3044.4 |     +215     -182 |    -2419 | fail
30  38   8   0.50 |  7932      -73  0.98     -87.8 |  6025  -3117.8 |   5074  -3044.4 |      +47     -119 |    -2492 | fail
30  38   8   0.75 |  7932     +352  1.11     -87.8 |  6696  -3165.6 |   5074  -3044.4 |     +418      -67 |    -2261 | fail
30  38   12  0.20 |  6752      +33  1.01     -60.0 |  4688  -2624.8 |   4333  -2599.8 |     +182     -149 |    -2040 | fail
30  38   12  0.50 |  6752     -208  0.92     -60.0 |  5114  -2656.1 |   4333  -2599.8 |      -20     -189 |    -2224 | fail
30  38   12  0.75 |  6752     -270  0.90     -60.0 |  5692  -2698.4 |   4333  -2599.8 |      +15     -285 |    -2347 | fail
30  60   2   0.20 |  9585      +66  1.02     -87.8 |  6557  -3681.8 |   6077  -3646.2 |     +318     -251 |    -2876 | fail
