INCREMENT-CASCADE CERT — coin=OP early=1 bars=36190 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  7356       -4  1.00     -60.1 |  5172  -2922.5 |   4832  -2899.2 |     +421     -425 |    -2214 | fail
30  38   2   0.50 |  7356     +158  1.05     -76.7 |  5609  -2954.9 |   4832  -2899.2 |     +492     -334 |    -2066 | fail
30  38   2   0.75 |  7356     +249  1.08     -76.7 |  6205  -3000.5 |   4832  -2899.2 |     +672     -423 |    -1955 | fail
30  38   4   0.20 |  6883      -48  0.98     -60.0 |  4881  -2732.4 |   4515  -2709.0 |     +325     -373 |    -2166 | fail
30  38   4   0.50 |  6883     +269  1.10     -76.7 |  5289  -2762.7 |   4515  -2709.0 |     +687     -418 |    -1832 | fail
30  38   4   0.75 |  6883     +191  1.07     -76.7 |  5820  -2802.0 |   4515  -2709.0 |     +641     -451 |    -1910 | fail
30  38   8   0.20 |  5474     -163  0.93     -60.1 |  3898  -2195.4 |   3630  -2178.0 |     +203     -367 |    -1818 | fail
30  38   8   0.50 |  5474     -285  0.87     -76.7 |  4256  -2222.8 |   3630  -2178.0 |     +115     -400 |    -1919 | fail
30  38   8   0.75 |  5474     -243  0.89     -76.7 |  4683  -2254.3 |   3630  -2178.0 |     +179     -422 |    -1914 | fail
30  38   12  0.20 |  4694     -229  0.88     -60.1 |  3415  -1911.8 |   3155  -1893.0 |     +160     -389 |    -1647 | fail
30  38   12  0.50 |  4694     -339  0.82     -76.7 |  3709  -1934.3 |   3155  -1893.0 |      +33     -372 |    -1726 | fail
30  38   12  0.75 |  4694     -297  0.85     -76.7 |  4081  -1963.0 |   3155  -1893.0 |     +122     -419 |    -1655 | fail
30  60   2   0.20 |  6287      +87  1.04     -60.0 |  4416  -2484.2 |   4107  -2464.2 |     +424     -337 |    -1802 | fail
30  60   2   0.50 |  6287     +120  1.05     -95.3 |  4783  -2512.0 |   4107  -2464.2 |     +400     -280 |    -1719 | fail
30  60   2   0.75 |  6287     +190  1.07     -95.3 |  5283  -2550.5 |   4107  -2464.2 |     +541     -351 |    -1625 | fail
30  60   4   0.20 |  5909      +50  1.02     -60.1 |  4188  -2337.0 |   3860  -2316.0 |     +356     -306 |    -1733 | fail
30  60   4   0.50 |  5909     +292  1.12     -95.3 |  4522  -2362.1 |   3860  -2316.0 |     +674     -382 |    -1482 | fail
