INCREMENT-CASCADE CERT — coin=RUNE early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4802      +54  1.03     -60.0 |  3195  -1754.0 |   2889  -1733.4 |     +209     -156 |    -1319 | fail
30  38   2   0.50 |  4802     +193  1.11     -60.0 |  3555  -1779.2 |   2889  -1733.4 |     +370     -177 |    -1193 | fail
30  38   2   0.75 |  4802     +278  1.15     -60.0 |  3977  -1809.2 |   2889  -1733.4 |     +465     -186 |    -1126 | fail
30  38   4   0.20 |  4658      +54  1.03     -60.0 |  3104  -1693.1 |   2787  -1672.2 |     +176     -122 |    -1293 | fail
30  38   4   0.50 |  4658     +370  1.22     -60.0 |  3439  -1716.6 |   2787  -1672.2 |     +410      -40 |    -1036 | fail
30  38   4   0.75 |  4658     +598  1.34     -60.0 |  3850  -1746.0 |   2787  -1672.2 |     +612      -14 |     -884 | fail
30  38   8   0.20 |  3963      -48  0.97     -60.0 |  2683  -1481.2 |   2445  -1467.0 |      +81     -130 |    -1217 | fail
30  38   8   0.50 |  3963     +260  1.17     -60.0 |  2970  -1501.2 |   2445  -1467.0 |     +218      +42 |     -863 | fail
30  38   8   0.75 |  3963     +396  1.26     -60.0 |  3296  -1523.9 |   2445  -1467.0 |     +288     +107 |     -774 | fail
30  38   12  0.20 |  3401      -71  0.95     -60.0 |  2344  -1292.9 |   2130  -1278.0 |      +13      -84 |    -1033 | fail
30  38   12  0.50 |  3401     +163  1.12     -60.0 |  2561  -1308.6 |   2130  -1278.0 |     +259      -96 |     -773 | fail
30  38   12  0.75 |  3401     +147  1.11     -60.0 |  2837  -1328.5 |   2130  -1278.0 |     +241      -94 |     -756 | fail
30  60   2   0.20 |  4093      +93  1.06     -60.0 |  2735  -1500.3 |   2471  -1482.6 |     +266     -173 |    -1073 | fail
30  60   2   0.50 |  4093     +354  1.23     -60.0 |  3006  -1519.4 |   2471  -1482.6 |     +515     -161 |     -811 | fail
30  60   2   0.75 |  4093     +422  1.27     -60.0 |  3357  -1545.1 |   2471  -1482.6 |     +603     -181 |     -748 | fail
30  60   4   0.20 |  3987      +42  1.03     -60.0 |  2672  -1458.5 |   2402  -1441.2 |     +124      -81 |    -1118 | fail
30  60   4   0.50 |  3987     +275  1.19     -60.0 |  2955  -1479.7 |   2402  -1441.2 |     +306      -31 |     -900 | fail
30  60   4   0.75 |  3987     +485  1.32     -60.0 |  3307  -1505.6 |   2402  -1441.2 |     +532      -47 |     -693 | fail
30  60   8   0.20 |  3412      -46  0.96     -60.0 |  2305  -1281.4 |   2117  -1270.2 |      +86     -132 |    -1055 | fail
30  60   8   0.50 |  3412     +262  1.20     -60.0 |  2563  -1300.4 |   2117  -1270.2 |     +287      -24 |     -795 | fail
30  60   8   0.75 |  3412     +393  1.30     -60.0 |  2845  -1319.9 |   2117  -1270.2 |     +417      -24 |     -651 | fail
30  60   12  0.20 |  2928      -54  0.95     -60.0 |  2020  -1114.1 |   1835  -1101.0 |      +83     -136 |     -853 | fail
30  60   12  0.50 |  2928     +103  1.09     -60.0 |  2211  -1127.1 |   1835  -1101.0 |     +270     -168 |     -699 | fail
30  60   12  0.75 |  2928     +258  1.23     -60.0 |  2447  -1144.6 |   1835  -1101.0 |     +393     -135 |     -553 | fail
30  100  2   0.20 |  3229       +7  1.01     -60.0 |  2161  -1197.9 |   1976  -1185.6 |     +128     -121 |     -885 | fail
30  100  2   0.50 |  3229     +216  1.18     -60.0 |  2391  -1214.0 |   1976  -1185.6 |     +343     -127 |     -721 | fail
30  100  2   0.75 |  3229     +349  1.28     -60.0 |  2668  -1233.8 |   1976  -1185.6 |     +489     -140 |     -596 | fail
30  100  4   0.20 |  3161      +15  1.01     -60.0 |  2109  -1165.9 |   1922  -1153.2 |      +56      -42 |     -885 | fail
30  100  4   0.50 |  3161     +233  1.20     -60.0 |  2338  -1182.6 |   1922  -1153.2 |     +206      +27 |     -707 | fail
30  100  4   0.75 |  3161     +398  1.33     -60.0 |  2608  -1202.2 |   1922  -1153.2 |     +355      +43 |     -543 | fail
30  100  8   0.20 |  2730      -68  0.93     -60.0 |  1865  -1038.7 |   1714  -1028.4 |      +25      -94 |     -858 | fail
30  100  8   0.50 |  2730      +65  1.06     -60.0 |  2059  -1051.9 |   1714  -1028.4 |     +119      -54 |     -728 | fail
30  100  8   0.75 |  2730     +247  1.23     -60.0 |  2285  -1067.9 |   1714  -1028.4 |     +280      -33 |     -602 | fail
30  100  12  0.20 |  2349      -92  0.90     -60.0 |  1625   -895.4 |   1475   -885.0 |      +19     -112 |     -699 | fail
30  100  12  0.50 |  2349      -54  0.94     -60.0 |  1791   -906.9 |   1475   -885.0 |      +46     -100 |     -661 | fail
30  100  12  0.75 |  2349      +32  1.03     -60.0 |  1966   -919.3 |   1475   -885.0 |     +126      -94 |     -603 | fail
60  38   2   0.20 |  4802     -268  0.89     -90.0 |  2936  -2350.1 |   2585  -2326.5 |      +93     -361 |    -1622 | fail
60  38   2   0.50 |  4802      -47  0.98     -90.0 |  3344  -2378.8 |   2585  -2326.5 |     +320     -367 |    -1421 | fail
60  38   2   0.75 |  4802      +56  1.02     -90.0 |  3841  -2414.0 |   2585  -2326.5 |     +427     -371 |    -1314 | fail
60  38   4   0.20 |  4658     -243  0.89     -90.0 |  2841  -2254.6 |   2479  -2231.1 |      +84     -327 |    -1600 | fail
60  38   4   0.50 |  4658      +72  1.03     -90.0 |  3232  -2282.3 |   2479  -2231.1 |     +333     -262 |    -1349 | fail
60  38   4   0.75 |  4658     +348  1.15     -90.0 |  3727  -2317.3 |   2479  -2231.1 |     +548     -200 |    -1187 | fail
60  38   8   0.20 |  3963     -309  0.84     -90.0 |  2438  -1950.4 |   2147  -1932.3 |      -20     -289 |    -1471 | fail
60  38   8   0.50 |  3963      +99  1.05     -90.0 |  2787  -1975.3 |   2147  -1932.3 |     +220     -122 |    -1043 | fail
60  38   8   0.75 |  3963     +254  1.13     -90.0 |  3187  -2002.6 |   2147  -1932.3 |     +290      -36 |     -952 | fail
60  38   12  0.20 |  3401     -255  0.85     -90.0 |  2141  -1710.8 |   1880  -1692.0 |      -35     -220 |    -1223 | fail
60  38   12  0.50 |  3401      +15  1.01     -90.0 |  2401  -1729.5 |   1880  -1692.0 |     +256     -241 |     -902 | fail
60  38   12  0.75 |  3401      -14  0.99     -90.0 |  2738  -1752.9 |   1880  -1692.0 |     +226     -240 |     -913 | fail
60  60   2   0.20 |  4093     -223  0.89     -90.0 |  2530  -2021.1 |   2223  -2000.7 |     +130     -353 |    -1382 | fail
60  60   2   0.50 |  4093      +93  1.05     -90.0 |  2852  -2044.3 |   2223  -2000.7 |     +442     -348 |    -1062 | fail
60  60   2   0.75 |  4093     +164  1.08     -90.0 |  3261  -2074.1 |   2223  -2000.7 |     +536     -372 |     -988 | fail
60  60   4   0.20 |  3987     -243  0.88     -90.0 |  2459  -1945.7 |   2139  -1925.1 |      -16     -226 |    -1386 | fail
60  60   4   0.50 |  3987       -4  1.00     -90.0 |  2789  -1970.5 |   2139  -1925.1 |     +182     -186 |    -1172 | fail
60  60   4   0.75 |  3987     +211  1.11     -90.0 |  3205  -2000.3 |   2139  -1925.1 |     +402     -191 |     -956 | fail
60  60   8   0.20 |  3412     -277  0.84     -90.0 |  2098  -1694.4 |   1866  -1679.4 |      -17     -260 |    -1307 | fail
60  60   8   0.50 |  3412     +110  1.06     -90.0 |  2405  -1716.5 |   1866  -1679.4 |     +264     -154 |     -970 | fail
60  60   8   0.75 |  3412     +250  1.14     -90.0 |  2747  -1740.0 |   1866  -1679.4 |     +405     -155 |     -823 | fail
60  60   12  0.20 |  2928     -262  0.83     -90.0 |  1864  -1498.7 |   1648  -1483.2 |       -7     -256 |    -1068 | fail
60  60   12  0.50 |  2928      -78  0.95     -90.0 |  2087  -1514.1 |   1648  -1483.2 |     +220     -297 |     -858 | fail
60  60   12  0.75 |  2928     +105  1.07     -90.0 |  2372  -1534.5 |   1648  -1483.2 |     +370     -265 |     -672 | fail
60  100  2   0.20 |  3229     -194  0.88     -90.0 |  1982  -1609.6 |   1773  -1595.7 |      +87     -281 |    -1092 | fail
60  100  2   0.50 |  3229      +14  1.01     -90.0 |  2243  -1627.6 |   1773  -1595.7 |     +307     -293 |     -921 | fail
60  100  2   0.75 |  3229     +132  1.08     -90.0 |  2574  -1651.4 |   1773  -1595.7 |     +438     -306 |     -809 | fail
60  100  4   0.20 |  3161     -219  0.86     -90.0 |  1938  -1562.5 |   1720  -1548.0 |      -26     -193 |    -1108 | fail
60  100  4   0.50 |  3161      +48  1.03     -90.0 |  2204  -1581.8 |   1720  -1548.0 |     +172     -124 |     -913 | fail
60  100  4   0.75 |  3161     +187  1.12     -90.0 |  2525  -1604.7 |   1720  -1548.0 |     +307     -120 |     -771 | fail
60  100  8   0.20 |  2730     -261  0.81     -90.0 |  1714  -1382.6 |   1522  -1369.8 |      -30     -232 |    -1071 | fail
60  100  8   0.50 |  2730      -31  0.98     -90.0 |  1944  -1398.3 |   1522  -1369.8 |     +164     -195 |     -851 | fail
60  100  8   0.75 |  2730     +165  1.12     -90.0 |  2210  -1417.2 |   1522  -1369.8 |     +333     -168 |     -699 | fail
60  100  12  0.20 |  2349     -222  0.81     -90.0 |  1488  -1190.3 |   1308  -1177.2 |      -20     -202 |     -849 | fail
60  100  12  0.50 |  2349     -171  0.86     -90.0 |  1684  -1203.8 |   1308  -1177.2 |      +25     -196 |     -778 | fail
60  100  12  0.75 |  2349      -40  0.97     -90.0 |  1898  -1218.2 |   1308  -1177.2 |     +156     -196 |     -684 | fail
