INCREMENT-CASCADE CERT — coin=SAND early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4339      +67  1.04     -60.0 |  3040  -1693.7 |   2798  -1678.8 |     +161      -94 |    -1252 | fail
30  38   2   0.50 |  4339     +164  1.10     -60.0 |  3335  -1716.1 |   2798  -1678.8 |     +236      -72 |    -1144 | fail
30  38   2   0.75 |  4339      +76  1.04     -60.0 |  3675  -1741.3 |   2798  -1678.8 |     +179     -103 |    -1201 | fail
30  38   4   0.20 |  4455     -213  0.88     -60.0 |  3168  -1754.0 |   2896  -1737.6 |     -137      -76 |    -1565 | fail
30  38   4   0.50 |  4455     -232  0.87     -60.0 |  3486  -1777.3 |   2896  -1737.6 |     -189      -43 |    -1554 | fail
30  38   4   0.75 |  4455     -347  0.81     -60.0 |  3832  -1803.8 |   2896  -1737.6 |     -249      -98 |    -1608 | fail
30  38   8   0.20 |  3710     -373  0.75     -60.0 |  2671  -1470.3 |   2427  -1456.2 |     -244     -128 |    -1492 | fail
30  38   8   0.50 |  3710     -224  0.85     -60.0 |  2920  -1488.4 |   2427  -1456.2 |     -281      +57 |    -1294 | fail
30  38   8   0.75 |  3710      -48  0.97     -60.0 |  3217  -1511.4 |   2427  -1456.2 |     -329     +281 |    -1069 | fail
30  38   12  0.20 |  3297     -358  0.73     -60.0 |  2374  -1309.9 |   2162  -1297.2 |     -234     -124 |    -1328 | fail
30  38   12  0.50 |  3297     -437  0.67     -60.0 |  2609  -1326.7 |   2162  -1297.2 |     -358      -80 |    -1428 | fail
30  38   12  0.75 |  3297     -451  0.66     -60.0 |  2859  -1345.8 |   2162  -1297.2 |     -387      -64 |    -1422 | fail
30  60   2   0.20 |  3694     +195  1.14     -60.0 |  2558  -1426.1 |   2355  -1413.0 |     +238      -43 |     -948 | fail
30  60   2   0.50 |  3694     +349  1.24     -60.0 |  2792  -1443.1 |   2355  -1413.0 |     +296      +52 |     -833 | fail
30  60   2   0.75 |  3694     +320  1.22     -60.0 |  3089  -1465.0 |   2355  -1413.0 |     +287      +33 |     -834 | fail
30  60   4   0.20 |  3728      -10  0.99     -60.0 |  2620  -1453.6 |   2400  -1440.0 |      +54      -63 |    -1158 | fail
30  60   4   0.50 |  3728      -15  0.99     -60.0 |  2878  -1472.4 |   2400  -1440.0 |      +20      -35 |    -1162 | fail
30  60   4   0.75 |  3728       -7  1.00     -60.0 |  3170  -1494.7 |   2400  -1440.0 |       -5       -2 |    -1163 | fail
30  60   8   0.20 |  3142     -198  0.84     -60.0 |  2249  -1252.4 |   2069  -1241.4 |     -117      -81 |    -1126 | fail
30  60   8   0.50 |  3142      -41  0.97     -60.0 |  2450  -1266.9 |   2069  -1241.4 |     -125      +84 |     -961 | fail
30  60   8   0.75 |  3142      +39  1.03     -60.0 |  2695  -1285.4 |   2069  -1241.4 |     -176     +214 |     -842 | fail
30  60   12  0.20 |  2784     -124  0.89     -60.0 |  1981  -1089.1 |   1797  -1078.2 |     -127       +3 |     -951 | fail
30  60   12  0.50 |  2784     -262  0.76     -60.0 |  2165  -1102.1 |   1797  -1078.2 |     -240      -22 |    -1093 | fail
30  60   12  0.75 |  2784     -213  0.81     -60.0 |  2384  -1118.6 |   1797  -1078.2 |     -277      +64 |     -990 | fail
30  100  2   0.20 |  2891     +211  1.19     -60.0 |  2022  -1122.7 |   1853  -1111.8 |     +200      +11 |     -641 | fail
30  100  2   0.50 |  2891     +311  1.27     -60.0 |  2204  -1136.5 |   1853  -1111.8 |     +240      +70 |     -513 | fail
30  100  2   0.75 |  2891     +285  1.25     -60.0 |  2421  -1152.2 |   1853  -1111.8 |     +247      +38 |     -523 | fail
30  100  4   0.20 |  2877     +113  1.10     -60.0 |  2008  -1109.5 |   1831  -1098.6 |     +127      -14 |     -734 | fail
30  100  4   0.50 |  2877      +67  1.06     -60.0 |  2205  -1123.8 |   1831  -1098.6 |     +112      -45 |     -790 | fail
30  100  4   0.75 |  2877      +39  1.03     -60.0 |  2433  -1140.9 |   1831  -1098.6 |      +69      -30 |     -802 | fail
30  100  8   0.20 |  2439      +29  1.03     -60.0 |  1726   -949.7 |   1567   -940.2 |      -57      +86 |     -717 | fail
30  100  8   0.50 |  2439      +11  1.01     -60.0 |  1900   -962.3 |   1567   -940.2 |      -92     +103 |     -694 | fail
30  100  8   0.75 |  2439     +122  1.12     -60.0 |  2086   -976.7 |   1567   -940.2 |     -136     +258 |     -630 | fail
30  100  12  0.20 |  2166      -39  0.95     -60.0 |  1524   -850.4 |   1405   -843.0 |      -69      +30 |     -671 | fail
30  100  12  0.50 |  2166     -117  0.86     -60.0 |  1666   -859.9 |   1405   -843.0 |     -163      +45 |     -744 | fail
30  100  12  0.75 |  2166     -138  0.84     -60.0 |  1851   -874.0 |   1405   -843.0 |     -210      +72 |     -754 | fail
60  38   2   0.20 |  4339     -381  0.83     -90.0 |  2838  -2299.0 |   2533  -2279.7 |      -84     -298 |    -1684 | fail
60  38   2   0.50 |  4339     -279  0.88     -90.0 |  3187  -2325.8 |   2533  -2279.7 |       -9     -270 |    -1569 | fail
60  38   2   0.75 |  4339     -357  0.85     -90.0 |  3586  -2355.2 |   2533  -2279.7 |      -63     -294 |    -1610 | fail
60  38   4   0.20 |  4455     -600  0.74     -90.0 |  2925  -2351.3 |   2590  -2331.0 |     -353     -248 |    -1911 | fail
60  38   4   0.50 |  4455     -570  0.76     -90.0 |  3306  -2379.8 |   2590  -2331.0 |     -389     -181 |    -1873 | fail
60  38   4   0.75 |  4455     -676  0.72     -90.0 |  3730  -2411.7 |   2590  -2331.0 |     -439     -237 |    -1914 | fail
60  38   8   0.20 |  3710     -725  0.63     -90.0 |  2477  -1984.0 |   2185  -1966.5 |     -438     -286 |    -1823 | fail
