INCREMENT-CASCADE CERT — coin=SOL early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 | 12770     -114  0.98    -140.7 |  8861  -4943.5 |   8161  -4896.6 |     +895    -1010 |    -3968 | fail
30  38   2   0.50 | 12770     -445  0.91    -140.7 |  9734  -5004.2 |   8161  -4896.6 |     +712    -1157 |    -4220 | fail
30  38   2   0.75 | 12770     -227  0.96    -140.7 | 10778  -5083.9 |   8161  -4896.6 |     +890    -1118 |    -4035 | fail
30  38   4   0.20 | 10920       -3  1.00     -60.0 |  7545  -4203.2 |   6939  -4163.4 |     +769     -773 |    -3264 | fail
30  38   4   0.50 | 10920      -15  1.00     -60.0 |  8291  -4255.7 |   6939  -4163.4 |     +905     -920 |    -3235 | fail
30  38   4   0.75 | 10920     +129  1.03     -91.5 |  9186  -4322.6 |   6939  -4163.4 |    +1059     -931 |    -3118 | fail
30  38   8   0.20 |  8097      +66  1.02     -60.0 |  5603  -3120.2 |   5147  -3088.2 |     +698     -631 |    -2365 | fail
30  38   8   0.50 |  8097     -201  0.94     -60.0 |  6132  -3157.4 |   5147  -3088.2 |     +473     -674 |    -2560 | fail
30  38   8   0.75 |  8097      +47  1.01     -91.5 |  6791  -3206.9 |   5147  -3088.2 |     +686     -639 |    -2360 | fail
30  38   12  0.20 |  6773     +422  1.17     -60.0 |  4582  -2533.4 |   4175  -2505.0 |     +818     -396 |    -1649 | fail
30  38   12  0.50 |  6773     +232  1.09     -60.0 |  5038  -2565.9 |   4175  -2505.0 |     +621     -389 |    -1775 | fail
30  38   12  0.75 |  6773     +528  1.20     -91.5 |  5574  -2606.7 |   4175  -2505.0 |     +797     -269 |    -1516 | fail
30  60   2   0.20 | 10549      +62  1.02    -140.7 |  7235  -4050.1 |   6689  -4013.4 |     +645     -583 |    -3062 | fail
30  60   2   0.50 | 10549     -235  0.94    -140.7 |  7971  -4103.8 |   6689  -4013.4 |     +530     -765 |    -3278 | fail
30  60   2   0.75 | 10549       -1  1.00    -140.7 |  8838  -4168.8 |   6689  -4013.4 |     +683     -684 |    -3062 | fail
30  60   4   0.20 |  9148     +180  1.05     -60.0 |  6239  -3470.8 |   5729  -3437.4 |     +682     -502 |    -2525 | fail
30  60   4   0.50 |  9148       -4  1.00     -60.0 |  6860  -3517.0 |   5729  -3437.4 |     +683     -687 |    -2649 | fail
30  60   4   0.75 |  9148     +171  1.05     -91.5 |  7664  -3576.9 |   5729  -3437.4 |     +869     -698 |    -2488 | fail
30  60   8   0.20 |  6936     +163  1.06     -60.0 |  4752  -2650.2 |   4373  -2623.8 |     +683     -520 |    -1931 | fail
30  60   8   0.50 |  6936       -7  1.00     -60.0 |  5197  -2682.6 |   4373  -2623.8 |     +553     -560 |    -2051 | fail
30  60   8   0.75 |  6936      +91  1.03     -91.5 |  5789  -2727.5 |   4373  -2623.8 |     +658     -567 |    -1903 | fail
30  60   12  0.20 |  5859     +407  1.19     -60.0 |  3979  -2197.7 |   3622  -2173.2 |     +744     -337 |    -1330 | fail
30  60   12  0.50 |  5859     +286  1.13     -60.0 |  4346  -2223.9 |   3622  -2173.2 |     +594     -308 |    -1378 | fail
30  60   12  0.75 |  5859     +442  1.20     -91.5 |  4820  -2259.3 |   3622  -2173.2 |     +710     -268 |    -1279 | fail
30  100  2   0.20 |  8044     +139  1.05    -140.7 |  5514  -3088.7 |   5098  -3058.8 |     +560     -421 |    -2249 | fail
30  100  2   0.50 |  8044      -96  0.97    -140.7 |  6044  -3127.9 |   5098  -3058.8 |     +476     -572 |    -2434 | fail
30  100  2   0.75 |  8044      +51  1.02    -140.7 |  6713  -3177.5 |   5098  -3058.8 |     +558     -507 |    -2385 | fail
30  100  4   0.20 |  7099     +169  1.06     -60.0 |  4864  -2721.3 |   4497  -2698.2 |     +577     -407 |    -1914 | fail
30  100  4   0.50 |  7099       -3  1.00     -60.0 |  5347  -2756.2 |   4497  -2698.2 |     +517     -520 |    -2028 | fail
30  100  4   0.75 |  7099      +43  1.02     -91.5 |  5944  -2800.7 |   4497  -2698.2 |     +553     -510 |    -1934 | fail
30  100  8   0.20 |  5558     +214  1.10     -60.0 |  3801  -2116.8 |   3489  -2093.4 |     +594     -381 |    -1468 | fail
30  100  8   0.50 |  5558     +135  1.06     -60.0 |  4152  -2142.0 |   3489  -2093.4 |     +533     -398 |    -1440 | fail
30  100  8   0.75 |  5558     +270  1.12     -91.5 |  4641  -2179.9 |   3489  -2093.4 |     +665     -395 |    -1298 | fail
30  100  12  0.20 |  4746     +309  1.17     -60.0 |  3230  -1793.1 |   2958  -1774.8 |     +609     -301 |    -1134 | fail
30  100  12  0.50 |  4746     +218  1.12     -60.0 |  3516  -1814.2 |   2958  -1774.8 |     +503     -285 |    -1185 | fail
30  100  12  0.75 |  4746     +431  1.23     -91.5 |  3914  -1844.7 |   2958  -1774.8 |     +668     -237 |    -1037 | fail
60  38   2   0.20 | 12770    -1517  0.78    -140.7 |  8304  -6777.5 |   7466  -6719.4 |     +177    -1693 |    -5328 | fail
60  38   2   0.50 | 12770    -1844  0.73    -140.7 |  9351  -6850.7 |   7466  -6719.4 |      +19    -1864 |    -5551 | fail
60  38   2   0.75 | 12770    -1633  0.76    -140.7 | 10550  -6940.7 |   7466  -6719.4 |     +194    -1827 |    -5398 | fail
60  38   4   0.20 | 10920    -1186  0.79     -90.0 |  7083  -5771.7 |   6356  -5720.4 |     +153    -1339 |    -4401 | fail
60  38   4   0.50 | 10920    -1206  0.79     -90.0 |  7959  -5833.2 |   6356  -5720.4 |     +287    -1493 |    -4340 | fail
60  38   4   0.75 | 10920    -1050  0.82    -100.8 |  8974  -5908.9 |   6356  -5720.4 |     +432    -1482 |    -4209 | fail
60  38   8   0.20 |  8097     -680  0.84     -90.0 |  5216  -4239.0 |   4663  -4196.7 |     +303     -984 |    -3081 | fail
60  38   8   0.50 |  8097     -923  0.78     -90.0 |  5846  -4283.4 |   4663  -4196.7 |     +112    -1035 |    -3193 | fail
60  38   8   0.75 |  8097     -662  0.85     -91.5 |  6603  -4339.5 |   4663  -4196.7 |     +312     -973 |    -2965 | fail
60  38   12  0.20 |  6773     -236  0.93     -90.0 |  4281  -3437.0 |   3776  -3398.4 |     +438     -674 |    -2291 | fail
60  38   12  0.50 |  6773     -415  0.88     -90.0 |  4822  -3475.3 |   3776  -3398.4 |     +247     -663 |    -2383 | fail
60  38   12  0.75 |  6773      -88  0.98     -91.5 |  5439  -3521.5 |   3776  -3398.4 |     +411     -499 |    -2104 | fail
60  60   2   0.20 | 10549    -1105  0.80    -140.7 |  6806  -5579.8 |   6150  -5535.0 |      +43    -1148 |    -4231 | fail
60  60   2   0.50 | 10549    -1398  0.75    -140.7 |  7658  -5642.4 |   6150  -5535.0 |      -64    -1335 |    -4427 | fail
60  60   2   0.75 | 10549    -1186  0.79    -140.7 |  8643  -5715.4 |   6150  -5535.0 |      +86    -1272 |    -4232 | fail
60  60   4   0.20 |  9148     -722  0.85     -90.0 |  5855  -4760.4 |   5241  -4716.9 |     +223     -945 |    -3373 | fail
60  60   4   0.50 |  9148     -925  0.81     -90.0 |  6585  -4814.2 |   5241  -4716.9 |     +215    -1140 |    -3504 | fail
60  60   4   0.75 |  9148     -764  0.84    -100.8 |  7480  -4881.3 |   5241  -4716.9 |     +393    -1157 |    -3325 | fail
60  60   8   0.20 |  6936     -543  0.85     -90.0 |  4462  -3632.7 |   3998  -3598.2 |     +310     -854 |    -2612 | fail
60  60   8   0.50 |  6936     -695  0.81     -90.0 |  4980  -3669.2 |   3998  -3598.2 |     +182     -876 |    -2649 | fail
60  60   8   0.75 |  6936     -577  0.84     -91.5 |  5659  -3720.7 |   3998  -3598.2 |     +295     -872 |    -2487 | fail
60  60   12  0.20 |  5859     -182  0.94     -90.0 |  3719  -3001.3 |   3299  -2969.1 |     +409     -591 |    -1915 | fail
60  60   12  0.50 |  5859     -248  0.92     -90.0 |  4158  -3032.3 |   3299  -2969.1 |     +290     -537 |    -1891 | fail
60  60   12  0.75 |  5859      -73  0.98     -91.5 |  4696  -3071.9 |   3299  -2969.1 |     +391     -464 |    -1784 | fail
60  100  2   0.20 |  8044     -794  0.81    -140.7 |  5206  -4274.9 |   4709  -4238.1 |      +65     -859 |    -3196 | fail
60  100  2   0.50 |  8044    -1073  0.75    -140.7 |  5822  -4320.6 |   4709  -4238.1 |      -30    -1043 |    -3406 | fail
60  100  2   0.75 |  8044     -934  0.79    -140.7 |  6583  -4377.3 |   4709  -4238.1 |      +63     -997 |    -3356 | fail
60  100  4   0.20 |  7099     -676  0.82     -90.0 |  4606  -3786.1 |   4173  -3755.7 |     +141     -817 |    -2757 | fail
60  100  4   0.50 |  7099     -880  0.77     -90.0 |  5163  -3826.4 |   4173  -3755.7 |      +69     -949 |    -2906 | fail
60  100  4   0.75 |  7099     -853  0.78     -91.5 |  5822  -3875.2 |   4173  -3755.7 |      +94     -947 |    -2834 | fail
60  100  8   0.20 |  5558     -407  0.86     -90.0 |  3590  -2921.1 |   3211  -2889.9 |     +273     -681 |    -2092 | fail
60  100  8   0.50 |  5558     -535  0.82     -90.0 |  4004  -2950.6 |   3211  -2889.9 |     +192     -727 |    -2110 | fail
60  100  8   0.75 |  5558     -366  0.88     -91.5 |  4553  -2992.5 |   3211  -2889.9 |     +315     -682 |    -1961 | fail
