INCREMENT-CASCADE CERT — coin=SUI early=1 bars=28123 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  3932      -63  0.96     -60.0 |  2808  -1578.8 |   2612  -1567.2 |     -174     +111 |    -1201 | fail
30  38   2   0.50 |  3932     +207  1.13     -60.0 |  3028  -1593.1 |   2612  -1567.2 |     -172     +379 |     -894 | fail
30  38   2   0.75 |  3932     +325  1.20     -60.0 |  3334  -1613.4 |   2612  -1567.2 |     -139     +464 |     -818 | fail
30  38   4   0.20 |  4051     -255  0.84     -60.0 |  2852  -1610.4 |   2665  -1599.0 |     -183      -72 |    -1415 | fail
30  38   4   0.50 |  4051     -362  0.78     -60.0 |  3093  -1628.7 |   2665  -1599.0 |     -326      -36 |    -1490 | fail
30  38   4   0.75 |  4051     -223  0.86     -60.0 |  3422  -1651.7 |   2665  -1599.0 |     -177      -46 |    -1388 | fail
30  38   8   0.20 |  3602     -337  0.76     -60.0 |  2531  -1421.3 |   2349  -1409.4 |     -213     -124 |    -1419 | fail
30  38   8   0.50 |  3602     -274  0.81     -60.0 |  2762  -1439.1 |   2349  -1409.4 |     -224      -49 |    -1247 | fail
30  38   8   0.75 |  3602      -22  0.99     -60.0 |  3064  -1461.3 |   2349  -1409.4 |      +43      -65 |    -1051 | fail
30  38   12  0.20 |  3090     -335  0.73     -60.0 |  2231  -1256.1 |   2077  -1246.2 |     -186     -148 |    -1261 | fail
30  38   12  0.50 |  3090     -223  0.82     -60.0 |  2417  -1269.6 |   2077  -1246.2 |     -253      +30 |    -1139 | fail
30  38   12  0.75 |  3090     -144  0.89     -60.0 |  2646  -1286.1 |   2077  -1246.2 |     -252     +108 |    -1123 | fail
30  60   2   0.20 |  3402     +100  1.07     -60.0 |  2391  -1344.7 |   2224  -1334.4 |     -103     +203 |     -880 | fail
30  60   2   0.50 |  3402     +311  1.23     -60.0 |  2586  -1358.6 |   2224  -1334.4 |     -103     +413 |     -582 | fail
30  60   2   0.75 |  3402     +512  1.37     -60.0 |  2848  -1377.0 |   2224  -1334.4 |      +25     +486 |     -439 | fail
30  60   4   0.20 |  3537      -75  0.95     -60.0 |  2462  -1391.3 |   2302  -1381.2 |     -135      +60 |    -1107 | fail
30  60   4   0.50 |  3537      -71  0.95     -60.0 |  2685  -1407.9 |   2302  -1381.2 |     -195     +124 |    -1060 | fail
30  60   4   0.75 |  3537      +89  1.06     -60.0 |  2971  -1428.2 |   2302  -1381.2 |      -42     +131 |     -936 | fail
30  60   8   0.20 |  3139     -220  0.82     -60.0 |  2208  -1231.9 |   2034  -1220.4 |     -165      -56 |    -1128 | fail
30  60   8   0.50 |  3139     -124  0.90     -60.0 |  2396  -1245.3 |   2034  -1220.4 |     -129       +5 |     -976 | fail
30  60   8   0.75 |  3139      +47  1.04     -60.0 |  2655  -1264.2 |   2034  -1220.4 |      +60      -13 |     -868 | fail
30  60   12  0.20 |  2699     -149  0.86     -60.0 |  1915  -1077.2 |   1782  -1069.2 |      -93      -56 |     -925 | fail
30  60   12  0.50 |  2699      -62  0.94     -60.0 |  2074  -1089.5 |   1782  -1069.2 |     -119      +56 |     -787 | fail
30  60   12  0.75 |  2699     +111  1.10     -60.0 |  2280  -1104.6 |   1782  -1069.2 |      -37     +148 |     -763 | fail
30  100  2   0.20 |  2735     +142  1.13     -60.0 |  1887  -1066.7 |   1766  -1059.6 |      -24     +166 |     -665 | fail
30  100  2   0.50 |  2735     +361  1.33     -60.0 |  2058  -1078.6 |   1766  -1059.6 |       -3     +363 |     -381 | fail
30  100  2   0.75 |  2735     +494  1.45     -60.0 |  2279  -1093.2 |   1766  -1059.6 |      +73     +421 |     -191 | fail
30  100  4   0.20 |  2863      -34  0.97     -60.0 |  2012  -1129.3 |   1867  -1120.2 |      -74      +40 |     -899 | fail
30  100  4   0.50 |  2863      +19  1.02     -60.0 |  2177  -1141.5 |   1867  -1120.2 |     -111     +130 |     -800 | fail
30  100  4   0.75 |  2863      +65  1.06     -60.0 |  2419  -1157.9 |   1867  -1120.2 |      -36     +101 |     -734 | fail
30  100  8   0.20 |  2519      -64  0.93     -60.0 |  1757   -985.6 |   1628   -976.8 |     -108      +44 |     -831 | fail
30  100  8   0.50 |  2519       -8  0.99     -60.0 |  1913   -997.6 |   1628   -976.8 |     -141     +133 |     -765 | fail
30  100  8   0.75 |  2519     +108  1.11     -60.0 |  2120  -1011.7 |   1628   -976.8 |      +20      +88 |     -697 | fail
30  100  12  0.20 |  2200      +24  1.03     -60.0 |  1520   -852.7 |   1409   -845.4 |      -42      +66 |     -618 | fail
