INCREMENT-CASCADE CERT — coin=THETA early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  4890     -346  0.82     -64.1 |  3452  -1893.2 |   3110  -1866.0 |     -135     -210 |    -1778 | fail
30  38   2   0.50 |  4890     -307  0.84     -64.1 |  3774  -1916.2 |   3110  -1866.0 |     -150     -157 |    -1765 | fail
30  38   2   0.75 |  4890     -243  0.87     -64.1 |  4166  -1943.8 |   3110  -1866.0 |     -108     -136 |    -1727 | fail
30  38   4   0.20 |  4970     -477  0.76     -64.1 |  3577  -1977.3 |   3249  -1949.4 |     -128     -349 |    -1960 | fail
30  38   4   0.50 |  4970     -389  0.81     -64.1 |  3924  -2001.5 |   3249  -1949.4 |     -109     -280 |    -1830 | fail
30  38   4   0.75 |  4970     -384  0.81     -64.1 |  4316  -2030.1 |   3249  -1949.4 |     -135     -249 |    -1912 | fail
30  38   8   0.20 |  4105     -299  0.82     -64.1 |  2934  -1624.8 |   2674  -1604.4 |      +63     -362 |    -1497 | fail
30  38   8   0.50 |  4105     -101  0.94     -64.1 |  3220  -1645.9 |   2674  -1604.4 |      +77     -178 |    -1304 | fail
30  38   8   0.75 |  4105      -12  0.99     -64.1 |  3535  -1668.7 |   2674  -1604.4 |     +165     -177 |    -1239 | fail
30  38   12  0.20 |  3663     -298  0.79     -64.1 |  2652  -1452.8 |   2385  -1431.0 |      +65     -363 |    -1400 | fail
30  38   12  0.50 |  3663     -475  0.68     -64.1 |  2900  -1471.1 |   2385  -1431.0 |      -79     -396 |    -1548 | fail
30  38   12  0.75 |  3663     -530  0.64     -64.1 |  3181  -1491.0 |   2385  -1431.0 |     -115     -415 |    -1583 | fail
30  60   2   0.20 |  4175     -242  0.85     -64.1 |  2899  -1608.0 |   2647  -1588.2 |      -21     -220 |    -1487 | fail
30  60   2   0.50 |  4175     -200  0.88     -64.1 |  3202  -1630.4 |   2647  -1588.2 |      -48     -152 |    -1442 | fail
30  60   2   0.75 |  4175     -181  0.89     -64.1 |  3540  -1653.3 |   2647  -1588.2 |      -48     -132 |    -1420 | fail
30  60   4   0.20 |  4199     -327  0.80     -64.1 |  2993  -1662.8 |   2735  -1641.0 |      -69     -259 |    -1605 | fail
30  60   4   0.50 |  4199     -163  0.90     -64.1 |  3294  -1684.4 |   2735  -1641.0 |       -7     -156 |    -1427 | fail
30  60   4   0.75 |  4199     -223  0.87     -64.1 |  3620  -1708.3 |   2735  -1641.0 |      -77     -146 |    -1462 | fail
30  60   8   0.20 |  3534     -228  0.84     -64.1 |  2528  -1399.5 |   2304  -1382.4 |      +73     -301 |    -1269 | fail
30  60   8   0.50 |  3534     -119  0.92     -64.1 |  2770  -1416.7 |   2304  -1382.4 |      +67     -186 |    -1154 | fail
30  60   8   0.75 |  3534      -11  0.99     -64.1 |  3037  -1436.0 |   2304  -1382.4 |     +165     -176 |    -1080 | fail
30  60   12  0.20 |  3152     -198  0.84     -60.0 |  2263  -1240.7 |   2040  -1224.0 |      +42     -239 |    -1138 | fail
30  60   12  0.50 |  3152     -260  0.79     -60.0 |  2498  -1257.3 |   2040  -1224.0 |      -79     -181 |    -1183 | fail
30  60   12  0.75 |  3152     -320  0.75     -60.0 |  2730  -1274.2 |   2040  -1224.0 |     -134     -186 |    -1228 | fail
30  100  2   0.20 |  3276     -180  0.86     -60.0 |  2285  -1265.3 |   2080  -1248.0 |       +2     -182 |    -1140 | fail
30  100  2   0.50 |  3276     -164  0.87     -60.0 |  2501  -1280.6 |   2080  -1248.0 |      -30     -134 |    -1126 | fail
30  100  2   0.75 |  3276     -130  0.90     -60.0 |  2777  -1300.3 |   2080  -1248.0 |      -30     -101 |    -1128 | fail
30  100  4   0.20 |  3275     -236  0.82     -60.0 |  2321  -1284.4 |   2113  -1267.8 |      -51     -185 |    -1219 | fail
30  100  4   0.50 |  3275     -149  0.89     -60.0 |  2549  -1300.1 |   2113  -1267.8 |      -13     -136 |    -1080 | fail
30  100  4   0.75 |  3275      -93  0.93     -60.0 |  2809  -1318.8 |   2113  -1267.8 |      +46     -139 |    -1056 | fail
30  100  8   0.20 |  2820     -180  0.84     -60.0 |  2004  -1110.5 |   1828  -1096.8 |      +22     -202 |    -1036 | fail
30  100  8   0.50 |  2820      -89  0.92     -60.0 |  2185  -1123.7 |   1828  -1096.8 |      +37     -126 |     -913 | fail
30  100  8   0.75 |  2820      -62  0.95     -60.0 |  2398  -1138.8 |   1828  -1096.8 |     +100     -161 |     -887 | fail
30  100  12  0.20 |  2493      -86  0.91     -60.0 |  1760   -960.1 |   1576   -945.6 |      +57     -144 |     -801 | fail
30  100  12  0.50 |  2493      -27  0.97     -60.0 |  1929   -972.9 |   1576   -945.6 |       -2      -25 |     -750 | fail
30  100  12  0.75 |  2493      -78  0.92     -60.0 |  2140   -987.8 |   1576   -945.6 |      -25      -53 |     -825 | fail
60  38   2   0.20 |  4890     -818  0.68     -90.0 |  3217  -2553.7 |   2801  -2520.9 |     -346     -471 |    -2250 | fail
60  38   2   0.50 |  4890     -781  0.70     -90.0 |  3597  -2580.6 |   2801  -2520.9 |     -369     -412 |    -2200 | fail
60  38   2   0.75 |  4890     -691  0.74     -90.0 |  4062  -2613.5 |   2801  -2520.9 |     -293     -398 |    -2171 | fail
