INCREMENT-CASCADE CERT — coin=TIA early=1 bars=23775 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  5773      -29  0.99     -60.0 |  4023  -2254.1 |   3724  -2234.4 |     +287     -316 |    -1812 | fail
30  38   2   0.50 |  5773     -213  0.91     -60.0 |  4389  -2280.7 |   3724  -2234.4 |     +202     -415 |    -1956 | fail
30  38   2   0.75 |  5773     -235  0.90     -60.0 |  4891  -2316.5 |   3724  -2234.4 |     +140     -375 |    -1976 | fail
30  38   4   0.20 |  5280     -235  0.89     -60.0 |  3748  -2094.9 |   3460  -2076.0 |      +91     -325 |    -1819 | fail
30  38   4   0.50 |  5280     -271  0.87     -60.0 |  4076  -2117.8 |   3460  -2076.0 |     +112     -384 |    -1757 | fail
30  38   4   0.75 |  5280     -291  0.86     -60.0 |  4521  -2150.5 |   3460  -2076.0 |      +63     -354 |    -1759 | fail
30  38   8   0.20 |  4035     -361  0.78     -60.0 |  2893  -1621.5 |   2679  -1607.4 |       +6     -366 |    -1595 | fail
30  38   8   0.50 |  4035     -384  0.77     -60.0 |  3152  -1639.9 |   2679  -1607.4 |      +25     -409 |    -1625 | fail
30  38   8   0.75 |  4035     -403  0.76     -60.0 |  3476  -1663.7 |   2679  -1607.4 |      +10     -414 |    -1608 | fail
30  38   12  0.20 |  3401      -28  0.98     -60.0 |  2391  -1334.0 |   2200  -1320.0 |     +206     -234 |    -1033 | fail
30  38   12  0.50 |  3401      -88  0.93     -60.0 |  2604  -1350.5 |   2200  -1320.0 |     +191     -279 |    -1041 | fail
30  38   12  0.75 |  3401      -85  0.94     -60.0 |  2874  -1371.3 |   2200  -1320.0 |     +121     -206 |    -1033 | fail
30  60   2   0.20 |  4900      +56  1.03     -60.0 |  3379  -1904.0 |   3148  -1888.8 |     +320     -264 |    -1431 | fail
