INCREMENT-CASCADE CERT — coin=TRX early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  5169     -275  0.86     -60.0 |  3547  -1925.3 |   3167  -1900.2 |      -89     -187 |    -1792 | fail
30  38   2   0.50 |  5169     -271  0.86     -60.0 |  3945  -1954.6 |   3167  -1900.2 |     -186      -85 |    -1804 | fail
30  38   2   0.75 |  5169      -51  0.97     -60.0 |  4410  -1989.0 |   3167  -1900.2 |     -184     +133 |    -1590 | fail
30  38   4   0.20 |  5019     -374  0.80     -60.0 |  3542  -1891.6 |   3105  -1863.0 |     -121     -253 |    -1874 | fail
30  38   4   0.50 |  5019      -36  0.98     -60.0 |  3915  -1918.8 |   3105  -1863.0 |     -315     +278 |    -1538 | fail
30  38   4   0.75 |  5019     -133  0.93     -60.0 |  4335  -1948.4 |   3105  -1863.0 |     -325     +191 |    -1619 | fail
30  38   8   0.20 |  4365     -489  0.70     -60.0 |  3116  -1645.7 |   2699  -1619.4 |      -83     -406 |    -1770 | fail
30  38   8   0.50 |  4365     -544  0.67     -60.0 |  3439  -1669.8 |   2699  -1619.4 |     -152     -392 |    -1815 | fail
30  38   8   0.75 |  4365     -316  0.81     -60.0 |  3804  -1695.6 |   2699  -1619.4 |     -235      -81 |    -1659 | fail
30  38   12  0.20 |  3835     -501  0.66     -60.0 |  2781  -1454.1 |   2383  -1429.8 |     -153     -348 |    -1601 | fail
30  38   12  0.50 |  3835     -576  0.61     -60.0 |  3068  -1474.1 |   2383  -1429.8 |     -185     -391 |    -1667 | fail
30  38   12  0.75 |  3835     -388  0.74     -60.0 |  3368  -1495.1 |   2383  -1429.8 |     -272     -116 |    -1488 | fail
30  60   2   0.20 |  4276     -161  0.90     -60.0 |  2941  -1595.1 |   2628  -1576.8 |       -3     -158 |    -1430 | fail
30  60   2   0.50 |  4276     -224  0.86     -60.0 |  3269  -1619.8 |   2628  -1576.8 |     -103     -121 |    -1482 | fail
30  60   2   0.75 |  4276     -120  0.93     -60.0 |  3628  -1648.2 |   2628  -1576.8 |     -119       -1 |    -1375 | fail
30  60   4   0.20 |  4143     -262  0.83     -60.0 |  2927  -1568.9 |   2580  -1548.0 |      -47     -215 |    -1462 | fail
30  60   4   0.50 |  4143       +5  1.00     -60.0 |  3236  -1591.7 |   2580  -1548.0 |     -239     +244 |    -1156 | fail
30  60   4   0.75 |  4143     -138  0.91     -60.0 |  3579  -1616.3 |   2580  -1548.0 |     -310     +172 |    -1266 | fail
30  60   8   0.20 |  3636     -375  0.72     -60.0 |  2577  -1360.4 |   2232  -1339.2 |      -49     -326 |    -1443 | fail
30  60   8   0.50 |  3636     -409  0.70     -60.0 |  2862  -1381.0 |   2232  -1339.2 |      -93     -315 |    -1452 | fail
30  60   8   0.75 |  3636     -361  0.74     -60.0 |  3152  -1401.9 |   2232  -1339.2 |     -195     -166 |    -1378 | fail
30  60   12  0.20 |  3176     -373  0.69     -60.0 |  2263  -1204.9 |   1979  -1187.4 |      -69     -304 |    -1284 | fail
30  60   12  0.50 |  3176     -434  0.65     -60.0 |  2528  -1224.1 |   1979  -1187.4 |     -115     -319 |    -1341 | fail
30  60   12  0.75 |  3176     -444  0.64     -60.0 |  2765  -1240.7 |   1979  -1187.4 |     -167     -277 |    -1323 | fail
30  100  2   0.20 |  3227      -33  0.97     -60.0 |  2214  -1200.4 |   1976  -1185.6 |     +105     -138 |     -931 | fail
30  100  2   0.50 |  3227      -75  0.94     -60.0 |  2447  -1218.3 |   1976  -1185.6 |      +42     -117 |     -968 | fail
30  100  2   0.75 |  3227      -47  0.96     -60.0 |  2735  -1239.9 |   1976  -1185.6 |      +28      -75 |     -953 | fail
30  100  4   0.20 |  3111      -47  0.96     -60.0 |  2189  -1172.1 |   1926  -1155.6 |      +88     -135 |     -980 | fail
30  100  4   0.50 |  3111      +93  1.08     -60.0 |  2413  -1187.8 |   1926  -1155.6 |      -35     +128 |     -828 | fail
30  100  4   0.75 |  3111      +62  1.05     -60.0 |  2660  -1206.7 |   1926  -1155.6 |      -84     +146 |     -882 | fail
30  100  8   0.20 |  2768     -317  0.70     -60.0 |  1973  -1064.5 |   1752  -1051.2 |      -73     -244 |    -1130 | fail
30  100  8   0.50 |  2768     -346  0.68     -60.0 |  2176  -1078.9 |   1752  -1051.2 |     -105     -241 |    -1147 | fail
30  100  8   0.75 |  2768     -221  0.80     -60.0 |  2411  -1096.2 |   1752  -1051.2 |     -134      -86 |    -1074 | fail
30  100  12  0.20 |  2454     -266  0.72     -60.0 |  1755   -943.9 |   1551   -930.6 |      -47     -219 |     -978 | fail
30  100  12  0.50 |  2454     -342  0.64     -60.0 |  1940   -957.3 |   1551   -930.6 |     -107     -234 |    -1030 | fail
