INCREMENT-CASCADE CERT — coin=UNI early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 | 12429     -487  0.90     -60.0 |  8682  -4836.7 |   7989  -4793.4 |     -200     -287 |    -4217 | fail
30  38   2   0.50 | 12429     -487  0.90     -60.0 |  9527  -4898.4 |   7989  -4793.4 |     -342     -144 |    -4143 | fail
30  38   2   0.75 | 12429     -352  0.93     -60.0 | 10546  -4973.2 |   7989  -4793.4 |     -334      -18 |    -3991 | fail
30  38   4   0.20 | 10748     -432  0.90     -60.0 |  7523  -4197.0 |   6932  -4159.2 |     -139     -293 |    -3668 | fail
30  38   4   0.50 | 10748     -148  0.97     -60.0 |  8260  -4252.1 |   6932  -4159.2 |     +108     -256 |    -3296 | fail
30  38   4   0.75 | 10748      -62  0.99     -60.0 |  9123  -4316.3 |   6932  -4159.2 |     +174     -235 |    -3187 | fail
30  38   8   0.20 |  8152     -712  0.78     -60.0 |  5764  -3214.4 |   5306  -3183.6 |     -337     -374 |    -3185 | fail
30  38   8   0.50 |  8152     -912  0.72     -60.0 |  6298  -3254.4 |   5306  -3183.6 |     -393     -519 |    -3356 | fail
30  38   8   0.75 |  8152    -1042  0.68     -60.0 |  6997  -3306.8 |   5306  -3183.6 |     -443     -599 |    -3396 | fail
30  38   12  0.20 |  6865     -690  0.75     -60.0 |  4876  -2709.4 |   4470  -2682.0 |     -228     -462 |    -2814 | fail
30  38   12  0.50 |  6865     -382  0.86     -60.0 |  5333  -2745.0 |   4470  -2682.0 |     -177     -205 |    -2480 | fail
30  38   12  0.75 |  6865      +10  1.00     -60.0 |  5884  -2787.7 |   4470  -2682.0 |      +94      -84 |    -2144 | fail
30  60   2   0.20 | 10232     -205  0.95     -60.0 |  7108  -3939.7 |   6500  -3900.0 |      -98     -108 |    -3230 | fail
30  60   2   0.50 | 10232     -210  0.95     -60.0 |  7799  -3990.9 |   6500  -3900.0 |     -195      -15 |    -3210 | fail
30  60   2   0.75 | 10232     -127  0.97     -60.0 |  8633  -4052.7 |   6500  -3900.0 |     -260     +133 |    -3169 | fail
30  60   4   0.20 |  8907     -263  0.92     -60.0 |  6182  -3446.1 |   5691  -3414.6 |      -66     -197 |    -2913 | fail
30  60   4   0.50 |  8907      -39  0.99     -60.0 |  6790  -3491.3 |   5691  -3414.6 |     +107     -146 |    -2610 | fail
30  60   4   0.75 |  8907     +152  1.04     -60.0 |  7524  -3545.3 |   5691  -3414.6 |     +226      -74 |    -2426 | fail
30  60   8   0.20 |  6922     -526  0.81     -60.0 |  4868  -2712.6 |   4478  -2686.8 |     -274     -252 |    -2634 | fail
30  60   8   0.50 |  6922     -618  0.77     -60.0 |  5348  -2747.4 |   4478  -2686.8 |     -365     -253 |    -2704 | fail
30  60   8   0.75 |  6922     -632  0.77     -60.0 |  5913  -2789.6 |   4478  -2686.8 |     -329     -304 |    -2680 | fail
30  60   12  0.20 |  5835     -505  0.78     -60.0 |  4133  -2309.6 |   3812  -2287.2 |     -189     -316 |    -2283 | fail
30  60   12  0.50 |  5835     -328  0.86     -60.0 |  4521  -2338.7 |   3812  -2287.2 |     -208     -120 |    -2087 | fail
30  60   12  0.75 |  5835      +11  1.00     -60.0 |  4974  -2373.2 |   3812  -2287.2 |      +28      -17 |    -1765 | fail
30  100  2   0.20 |  7708     -158  0.95     -60.0 |  5352  -2979.5 |   4917  -2950.2 |      -98      -59 |    -2517 | fail
30  100  2   0.50 |  7708     -188  0.94     -60.0 |  5867  -3017.1 |   4917  -2950.2 |     -235      +47 |    -2586 | fail
30  100  2   0.75 |  7708     -112  0.96     -60.0 |  6509  -3066.1 |   4917  -2950.2 |     -227     +115 |    -2558 | fail
30  100  4   0.20 |  6775     -150  0.94     -60.0 |  4675  -2614.4 |   4318  -2590.8 |      -47     -103 |    -2158 | fail
30  100  4   0.50 |  6775      +84  1.03     -60.0 |  5149  -2649.2 |   4318  -2590.8 |      +62      +22 |    -1868 | fail
30  100  4   0.75 |  6775     +155  1.06     -60.0 |  5720  -2692.5 |   4318  -2590.8 |     +134      +20 |    -1818 | fail
30  100  8   0.20 |  5381     -254  0.88     -60.0 |  3777  -2103.9 |   3472  -2083.2 |     -133     -122 |    -1881 | fail
30  100  8   0.50 |  5381     -326  0.85     -60.0 |  4118  -2128.5 |   3472  -2083.2 |     -252      -74 |    -1899 | fail
30  100  8   0.75 |  5381     -314  0.85     -60.0 |  4576  -2161.8 |   3472  -2083.2 |     -253      -61 |    -1870 | fail
30  100  12  0.20 |  4630     -202  0.89     -60.0 |  3249  -1809.1 |   2986  -1791.6 |      -79     -123 |    -1602 | fail
30  100  12  0.50 |  4630      -95  0.95     -60.0 |  3552  -1831.2 |   2986  -1791.6 |      -96       +1 |    -1456 | fail
30  100  12  0.75 |  4630      +78  1.04     -60.0 |  3929  -1861.6 |   2986  -1791.6 |      +26      +52 |    -1230 | fail
60  38   2   0.20 | 12429    -1688  0.74     -90.0 |  8098  -6599.2 |   7276  -6548.4 |     -825     -862 |    -5410 | fail
60  38   2   0.50 | 12429    -1668  0.75     -90.0 |  9085  -6670.9 |   7276  -6548.4 |    -1001     -666 |    -5279 | fail
60  38   2   0.75 | 12429    -1555  0.77     -90.0 | 10254  -6756.5 |   7276  -6548.4 |    -1013     -542 |    -5149 | fail
60  38   4   0.20 | 10748    -1470  0.74     -90.0 |  7006  -5702.0 |   6282  -5653.8 |     -651     -818 |    -4712 | fail
60  38   4   0.50 | 10748    -1183  0.79     -90.0 |  7887  -5767.1 |   6282  -5653.8 |     -438     -745 |    -4325 | fail
60  38   4   0.75 | 10748    -1072  0.82     -90.0 |  8884  -5841.0 |   6282  -5653.8 |     -356     -716 |    -4184 | fail
60  38   8   0.20 |  8152    -1516  0.65     -90.0 |  5368  -4373.5 |   4815  -4333.5 |     -745     -771 |    -3997 | fail
60  38   8   0.50 |  8152    -1752  0.60     -90.0 |  6016  -4421.3 |   4815  -4333.5 |     -847     -905 |    -4173 | fail
60  38   8   0.75 |  8152    -1863  0.58     -90.0 |  6815  -4480.8 |   4815  -4333.5 |     -896     -967 |    -4200 | fail
60  38   12  0.20 |  6865    -1377  0.63     -90.0 |  4560  -3701.3 |   4072  -3664.8 |     -573     -804 |    -3501 | fail
60  38   12  0.50 |  6865    -1066  0.72     -90.0 |  5098  -3742.8 |   4072  -3664.8 |     -523     -543 |    -3150 | fail
60  38   12  0.75 |  6865     -673  0.82     -90.0 |  5732  -3791.7 |   4072  -3664.8 |     -259     -414 |    -2758 | fail
60  60   2   0.20 | 10232    -1281  0.76     -90.0 |  6682  -5408.6 |   5958  -5362.2 |     -654     -627 |    -4329 | fail
60  60   2   0.50 | 10232    -1237  0.77     -90.0 |  7477  -5466.3 |   5958  -5362.2 |     -768     -468 |    -4217 | fail
60  60   2   0.75 | 10232    -1131  0.80     -90.0 |  8418  -5536.1 |   5958  -5362.2 |     -824     -307 |    -4158 | fail
60  60   4   0.20 |  8907    -1193  0.75     -90.0 |  5788  -4715.8 |   5197  -4677.3 |     -534     -659 |    -3852 | fail
60  60   4   0.50 |  8907     -925  0.81     -90.0 |  6500  -4768.4 |   5197  -4677.3 |     -379     -546 |    -3508 | fail
60  60   4   0.75 |  8907     -720  0.85     -90.0 |  7331  -4830.1 |   5197  -4677.3 |     -227     -493 |    -3314 | fail
