INCREMENT-CASCADE CERT — coin=VET early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 |  6017     -660  0.72     -60.0 |  4281  -2345.5 |   3863  -2317.8 |     -310     -350 |    -2489 | fail
30  38   2   0.50 |  6017     -737  0.69     -60.0 |  4739  -2377.5 |   3863  -2317.8 |     -347     -390 |    -2522 | fail
30  38   2   0.75 |  6017     -706  0.71     -60.0 |  5224  -2411.9 |   3863  -2317.8 |     -347     -359 |    -2484 | fail
30  38   4   0.20 |  5339     -538  0.74     -60.0 |  3761  -2056.2 |   3388  -2032.8 |     -353     -185 |    -2128 | fail
30  38   4   0.50 |  5339     -503  0.76     -60.0 |  4158  -2085.5 |   3388  -2032.8 |     -359     -145 |    -2084 | fail
30  38   4   0.75 |  5339     -455  0.78     -60.0 |  4582  -2116.6 |   3388  -2032.8 |     -317     -138 |    -2057 | fail
30  38   8   0.20 |  4246     -562  0.66     -60.0 |  3029  -1659.5 |   2735  -1641.0 |     -315     -248 |    -1849 | fail
30  38   8   0.50 |  4246     -594  0.65     -60.0 |  3345  -1682.0 |   2735  -1641.0 |     -354     -240 |    -1889 | fail
30  38   8   0.75 |  4246     -704  0.59     -60.0 |  3691  -1706.0 |   2735  -1641.0 |     -405     -298 |    -1957 | fail
30  38   12  0.20 |  3615     -520  0.63     -60.0 |  2604  -1419.7 |   2338  -1402.8 |     -309     -210 |    -1616 | fail
30  38   12  0.50 |  3615     -577  0.60     -60.0 |  2854  -1438.1 |   2338  -1402.8 |     -401     -176 |    -1653 | fail
30  38   12  0.75 |  3615     -448  0.69     -60.0 |  3165  -1460.5 |   2338  -1402.8 |     -248     -200 |    -1514 | fail
30  60   2   0.20 |  4906     -528  0.72     -60.0 |  3461  -1905.7 |   3142  -1885.2 |     -281     -247 |    -2011 | fail
30  60   2   0.50 |  4906     -546  0.72     -60.0 |  3843  -1932.4 |   3142  -1885.2 |     -275     -270 |    -1999 | fail
30  60   2   0.75 |  4906     -541  0.72     -60.0 |  4245  -1960.1 |   3142  -1885.2 |     -281     -260 |    -1941 | fail
30  60   4   0.20 |  4441     -424  0.75     -60.0 |  3107  -1708.0 |   2816  -1689.6 |     -303     -121 |    -1739 | fail
30  60   4   0.50 |  4441     -378  0.78     -60.0 |  3435  -1731.5 |   2816  -1689.6 |     -307      -71 |    -1683 | fail
30  60   4   0.75 |  4441     -405  0.77     -60.0 |  3814  -1758.6 |   2816  -1689.6 |     -313      -93 |    -1645 | fail
30  60   8   0.20 |  3558     -500  0.65     -60.0 |  2567  -1419.6 |   2342  -1405.2 |     -283     -217 |    -1566 | fail
30  60   8   0.50 |  3558     -573  0.60     -60.0 |  2833  -1440.0 |   2342  -1405.2 |     -377     -196 |    -1638 | fail
30  60   8   0.75 |  3558     -597  0.59     -60.0 |  3107  -1459.6 |   2342  -1405.2 |     -398     -200 |    -1671 | fail
30  60   12  0.20 |  3045     -442  0.63     -60.0 |  2196  -1209.2 |   1994  -1196.4 |     -263     -179 |    -1352 | fail
30  60   12  0.50 |  3045     -503  0.59     -60.0 |  2419  -1225.8 |   1994  -1196.4 |     -327     -176 |    -1438 | fail
30  60   12  0.75 |  3045     -355  0.71     -60.0 |  2657  -1243.2 |   1994  -1196.4 |     -174     -181 |    -1328 | fail
30  100  2   0.20 |  3673     -401  0.72     -60.0 |  2594  -1435.8 |   2368  -1420.8 |     -224     -176 |    -1518 | fail
30  100  2   0.50 |  3673     -442  0.70     -60.0 |  2871  -1455.0 |   2368  -1420.8 |     -226     -216 |    -1555 | fail
30  100  2   0.75 |  3673     -400  0.73     -60.0 |  3170  -1476.6 |   2368  -1420.8 |     -181     -219 |    -1489 | fail
30  100  4   0.20 |  3342     -290  0.78     -60.0 |  2328  -1288.5 |   2125  -1275.0 |     -218      -72 |    -1286 | fail
30  100  4   0.50 |  3342     -292  0.78     -60.0 |  2582  -1307.6 |   2125  -1275.0 |     -254      -38 |    -1286 | fail
30  100  4   0.75 |  3342     -290  0.78     -60.0 |  2865  -1328.8 |   2125  -1275.0 |     -256      -34 |    -1255 | fail
30  100  8   0.20 |  2720     -335  0.69     -60.0 |  1946  -1081.0 |   1785  -1071.0 |     -218     -117 |    -1156 | fail
30  100  8   0.50 |  2720     -400  0.64     -60.0 |  2149  -1096.2 |   1785  -1071.0 |     -284     -116 |    -1228 | fail
30  100  8   0.75 |  2720     -438  0.61     -60.0 |  2356  -1111.2 |   1785  -1071.0 |     -302     -136 |    -1248 | fail
30  100  12  0.20 |  2373     -358  0.62     -60.0 |  1714   -946.0 |   1560   -936.0 |     -239     -120 |    -1063 | fail
30  100  12  0.50 |  2373     -372  0.61     -60.0 |  1883   -958.6 |   1560   -936.0 |     -284      -88 |    -1105 | fail
30  100  12  0.75 |  2373     -302  0.69     -60.0 |  2063   -972.3 |   1560   -936.0 |     -208      -94 |    -1075 | fail
60  38   2   0.20 |  6017    -1214  0.61     -90.0 |  3967  -3138.6 |   3450  -3105.0 |     -607     -607 |    -3076 | fail
60  38   2   0.50 |  6017    -1265  0.60     -90.0 |  4509  -3176.3 |   3450  -3105.0 |     -644     -621 |    -3079 | fail
60  38   2   0.75 |  6017    -1222  0.62     -90.0 |  5093  -3217.9 |   3450  -3105.0 |     -647     -575 |    -3028 | fail
60  38   4   0.20 |  5339     -964  0.65     -90.0 |  3462  -2726.3 |   2996  -2696.4 |     -575     -389 |    -2558 | fail
60  38   4   0.50 |  5339     -907  0.67     -90.0 |  3942  -2762.3 |   2996  -2696.4 |     -553     -354 |    -2476 | fail
60  38   4   0.75 |  5339     -873  0.69     -90.0 |  4454  -2799.2 |   2996  -2696.4 |     -522     -351 |    -2462 | fail
60  38   8   0.20 |  4246     -937  0.57     -90.0 |  2797  -2202.7 |   2421  -2178.9 |     -497     -440 |    -2203 | fail
60  38   8   0.50 |  4246     -976  0.56     -90.0 |  3178  -2230.4 |   2421  -2178.9 |     -530     -446 |    -2257 | fail
60  38   8   0.75 |  4246    -1109  0.51     -90.0 |  3594  -2258.7 |   2421  -2178.9 |     -600     -509 |    -2340 | fail
60  38   12  0.20 |  3615     -838  0.55     -90.0 |  2400  -1882.9 |   2068  -1861.2 |     -471     -367 |    -1944 | fail
60  38   12  0.50 |  3615     -876  0.54     -90.0 |  2713  -1905.9 |   2068  -1861.2 |     -559     -317 |    -1971 | fail
60  38   12  0.75 |  3615     -709  0.63     -90.0 |  3084  -1932.5 |   2068  -1861.2 |     -410     -299 |    -1831 | fail
60  60   2   0.20 |  4906     -972  0.62     -90.0 |  3201  -2554.9 |   2810  -2529.0 |     -493     -479 |    -2457 | fail
60  60   2   0.50 |  4906     -993  0.62     -90.0 |  3658  -2586.7 |   2810  -2529.0 |     -485     -507 |    -2446 | fail
60  60   2   0.75 |  4906     -992  0.62     -90.0 |  4141  -2620.2 |   2810  -2529.0 |     -497     -495 |    -2383 | fail
60  60   4   0.20 |  4441     -835  0.63     -90.0 |  2879  -2286.4 |   2513  -2261.7 |     -522     -313 |    -2156 | fail
60  60   4   0.50 |  4441     -804  0.65     -90.0 |  3274  -2315.1 |   2513  -2261.7 |     -525     -279 |    -2113 | fail
60  60   4   0.75 |  4441     -817  0.65     -90.0 |  3718  -2346.7 |   2513  -2261.7 |     -523     -294 |    -2057 | fail
60  60   8   0.20 |  3558     -798  0.58     -90.0 |  2360  -1881.5 |   2069  -1862.1 |     -418     -379 |    -1854 | fail
60  60   8   0.50 |  3558     -868  0.54     -90.0 |  2683  -1906.5 |   2069  -1862.1 |     -502     -365 |    -1914 | fail
60  60   8   0.75 |  3558     -926  0.52     -90.0 |  3015  -1930.0 |   2069  -1862.1 |     -552     -375 |    -1974 | fail
60  60   12  0.20 |  3045     -701  0.57     -90.0 |  2037  -1613.9 |   1773  -1595.7 |     -399     -301 |    -1599 | fail
60  60   12  0.50 |  3045     -768  0.53     -90.0 |  2305  -1633.8 |   1773  -1595.7 |     -478     -291 |    -1689 | fail
60  60   12  0.75 |  3045     -639  0.61     -90.0 |  2586  -1654.4 |   1773  -1595.7 |     -340     -299 |    -1606 | fail
60  100  2   0.20 |  3673     -735  0.62     -90.0 |  2402  -1924.2 |   2117  -1905.3 |     -372     -363 |    -1844 | fail
60  100  2   0.50 |  3673     -744  0.62     -90.0 |  2730  -1946.8 |   2117  -1905.3 |     -354     -390 |    -1852 | fail
60  100  2   0.75 |  3673     -699  0.65     -90.0 |  3089  -1972.8 |   2117  -1905.3 |     -324     -375 |    -1776 | fail
60  100  4   0.20 |  3342     -633  0.63     -90.0 |  2174  -1734.8 |   1907  -1716.3 |     -406     -228 |    -1616 | fail
60  100  4   0.50 |  3342     -636  0.64     -90.0 |  2474  -1757.9 |   1907  -1716.3 |     -439     -197 |    -1617 | fail
60  100  4   0.75 |  3342     -643  0.64     -90.0 |  2803  -1782.5 |   1907  -1716.3 |     -444     -199 |    -1590 | fail
60  100  8   0.20 |  2720     -566  0.61     -90.0 |  1803  -1448.3 |   1594  -1434.6 |     -331     -235 |    -1374 | fail
60  100  8   0.50 |  2720     -606  0.59     -90.0 |  2052  -1466.9 |   1594  -1434.6 |     -401     -205 |    -1424 | fail
60  100  8   0.75 |  2720     -661  0.55     -90.0 |  2292  -1484.1 |   1594  -1434.6 |     -430     -231 |    -1469 | fail
60  100  12  0.20 |  2373     -535  0.57     -90.0 |  1561  -1246.9 |   1371  -1233.9 |     -342     -194 |    -1244 | fail
60  100  12  0.50 |  2373     -551  0.56     -90.0 |  1784  -1263.4 |   1371  -1233.9 |     -408     -143 |    -1284 | fail
60  100  12  0.75 |  2373     -471  0.63     -90.0 |  2004  -1280.1 |   1371  -1233.9 |     -343     -128 |    -1257 | fail
