INCREMENT-CASCADE CERT — coin=XRP early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.20 | 12643     -873  0.83     -60.0 |  9188  -5096.2 |   8399  -5039.4 |     -275     -598 |    -4701 | fail
30  38   2   0.50 | 12643    -1117  0.78     -60.0 |  9968  -5154.2 |   8399  -5039.4 |     -487     -630 |    -4935 | fail
30  38   2   0.75 | 12643    -1187  0.77     -60.0 | 10902  -5223.1 |   8399  -5039.4 |     -459     -728 |    -4974 | fail
30  38   4   0.20 | 10317     -502  0.88     -60.0 |  7525  -4177.1 |   6880  -4128.0 |     -320     -181 |    -3660 | fail
30  38   4   0.50 | 10317    -1015  0.76     -60.0 |  8148  -4223.5 |   6880  -4128.0 |     -691     -324 |    -4109 | fail
30  38   4   0.75 | 10317     -883  0.79     -60.0 |  8879  -4277.2 |   6880  -4128.0 |     -632     -251 |    -4013 | fail
30  38   8   0.20 |  7711     -436  0.86     -60.0 |  5646  -3128.6 |   5150  -3090.0 |     -392      -45 |    -2801 | fail
30  38   8   0.50 |  7711     -786  0.75     -60.0 |  6125  -3163.8 |   5150  -3090.0 |     -580     -206 |    -3082 | fail
30  38   8   0.75 |  7711     -658  0.79     -60.0 |  6672  -3204.6 |   5150  -3090.0 |     -424     -233 |    -2993 | fail
30  38   12  0.20 |  6264       +2  1.00     -60.0 |  4554  -2545.7 |   4194  -2516.4 |      -28      +30 |    -1864 | fail
30  38   12  0.50 |  6264      -62  0.98     -60.0 |  4952  -2575.8 |   4194  -2516.4 |      -41      -21 |    -1927 | fail
30  38   12  0.75 |  6264      -19  0.99     -60.0 |  5389  -2608.2 |   4194  -2516.4 |     -230     +212 |    -1879 | fail
30  60   2   0.20 | 10080     -428  0.89     -60.0 |  7229  -4029.1 |   6649  -3989.4 |      -56     -372 |    -3509 | fail
30  60   2   0.50 | 10080     -724  0.82     -60.0 |  7873  -4076.9 |   6649  -3989.4 |     -249     -475 |    -3747 | fail
30  60   2   0.75 | 10080     -816  0.80     -60.0 |  8634  -4133.4 |   6649  -3989.4 |     -292     -524 |    -3832 | fail
30  60   4   0.20 |  8316     -137  0.96     -60.0 |  6000  -3329.3 |   5486  -3291.6 |     -136       -2 |    -2711 | fail
30  60   4   0.50 |  8316     -591  0.82     -60.0 |  6525  -3369.1 |   5486  -3291.6 |     -419     -171 |    -3147 | fail
30  60   4   0.75 |  8316     -527  0.85     -60.0 |  7144  -3415.4 |   5486  -3291.6 |     -410     -117 |    -3108 | fail
30  60   8   0.20 |  6309     -137  0.95     -60.0 |  4573  -2552.8 |   4210  -2526.0 |     -207      +69 |    -2075 | fail
30  60   8   0.50 |  6309     -310  0.88     -60.0 |  4966  -2581.1 |   4210  -2526.0 |     -302       -7 |    -2185 | fail
30  60   8   0.75 |  6309     -284  0.89     -60.0 |  5428  -2616.7 |   4210  -2526.0 |     -258      -26 |    -2142 | fail
30  60   12  0.20 |  5224     +205  1.10     -60.0 |  3779  -2098.7 |   3457  -2074.2 |      +41     +163 |    -1383 | fail
30  60   12  0.50 |  5224      +73  1.03     -60.0 |  4069  -2120.6 |   3457  -2074.2 |      +12      +61 |    -1481 | fail
30  60   12  0.75 |  5224      +77  1.04     -60.0 |  4475  -2152.4 |   3457  -2074.2 |     -154     +230 |    -1430 | fail
30  100  2   0.20 |  7531     -106  0.96     -60.0 |  5381  -2992.1 |   4936  -2961.6 |      +25     -130 |    -2376 | fail
30  100  2   0.50 |  7531     -268  0.91     -60.0 |  5805  -3023.4 |   4936  -2961.6 |      -97     -171 |    -2523 | fail
30  100  2   0.75 |  7531     -340  0.89     -60.0 |  6406  -3068.7 |   4936  -2961.6 |     -156     -184 |    -2584 | fail
30  100  4   0.20 |  6270     +105  1.04     -60.0 |  4519  -2515.3 |   4145  -2487.0 |       -1     +106 |    -1809 | fail
30  100  4   0.50 |  6270     -317  0.88     -60.0 |  4868  -2541.4 |   4145  -2487.0 |     -273      -44 |    -2213 | fail
30  100  4   0.75 |  6270     -278  0.89     -60.0 |  5339  -2577.2 |   4145  -2487.0 |     -324      +46 |    -2210 | fail
30  100  8   0.20 |  4839      +90  1.05     -60.0 |  3483  -1940.4 |   3198  -1918.8 |      -55     +145 |    -1378 | fail
30  100  8   0.50 |  4839      -60  0.97     -60.0 |  3785  -1962.1 |   3198  -1918.8 |     -110      +49 |    -1473 | fail
30  100  8   0.75 |  4839       -2  1.00     -60.0 |  4137  -1989.2 |   3198  -1918.8 |      -54      +52 |    -1433 | fail
30  100  12  0.20 |  4091     +388  1.24     -60.0 |  2916  -1626.6 |   2679  -1607.4 |     +122     +267 |     -817 | fail
30  100  12  0.50 |  4091     +343  1.21     -60.0 |  3139  -1643.0 |   2679  -1607.4 |     +147     +196 |     -857 | fail
30  100  12  0.75 |  4091     +361  1.22     -60.0 |  3457  -1667.0 |   2679  -1607.4 |      +77     +284 |     -839 | fail
60  38   2   0.20 | 12643    -2077  0.70     -90.0 |  8547  -6860.4 |   7509  -6758.1 |     -946    -1131 |    -5900 | fail
60  38   2   0.50 | 12643    -2257  0.67     -90.0 |  9525  -6932.4 |   7509  -6758.1 |    -1117    -1140 |    -6092 | fail
60  38   2   0.75 | 12643    -2348  0.67     -90.0 | 10622  -7013.4 |   7509  -6758.1 |    -1103    -1245 |    -6138 | fail
60  38   4   0.20 | 10317    -1491  0.74     -90.0 |  7012  -5635.5 |   6178  -5560.2 |     -902     -589 |    -4626 | fail
60  38   4   0.50 | 10317    -2035  0.64     -90.0 |  7794  -5693.2 |   6178  -5560.2 |    -1287     -748 |    -5101 | fail
60  38   4   0.75 | 10317    -1936  0.66     -90.0 |  8667  -5757.6 |   6178  -5560.2 |    -1250     -687 |    -5013 | fail
60  38   8   0.20 |  7711    -1210  0.71     -90.0 |  5240  -4194.9 |   4593  -4133.7 |     -788     -422 |    -3608 | fail
60  38   8   0.50 |  7711    -1569  0.63     -90.0 |  5842  -4239.1 |   4593  -4133.7 |     -991     -578 |    -3880 | fail
60  38   8   0.75 |  7711    -1417  0.67     -90.0 |  6511  -4288.2 |   4593  -4133.7 |     -812     -605 |    -3784 | fail
60  38   12  0.20 |  6264     -561  0.84     -90.0 |  4220  -3401.0 |   3725  -3352.5 |     -282     -279 |    -2440 | fail
60  38   12  0.50 |  6264     -596  0.83     -90.0 |  4724  -3439.1 |   3725  -3352.5 |     -291     -305 |    -2478 | fail
60  38   12  0.75 |  6264     -593  0.83     -90.0 |  5265  -3478.6 |   3725  -3352.5 |     -511      -82 |    -2416 | fail
60  60   2   0.20 | 10080    -1448  0.74     -90.0 |  6757  -5466.6 |   5993  -5393.7 |     -609     -840 |    -4550 | fail
60  60   2   0.50 | 10080    -1695  0.69     -90.0 |  7552  -5524.8 |   5993  -5393.7 |     -800     -896 |    -4761 | fail
60  60   2   0.75 | 10080    -1800  0.68     -90.0 |  8431  -5589.8 |   5993  -5393.7 |     -856     -944 |    -4865 | fail
60  60   4   0.20 |  8316     -920  0.80     -90.0 |  5598  -4504.3 |   4941  -4446.9 |     -615     -305 |    -3524 | fail
60  60   4   0.50 |  8316    -1401  0.69     -90.0 |  6233  -4552.4 |   4941  -4446.9 |     -915     -487 |    -4004 | fail
60  60   4   0.75 |  8316    -1347  0.71     -90.0 |  6962  -4606.9 |   4941  -4446.9 |     -910     -437 |    -3973 | fail
60  60   8   0.20 |  6309     -752  0.78     -90.0 |  4232  -3420.9 |   3749  -3374.1 |     -532     -220 |    -2690 | fail
60  60   8   0.50 |  6309     -923  0.73     -90.0 |  4729  -3456.7 |   3749  -3374.1 |     -607     -316 |    -2811 | fail
60  60   8   0.75 |  6309     -904  0.74     -90.0 |  5290  -3499.5 |   3749  -3374.1 |     -569     -335 |    -2771 | fail
60  60   12  0.20 |  5224     -289  0.90     -90.0 |  3526  -2833.1 |   3104  -2793.6 |     -205      -84 |    -1879 | fail
60  60   12  0.50 |  5224     -392  0.86     -90.0 |  3886  -2860.0 |   3104  -2793.6 |     -240     -153 |    -1973 | fail
60  60   12  0.75 |  5224     -394  0.86     -90.0 |  4368  -2897.0 |   3104  -2793.6 |     -425      +31 |    -1920 | fail
60  100  2   0.20 |  7531     -884  0.78     -90.0 |  5037  -4079.2 |   4469  -4022.1 |     -443     -441 |    -3158 | fail
60  100  2   0.50 |  7531    -1012  0.75     -90.0 |  5567  -4117.8 |   4469  -4022.1 |     -533     -479 |    -3279 | fail
60  100  2   0.75 |  7531    -1068  0.74     -90.0 |  6249  -4168.9 |   4469  -4022.1 |     -575     -493 |    -3337 | fail
60  100  4   0.20 |  6270     -432  0.87     -90.0 |  4212  -3403.3 |   3734  -3360.6 |     -339      -93 |    -2354 | fail
60  100  4   0.50 |  6270     -859  0.75     -90.0 |  4646  -3436.5 |   3734  -3360.6 |     -588     -271 |    -2776 | fail
60  100  4   0.75 |  6270     -846  0.76     -90.0 |  5196  -3478.0 |   3734  -3360.6 |     -662     -184 |    -2790 | fail
60  100  8   0.20 |  4839     -411  0.84     -90.0 |  3245  -2616.4 |   2864  -2577.6 |     -306     -106 |    -1906 | fail
60  100  8   0.50 |  4839     -528  0.80     -90.0 |  3620  -2644.0 |   2864  -2577.6 |     -337     -191 |    -1978 | fail
60  100  8   0.75 |  4839     -505  0.81     -90.0 |  4042  -2676.3 |   2864  -2577.6 |     -309     -196 |    -1951 | fail
60  100  12  0.20 |  4091      -43  0.98     -90.0 |  2739  -2215.9 |   2428  -2185.2 |      -92      +49 |    -1257 | fail
