coin,trade_idx,clip_seq,net_bp
BTC,0,0,411.8283
BTC,0,1,411.8283
BTC,0,2,436.9283
BTC,0,3,436.9283
BTC,0,4,-586.8857
BTC,0,5,-586.8857
BTC,0,6,813.1249
BTC,0,7,813.1249
BTC,0,8,813.1249
BTC,0,9,813.1249
BTC,0,10,2034.9735
BTC,1,0,296.7445
BTC,1,1,296.7445
BTC,1,2,-144.5952
BTC,1,3,-144.5952
BTC,1,4,302.3694
BTC,1,5,302.3694
BTC,1,6,186.5084
BTC,1,7,-445.4225
BTC,1,8,-583.2878
BTC,1,9,-583.2878
BTC,1,10,-713.4139
BTC,1,11,-713.4139
BTC,2,0,-82.4362
BTC,2,1,-82.4362
BTC,3,0,220.0835
BTC,3,1,220.0835
BTC,3,2,-242.9692
BTC,3,3,-242.9692
BTC,3,4,117.2258
BTC,3,5,117.2258
BTC,3,6,-183.4156
BTC,3,7,-183.4156
BTC,3,8,278.0168
BTC,3,9,-342.4159
BTC,3,10,-342.4159
BTC,3,11,-88.4817
BTC,3,12,-548.5593
BTC,3,13,265.7499
BTC,3,14,265.7499
BTC,3,15,2669.4970
BTC,3,16,2669.4970
BTC,3,17,855.5383
BTC,3,18,855.5383
BTC,3,19,855.5383
BTC,4,0,58.9418
BTC,4,1,-219.9609
BTC,4,2,110.3543
BTC,4,3,436.2523
BTC,4,4,436.2523
BTC,4,5,987.7422
BTC,4,6,931.8769
BTC,4,7,283.8531
BTC,4,8,-393.6442
BTC,4,9,-754.0131
BTC,4,10,-754.0131
BTC,4,11,-790.3303
BTC,4,12,-790.3303
BTC,5,0,106.2746
BTC,5,1,188.8130
BTC,5,2,-239.5006
BTC,5,3,205.2800
BTC,5,4,238.3051
BTC,5,5,-297.5182
BTC,5,6,-321.0932
BTC,5,7,-321.0932
BTC,5,8,249.2992
BTC,5,9,-409.6465
BTC,5,10,-409.6465
BTC,5,11,-468.0891
BTC,5,12,-468.0891
BTC,6,0,225.3285
BTC,6,1,225.3285
BTC,6,2,415.2245
BTC,6,3,415.2245
BTC,6,4,1082.9074
BTC,6,5,1082.9074
BTC,6,6,201.5293
BTC,6,7,-347.0624
BTC,6,8,-1092.1984
