ts,o,h,l,c
1609459200000,342.05000000,343.00000000,335.71000000,341.44000000
1609462800000,341.38000000,350.41000000,341.35000000,349.71000000
1609466400000,349.73000000,355.40000000,346.78000000,354.37000000
1609470000000,354.24000000,354.95000000,350.88000000,350.95000000
1609473600000,350.93000000,352.65000000,347.55000000,348.21000000
1609477200000,348.00000000,349.40000000,347.61000000,348.18000000
1609480800000,348.18000000,351.07000000,347.20000000,348.66000000
1609484400000,348.64000000,348.76000000,344.50000000,345.91000000
1609488000000,345.92000000,347.31000000,339.87000000,341.81000000
1609491600000,341.72000000,344.32000000,341.27000000,344.11000000
1609495200000,344.02000000,349.38000000,343.69000000,348.29000000
1609498800000,348.24000000,350.20000000,347.07000000,347.97000000
1609502400000,347.83000000,352.46000000,346.11000000,347.03000000
1609506000000,346.72000000,349.78000000,346.69000000,347.93000000
1609509600000,347.96000000,351.95000000,346.02000000,347.73000000
1609513200000,347.66000000,348.12000000,343.25000000,344.99000000
1609516800000,344.96000000,347.39000000,343.63000000,344.73000000
1609520400000,344.67000000,345.34000000,339.76000000,341.30000000
1609524000000,341.21000000,343.49000000,331.16000000,338.47000000
1609527600000,338.50000000,338.50000000,335.96000000,337.46000000
1609531200000,337.46000000,339.99000000,336.35000000,339.15000000
1609534800000,339.03000000,340.65000000,337.58000000,338.71000000
1609538400000,338.71000000,340.37000000,338.00000000,339.58000000
1609542000000,339.67000000,343.54000000,338.78000000,341.83000000
1609545600000,341.74000000,344.96000000,334.69000000,336.50000000
1609549200000,336.52000000,340.59000000,333.05000000,340.27000000
1609552800000,340.45000000,342.00000000,337.23000000,337.68000000
1609556400000,337.60000000,340.32000000,337.51000000,339.38000000
1609560000000,339.34000000,340.25000000,337.47000000,339.48000000
1609563600000,339.37000000,342.42000000,339.36000000,342.42000000
1609567200000,342.34000000,345.06000000,340.75000000,343.93000000
1609570800000,344.08000000,345.21000000,341.72000000,342.68000000
1609574400000,342.68000000,343.50000000,340.00000000,340.72000000
1609578000000,340.83000000,341.69000000,337.80000000,337.88000000
1609581600000,337.77000000,352.64000000,337.56000000,342.48000000
1609585200000,342.34000000,343.77000000,340.49000000,343.14000000
1609588800000,342.94000000,354.00000000,342.37000000,353.83000000
1609592400000,353.87000000,356.59000000,350.51000000,354.38000000
1609596000000,354.43000000,354.65000000,347.81000000,352.20000000
1609599600000,352.06000000,356.00000000,350.69000000,354.13000000
1609603200000,354.01000000,368.00000000,352.47000000,365.33000000
1609606800000,365.27000000,366.84000000,359.07000000,360.35000000
1609610400000,360.42000000,362.13000000,358.51000000,359.75000000
1609614000000,359.90000000,363.89000000,359.00000000,361.65000000
1609617600000,361.62000000,362.21000000,347.50000000,348.55000000
1609621200000,348.37000000,354.01000000,344.00000000,352.14000000
1609624800000,352.17000000,354.08000000,348.58000000,353.10000000
1609628400000,353.08000000,354.66000000,350.14000000,354.55000000
1609632000000,354.35000000,368.00000000,354.22000000,363.50000000
1609635600000,363.50000000,364.00000000,360.38000000,361.14000000
1609639200000,361.25000000,361.53000000,358.68000000,358.73000000
1609642800000,358.76000000,359.25000000,355.51000000,355.81000000
1609646400000,355.79000000,360.43000000,354.47000000,360.11000000
1609650000000,360.16000000,364.92000000,358.49000000,359.10000000
1609653600000,359.09000000,369.03000000,358.14000000,363.61000000
1609657200000,363.50000000,367.54000000,361.28000000,363.32000000
1609660800000,363.32000000,371.88000000,359.61000000,370.43000000
1609664400000,370.48000000,390.00000000,370.48000000,390.00000000
1609668000000,390.00000000,396.00000000,383.24000000,390.03000000
1609671600000,390.15000000,396.21000000,386.57000000,389.43000000
1609675200000,389.38000000,396.70000000,388.54000000,391.18000000
1609678800000,391.40000000,408.33000000,391.26000000,397.00000000
1609682400000,397.10000000,400.85000000,383.17000000,393.66000000
1609686000000,393.62000000,399.43000000,381.76000000,397.43000000
1609689600000,397.41000000,417.66000000,394.66000000,395.31000000
1609693200000,395.40000000,407.48000000,394.44000000,402.56000000
1609696800000,402.71000000,404.29000000,393.31000000,398.95000000
1609700400000,399.06000000,400.63000000,392.16000000,396.23000000
1609704000000,396.50000000,408.65000000,396.01000000,405.60000000
1609707600000,405.50000000,416.43000000,402.89000000,407.76000000
1609711200000,407.70000000,416.99000000,405.54000000,414.49000000
1609714800000,414.49000000,433.83000000,410.19000000,423.61000000
1609718400000,423.72000000,427.65000000,414.00000000,421.48000000
1609722000000,421.37000000,425.45000000,385.68000000,420.77000000
1609725600000,420.75000000,424.76000000,418.19000000,423.96000000
1609729200000,424.25000000,434.63000000,422.44000000,433.68000000
1609732800000,433.82000000,439.31000000,429.58000000,437.30000000
1609736400000,437.37000000,444.64000000,428.18000000,440.00000000
1609740000000,440.03000000,464.33000000,439.34000000,451.89000000
1609743600000,451.90000000,454.60000000,413.71000000,428.72000000
1609747200000,428.60000000,435.92000000,407.34000000,421.45000000
1609750800000,421.46000000,425.36000000,383.65000000,405.91000000
1609754400000,406.03000000,410.61000000,380.42000000,401.61000000
1609758000000,401.40000000,405.00000000,391.17000000,404.40000000
1609761600000,404.39000000,411.54000000,400.50000000,404.18000000
1609765200000,404.03000000,405.33000000,396.50000000,403.76000000
1609768800000,403.81000000,412.77000000,400.82000000,412.62000000
1609772400000,412.60000000,413.28000000,401.44000000,403.61000000
1609776000000,403.62000000,405.59000000,389.54000000,397.44000000
1609779600000,397.46000000,400.19000000,389.94000000,395.98000000
1609783200000,395.79000000,418.11000000,395.74000000,398.35000000
1609786800000,398.44000000,405.35000000,397.71000000,401.91000000
1609790400000,401.94000000,405.50000000,397.60000000,398.50000000
1609794000000,398.62000000,401.40000000,394.06000000,396.37000000
1609797600000,396.40000000,400.31000000,395.15000000,398.97000000
1609801200000,399.12000000,406.96000000,394.04000000,405.49000000
1609804800000,405.61000000,425.44000000,405.61000000,416.48000000
1609808400000,416.45000000,419.93000000,408.10000000,415.82000000
1609812000000,415.82000000,416.27000000,403.60000000,405.02000000
1609815600000,405.13000000,408.30000000,395.28000000,396.23000000
1609819200000,396.17000000,403.50000000,393.66000000,398.27000000
1609822800000,398.27000000,403.00000000,389.46000000,391.49000000
1609826400000,391.55000000,404.14000000,389.83000000,401.45000000
1609830000000,401.43000000,404.15000000,395.66000000,396.41000000
1609833600000,396.36000000,404.78000000,396.29000000,403.25000000
1609837200000,403.26000000,411.23000000,403.26000000,405.61000000
1609840800000,405.47000000,409.72000000,402.28000000,407.10000000
1609844400000,407.27000000,418.57000000,407.11000000,413.67000000
1609848000000,413.69000000,415.95000000,406.02000000,406.74000000
1609851600000,406.74000000,411.15000000,403.98000000,404.60000000
1609855200000,404.88000000,411.21000000,399.58000000,410.25000000
1609858800000,410.38000000,411.17000000,406.84000000,408.78000000
1609862400000,408.81000000,414.08000000,405.68000000,409.89000000
1609866000000,409.86000000,412.70000000,408.38000000,412.20000000
1609869600000,412.37000000,413.76000000,410.48000000,411.60000000
1609873200000,411.51000000,419.22000000,407.39000000,414.89000000
1609876800000,414.92000000,417.93000000,412.03000000,416.44000000
1609880400000,416.44000000,418.35000000,411.64000000,414.32000000
1609884000000,414.35000000,422.89000000,414.35000000,420.67000000
1609887600000,420.81000000,421.99000000,415.01000000,418.09000000
1609891200000,418.49000000,422.93000000,411.13000000,414.44000000
1609894800000,414.47000000,417.58000000,410.63000000,414.30000000
1609898400000,414.53000000,417.99000000,414.30000000,415.19000000
1609902000000,415.23000000,415.93000000,412.17000000,414.67000000
1609905600000,414.49000000,432.32000000,413.38000000,430.45000000
1609909200000,430.40000000,434.20000000,420.00000000,423.59000000
1609912800000,423.58000000,426.51000000,422.62000000,425.74000000
1609916400000,425.73000000,427.00000000,418.48000000,422.41000000
1609920000000,422.43000000,428.37000000,419.33000000,425.25000000
1609923600000,425.06000000,428.89000000,419.84000000,425.33000000
1609927200000,425.28000000,430.09000000,424.25000000,429.11000000
1609930800000,429.10000000,441.85000000,427.83000000,439.23000000
1609934400000,439.29000000,442.28000000,431.88000000,437.20000000
1609938000000,437.32000000,438.91000000,430.23000000,434.60000000
1609941600000,434.61000000,436.73000000,426.54000000,429.47000000
1609945200000,429.23000000,441.00000000,428.29000000,435.89000000
1609948800000,435.92000000,458.00000000,435.86000000,445.40000000
1609952400000,445.43000000,452.91000000,444.56000000,450.82000000
1609956000000,450.94000000,453.58000000,446.26000000,447.26000000
1609959600000,447.60000000,451.30000000,435.25000000,437.80000000
1609963200000,437.69000000,447.00000000,429.58000000,445.40000000
1609966800000,445.60000000,449.99000000,442.90000000,447.36000000
1609970400000,446.94000000,453.76000000,446.17000000,448.75000000
1609974000000,448.64000000,455.69000000,448.13000000,453.44000000
1609977600000,453.72000000,458.30000000,446.76000000,453.32000000
1609981200000,453.31000000,465.00000000,450.77000000,455.20000000
1609984800000,455.04000000,457.69000000,449.32000000,454.42000000
1609988400000,454.53000000,466.23000000,453.50000000,460.44000000
1609992000000,460.21000000,461.16000000,452.85000000,453.94000000
1609995600000,453.94000000,457.66000000,452.00000000,454.32000000
1609999200000,454.07000000,455.90000000,442.34000000,451.33000000
1610002800000,451.31000000,452.65000000,439.72000000,442.80000000
1610006400000,442.95000000,448.60000000,432.37000000,447.27000000
1610010000000,447.31000000,451.36000000,442.55000000,450.72000000
1610013600000,450.83000000,450.96000000,436.89000000,439.36000000
1610017200000,439.44000000,449.60000000,439.00000000,449.30000000
1610020800000,449.22000000,453.10000000,443.53000000,450.17000000
1610024400000,450.16000000,457.87000000,448.44000000,450.40000000
1610028000000,450.38000000,455.34000000,447.80000000,449.76000000
1610031600000,449.62000000,456.00000000,445.32000000,456.00000000
1610035200000,456.00000000,472.00000000,450.70000000,471.71000000
1610038800000,471.70000000,484.00000000,469.24000000,474.20000000
1610042400000,474.15000000,478.35000000,426.82000000,447.76000000
1610046000000,447.76000000,454.80000000,435.00000000,450.39000000
1610049600000,450.39000000,453.58000000,445.81000000,452.52000000
1610053200000,452.55000000,459.56000000,451.52000000,456.45000000
1610056800000,456.17000000,461.47000000,452.82000000,455.33000000
1610060400000,455.11000000,455.52000000,440.36000000,448.00000000
1610064000000,448.01000000,451.65000000,437.34000000,437.78000000
1610067600000,437.48000000,440.97000000,432.40000000,438.68000000
1610071200000,438.86000000,439.26000000,401.95000000,412.87000000
1610074800000,412.62000000,423.34000000,410.70000000,420.59000000
1610078400000,420.59000000,427.18000000,417.62000000,426.14000000
1610082000000,426.00000000,426.13000000,414.99000000,416.13000000
1610085600000,416.30000000,427.62000000,412.01000000,426.64000000
1610089200000,426.89000000,432.75000000,421.70000000,430.90000000
1610092800000,430.80000000,430.81000000,423.78000000,427.94000000
1610096400000,427.91000000,433.49000000,421.00000000,433.06000000
1610100000000,433.12000000,451.00000000,432.00000000,447.19000000
1610103600000,447.04000000,452.30000000,442.01000000,444.59000000
1610107200000,444.67000000,454.41000000,437.50000000,442.77000000
1610110800000,442.97000000,443.84000000,429.00000000,442.02000000
1610114400000,442.21000000,443.81000000,435.84000000,442.91000000
1610118000000,443.19000000,445.00000000,422.01000000,432.21000000
1610121600000,432.15000000,453.36000000,432.15000000,441.12000000
1610125200000,441.13000000,444.04000000,434.82000000,436.00000000
1610128800000,436.07000000,442.48000000,432.07000000,434.13000000
1610132400000,434.57000000,438.54000000,429.87000000,431.03000000
1610136000000,431.35000000,435.80000000,423.28000000,423.72000000
1610139600000,423.45000000,432.28000000,418.78000000,431.71000000
1610143200000,431.69000000,438.21000000,426.77000000,435.87000000
1610146800000,435.73000000,440.20000000,434.32000000,436.98000000
1610150400000,437.14000000,440.85000000,427.50000000,431.38000000
1610154000000,431.32000000,432.62000000,425.20000000,431.58000000
1610157600000,431.71000000,435.85000000,424.33000000,430.35000000
1610161200000,430.35000000,434.60000000,426.16000000,430.90000000
1610164800000,430.88000000,431.36000000,426.17000000,428.76000000
1610168400000,428.60000000,428.64000000,419.56000000,421.28000000
1610172000000,421.17000000,425.65000000,417.52000000,421.06000000
1610175600000,421.05000000,425.89000000,418.92000000,424.75000000
1610179200000,424.78000000,429.44000000,421.59000000,427.99000000
1610182800000,427.90000000,433.29000000,426.37000000,432.74000000
1610186400000,433.00000000,454.04000000,432.80000000,453.40000000
1610190000000,453.39000000,460.82000000,445.60000000,449.79000000
1610193600000,449.95000000,456.13000000,448.33000000,452.42000000
1610197200000,452.50000000,463.35000000,451.67000000,454.12000000
1610200800000,454.12000000,465.54000000,445.00000000,456.38000000
1610204400000,456.37000000,459.47000000,445.27000000,459.29000000
1610208000000,459.36000000,517.00000000,455.01000000,500.85000000
1610211600000,501.25000000,508.56000000,490.31000000,499.89000000
1610215200000,499.98000000,519.00000000,494.83000000,515.86000000
1610218800000,515.97000000,549.28000000,514.49000000,544.37000000
1610222400000,544.43000000,556.67000000,528.87000000,543.21000000
1610226000000,542.91000000,544.89000000,530.06000000,542.29000000
1610229600000,542.43000000,551.84000000,539.18000000,542.01000000
1610233200000,542.02000000,588.67000000,539.08000000,574.88000000
1610236800000,574.97000000,585.62000000,558.39000000,569.66000000
1610240400000,569.77000000,581.65000000,560.74000000,564.65000000
1610244000000,564.51000000,577.01000000,562.18000000,572.20000000
1610247600000,572.50000000,579.31000000,562.82000000,570.54000000
1610251200000,570.56000000,626.23000000,568.98000000,619.94000000
1610254800000,619.93000000,629.79000000,599.13000000,608.43000000
1610258400000,608.57000000,615.00000000,603.13000000,607.69000000
1610262000000,607.69000000,624.54000000,605.15000000,614.31000000
1610265600000,614.60000000,617.14000000,604.54000000,613.64000000
1610269200000,613.88000000,614.32000000,584.10000000,588.83000000
1610272800000,588.75000000,599.82000000,562.16000000,584.86000000
1610276400000,584.85000000,587.24000000,548.40000000,558.94000000
1610280000000,559.26000000,590.00000000,550.00000000,585.46000000
1610283600000,585.62000000,618.22000000,580.62000000,609.44000000
1610287200000,609.43000000,609.57000000,570.00000000,580.89000000
1610290800000,580.78000000,593.76000000,562.70000000,586.16000000
1610294400000,586.15000000,613.84000000,585.75000000,597.52000000
1610298000000,597.38000000,602.02000000,567.64000000,599.06000000
1610301600000,598.48000000,605.36000000,583.55000000,595.57000000
1610305200000,595.60000000,622.61000000,584.22000000,589.40000000
1610308800000,589.82000000,597.61000000,558.88000000,590.64000000
1610312400000,590.78000000,604.54000000,571.30000000,604.54000000
1610316000000,604.37000000,612.00000000,592.27000000,593.67000000
1610319600000,593.67000000,613.47000000,590.04000000,599.98000000
1610323200000,599.94000000,602.92000000,582.47000000,588.70000000
1610326800000,588.67000000,596.64000000,572.61000000,581.79000000
1610330400000,581.79000000,585.00000000,539.32000000,540.23000000
1610334000000,540.22000000,549.65000000,471.11000000,507.41000000
1610337600000,507.47000000,519.46000000,487.40000000,509.73000000
1610341200000,509.56000000,518.06000000,499.37000000,504.38000000
1610344800000,504.37000000,504.72000000,457.11000000,468.77000000
1610348400000,468.96000000,495.36000000,463.55000000,490.07000000
1610352000000,490.10000000,502.11000000,482.97000000,495.80000000
1610355600000,495.62000000,511.77000000,488.51000000,510.45000000
1610359200000,510.33000000,525.77000000,504.29000000,506.94000000
1610362800000,506.82000000,509.69000000,482.60000000,485.45000000
1610366400000,485.08000000,498.95000000,475.00000000,485.64000000
1610370000000,485.79000000,488.60000000,461.39000000,461.82000000
1610373600000,462.26000000,482.00000000,445.00000000,477.73000000
1610377200000,477.73000000,481.62000000,440.00000000,440.87000000
1610380800000,441.20000000,444.77000000,400.00000000,424.73000000
1610384400000,425.11000000,453.58000000,409.00000000,440.21000000
1610388000000,440.17000000,447.60000000,430.72000000,431.79000000
1610391600000,431.59000000,436.53000000,418.75000000,431.02000000
1610395200000,431.30000000,437.72000000,421.56000000,437.13000000
1610398800000,437.20000000,454.44000000,433.05000000,449.51000000
1610402400000,449.55000000,469.90000000,446.18000000,462.11000000
1610406000000,462.11000000,484.27000000,462.11000000,476.78000000
1610409600000,476.87000000,479.62000000,456.57000000,470.37000000
1610413200000,470.32000000,479.54000000,459.56000000,462.95000000
1610416800000,462.99000000,473.50000000,459.47000000,470.96000000
1610420400000,471.27000000,490.69000000,467.98000000,489.27000000
1610424000000,488.98000000,489.91000000,476.55000000,484.87000000
1610427600000,484.73000000,494.44000000,480.36000000,494.07000000
1610431200000,494.07000000,510.00000000,491.33000000,502.09000000
1610434800000,502.38000000,506.40000000,492.43000000,502.96000000
1610438400000,502.76000000,503.42000000,476.47000000,480.24000000
1610442000000,480.24000000,493.29000000,476.66000000,485.98000000
1610445600000,485.89000000,487.17000000,463.00000000,473.28000000
1610449200000,473.23000000,484.33000000,473.00000000,477.79000000
1610452800000,477.71000000,485.00000000,470.36000000,472.45000000
1610456400000,472.54000000,479.29000000,450.32000000,450.99000000
1610460000000,450.91000000,462.80000000,443.01000000,454.11000000
1610463600000,454.22000000,468.57000000,454.22000000,461.00000000
1610467200000,461.17000000,477.00000000,460.99000000,474.68000000
1610470800000,474.82000000,478.86000000,466.42000000,470.32000000
1610474400000,470.42000000,474.75000000,464.54000000,467.41000000
1610478000000,467.51000000,467.81000000,455.56000000,461.74000000
1610481600000,461.90000000,464.33000000,455.75000000,461.98000000
1610485200000,461.83000000,467.41000000,453.02000000,466.61000000
1610488800000,466.50000000,468.92000000,449.19000000,451.59000000
1610492400000,451.91000000,453.04000000,444.49000000,451.88000000
1610496000000,451.81000000,454.00000000,435.10000000,436.44000000
1610499600000,436.52000000,458.59000000,436.03000000,456.67000000
1610503200000,456.43000000,485.96000000,454.83000000,477.04000000
1610506800000,477.18000000,483.67000000,466.59000000,470.49000000
1610510400000,470.21000000,471.12000000,458.96000000,460.77000000
1610514000000,460.55000000,469.12000000,455.62000000,465.03000000
1610517600000,464.96000000,474.00000000,464.69000000,467.70000000
1610521200000,467.69000000,478.94000000,466.63000000,474.32000000
1610524800000,474.35000000,476.68000000,469.35000000,472.04000000
1610528400000,472.03000000,483.94000000,469.13000000,472.41000000
1610532000000,472.81000000,483.61000000,472.81000000,478.60000000
1610535600000,478.60000000,487.67000000,474.58000000,476.43000000
1610539200000,476.46000000,480.10000000,469.56000000,479.89000000
1610542800000,479.87000000,482.00000000,474.86000000,478.01000000
1610546400000,478.01000000,483.00000000,471.70000000,472.51000000
1610550000000,472.36000000,479.90000000,472.34000000,479.01000000
1610553600000,479.09000000,483.19000000,472.00000000,475.66000000
1610557200000,475.68000000,479.09000000,474.10000000,475.49000000
1610560800000,475.49000000,484.19000000,474.29000000,480.71000000
1610564400000,480.60000000,484.31000000,472.00000000,481.19000000
1610568000000,481.16000000,487.68000000,478.80000000,486.36000000
1610571600000,486.47000000,495.10000000,483.14000000,494.12000000
1610575200000,494.25000000,498.89000000,488.22000000,493.88000000
1610578800000,493.93000000,500.88000000,492.55000000,496.06000000
1610582400000,496.11000000,507.00000000,495.36000000,496.43000000
1610586000000,496.61000000,496.84000000,489.67000000,490.94000000
1610589600000,490.94000000,494.67000000,483.50000000,489.86000000
1610593200000,489.98000000,495.41000000,485.04000000,486.91000000
1610596800000,487.02000000,492.56000000,483.89000000,490.84000000
1610600400000,490.80000000,493.37000000,487.00000000,488.44000000
1610604000000,488.45000000,498.16000000,487.97000000,496.02000000
1610607600000,495.73000000,504.37000000,493.94000000,499.16000000
1610611200000,499.16000000,505.27000000,495.54000000,496.85000000
1610614800000,496.82000000,503.20000000,493.37000000,496.38000000
1610618400000,495.93000000,511.55000000,495.63000000,511.07000000
1610622000000,510.82000000,514.89000000,500.46000000,506.62000000
1610625600000,506.65000000,509.99000000,497.88000000,506.85000000
1610629200000,506.69000000,517.72000000,505.28000000,516.65000000
1610632800000,516.63000000,523.31000000,512.70000000,516.89000000
1610636400000,516.89000000,521.99000000,511.55000000,517.94000000
1610640000000,517.86000000,538.88000000,517.86000000,525.35000000
1610643600000,525.36000000,537.75000000,525.33000000,529.55000000
1610647200000,529.51000000,532.37000000,524.16000000,525.11000000
1610650800000,525.19000000,534.44000000,525.16000000,532.07000000
1610654400000,531.90000000,533.50000000,525.02000000,525.12000000
1610658000000,525.07000000,526.15000000,499.77000000,511.49000000
1610661600000,511.45000000,517.57000000,505.29000000,515.54000000
1610665200000,515.20000000,529.19000000,514.72000000,527.00000000
1610668800000,527.15000000,536.39000000,524.07000000,524.84000000
1610672400000,524.84000000,530.26000000,515.67000000,519.10000000
1610676000000,518.76000000,523.03000000,511.65000000,519.93000000
1610679600000,519.95000000,520.11000000,506.00000000,512.94000000
1610683200000,512.94000000,514.21000000,503.24000000,506.75000000
1610686800000,506.75000000,514.20000000,498.46000000,499.31000000
1610690400000,498.93000000,507.02000000,496.00000000,506.73000000
1610694000000,507.05000000,512.76000000,502.08000000,511.95000000
1610697600000,511.99000000,516.00000000,505.11000000,506.18000000
1610701200000,506.20000000,510.99000000,503.15000000,509.89000000
1610704800000,509.78000000,513.33000000,507.20000000,507.56000000
1610708400000,507.47000000,510.57000000,503.44000000,504.80000000
1610712000000,505.00000000,506.51000000,492.63000000,500.12000000
1610715600000,500.12000000,512.26000000,492.82000000,509.65000000
1610719200000,510.00000000,512.90000000,488.00000000,493.00000000
1610722800000,492.79000000,493.46000000,466.36000000,471.84000000
1610726400000,472.40000000,482.30000000,452.61000000,479.92000000
1610730000000,479.95000000,481.51000000,470.03000000,478.59000000
1610733600000,478.77000000,482.91000000,468.18000000,473.22000000
1610737200000,473.31000000,481.21000000,472.01000000,473.58000000
1610740800000,473.96000000,479.58000000,470.57000000,478.80000000
1610744400000,478.65000000,484.27000000,474.89000000,482.20000000
1610748000000,482.25000000,486.82000000,479.15000000,481.91000000
1610751600000,481.79000000,493.41000000,481.61000000,490.70000000
1610755200000,490.70000000,495.33000000,486.57000000,487.91000000
1610758800000,488.39000000,497.99000000,487.41000000,490.52000000
1610762400000,490.51000000,494.98000000,476.05000000,478.98000000
1610766000000,479.30000000,487.36000000,476.80000000,485.33000000
1610769600000,485.33000000,486.93000000,480.30000000,484.59000000
1610773200000,484.74000000,486.44000000,473.41000000,481.28000000
1610776800000,481.37000000,484.65000000,480.71000000,481.48000000
1610780400000,481.39000000,492.42000000,481.38000000,487.04000000
1610784000000,487.04000000,495.99000000,484.57000000,494.65000000
1610787600000,494.66000000,496.18000000,490.65000000,495.50000000
1610791200000,495.69000000,504.11000000,495.23000000,499.79000000
1610794800000,499.75000000,506.51000000,497.01000000,503.26000000
1610798400000,503.72000000,512.78000000,492.58000000,501.45000000
1610802000000,501.21000000,507.05000000,497.22000000,500.49000000
1610805600000,500.42000000,501.78000000,491.62000000,498.51000000
1610809200000,498.51000000,510.11000000,494.22000000,506.31000000
1610812800000,506.33000000,515.55000000,500.19000000,505.87000000
1610816400000,506.07000000,507.34000000,497.80000000,498.69000000
1610820000000,498.67000000,502.40000000,488.46000000,490.22000000
1610823600000,490.20000000,500.83000000,486.34000000,496.65000000
1610827200000,496.69000000,501.24000000,494.30000000,500.41000000
1610830800000,500.42000000,500.63000000,484.55000000,489.09000000
1610834400000,488.65000000,492.25000000,480.00000000,490.79000000
1610838000000,490.78000000,495.65000000,486.50000000,489.74000000
1610841600000,489.78000000,495.21000000,481.22000000,493.92000000
1610845200000,493.81000000,495.50000000,489.32000000,495.50000000
1610848800000,495.50000000,495.84000000,486.50000000,489.04000000
1610852400000,488.96000000,490.04000000,485.71000000,487.95000000
1610856000000,488.00000000,490.74000000,483.18000000,483.86000000
1610859600000,483.78000000,485.33000000,476.00000000,476.27000000
1610863200000,476.36000000,480.15000000,470.73000000,475.21000000
1610866800000,475.03000000,480.00000000,465.68000000,471.27000000
1610870400000,471.20000000,472.01000000,465.00000000,470.12000000
1610874000000,470.10000000,476.52000000,463.11000000,465.17000000
1610877600000,465.08000000,476.60000000,461.45000000,473.14000000
1610881200000,473.14000000,479.48000000,472.81000000,478.05000000
1610884800000,478.33000000,479.51000000,473.94000000,475.19000000
1610888400000,475.25000000,479.04000000,470.77000000,471.70000000
1610892000000,471.78000000,474.60000000,467.79000000,471.12000000
1610895600000,471.34000000,483.49000000,471.24000000,479.82000000
1610899200000,479.77000000,482.47000000,474.66000000,478.94000000
1610902800000,479.30000000,482.24000000,477.14000000,480.47000000
1610906400000,480.67000000,482.25000000,477.14000000,478.14000000
1610910000000,478.19000000,483.31000000,475.16000000,476.15000000
1610913600000,476.42000000,482.40000000,475.97000000,482.09000000
1610917200000,482.05000000,490.34000000,481.17000000,488.21000000
1610920800000,488.08000000,490.30000000,482.39000000,484.24000000
1610924400000,484.16000000,486.49000000,477.54000000,479.37000000
1610928000000,479.32000000,483.37000000,476.53000000,482.04000000
1610931600000,482.00000000,490.96000000,478.17000000,489.02000000
1610935200000,488.99000000,490.27000000,478.78000000,480.36000000
1610938800000,480.32000000,481.09000000,470.00000000,473.02000000
1610942400000,473.23000000,476.41000000,469.88000000,473.13000000
1610946000000,473.26000000,477.77000000,469.28000000,475.82000000
1610949600000,475.77000000,477.32000000,471.88000000,472.89000000
1610953200000,472.70000000,482.53000000,471.92000000,478.78000000
1610956800000,479.06000000,482.69000000,478.57000000,481.25000000
1610960400000,481.08000000,485.17000000,480.64000000,484.61000000
1610964000000,484.44000000,484.51000000,479.19000000,479.35000000
1610967600000,479.52000000,483.98000000,473.16000000,481.58000000
1610971200000,481.38000000,508.16000000,480.35000000,507.65000000
1610974800000,507.65000000,509.90000000,494.74000000,495.95000000
1610978400000,496.06000000,504.37000000,488.88000000,494.55000000
1610982000000,494.69000000,498.15000000,491.56000000,496.82000000
1610985600000,496.79000000,500.81000000,486.52000000,489.81000000
