open_time_ms,open,high,low,close
1609459200000,0.00467160,0.00499880,0.00460100,0.00497810
1609473600000,0.00497830,0.00500000,0.00480000,0.00486000
1609488000000,0.00486000,0.00491930,0.00477240,0.00489420
1609502400000,0.00489110,0.00500000,0.00486320,0.00491760
1609516800000,0.00492000,0.00529380,0.00489290,0.00521930
1609531200000,0.00521780,0.00569700,0.00512800,0.00568000
1609545600000,0.00567830,0.00678490,0.00552400,0.00663380
1609560000000,0.00663470,0.00797700,0.00648860,0.00689310
1609574400000,0.00689320,0.00741670,0.00662000,0.00726410
1609588800000,0.00727660,0.00984450,0.00672000,0.00859830
1609603200000,0.00859820,0.01398800,0.00810000,0.01178000
1609617600000,0.01179950,0.01222030,0.00846660,0.01052640
1609632000000,0.01052450,0.01142000,0.00926930,0.01083230
1609646400000,0.01083160,0.01300000,0.01030000,0.01242270
1609660800000,0.01242540,0.01333000,0.01106760,0.01312510
1609675200000,0.01312480,0.01405000,0.01132250,0.01240100
1609689600000,0.01240230,0.01264000,0.00963050,0.00975900
1609704000000,0.00978050,0.01095610,0.00934400,0.00982090
1609718400000,0.00981880,0.01151980,0.00964720,0.01107600
1609732800000,0.01107670,0.01122040,0.00935000,0.00954380
1609747200000,0.00953000,0.00994310,0.00760000,0.00886660
1609761600000,0.00886660,0.01050000,0.00861350,0.01022860
1609776000000,0.01023290,0.01044580,0.00905500,0.00974420
1609790400000,0.00975200,0.00986160,0.00930580,0.00976130
1609804800000,0.00977210,0.01028220,0.00911210,0.00911220
1609819200000,0.00911300,0.00940000,0.00885010,0.00905000
1609833600000,0.00905190,0.00993340,0.00904700,0.00991420
1609848000000,0.00991900,0.00998500,0.00915000,0.00940200
1609862400000,0.00940210,0.00978920,0.00930050,0.00959670
1609876800000,0.00959980,0.01028220,0.00936380,0.00997000
1609891200000,0.00997710,0.01022430,0.00962290,0.01004130
1609905600000,0.01003010,0.01100000,0.00986800,0.01030760
1609920000000,0.01030680,0.01050000,0.00997000,0.01027700
1609934400000,0.01027560,0.01032230,0.00986500,0.01002760
1609948800000,0.01002760,0.01060000,0.00994690,0.00997850
1609963200000,0.00998710,0.01056600,0.00955210,0.01042000
1609977600000,0.01041870,0.01057350,0.01010000,0.01019420
1609992000000,0.01019700,0.01021150,0.00990000,0.00998610
1610006400000,0.00998760,0.01008360,0.00982700,0.00999800
1610020800000,0.00999910,0.01046860,0.00993380,0.01017700
1610035200000,0.01017690,0.01022820,0.00879990,0.00991200
1610049600000,0.00991210,0.01001880,0.00957790,0.00974390
1610064000000,0.00975170,0.00987640,0.00880470,0.00939100
1610078400000,0.00938360,0.00967560,0.00910520,0.00962140
1610092800000,0.00960600,0.00990000,0.00941000,0.00963540
1610107200000,0.00962950,0.00965000,0.00912000,0.00942630
1610121600000,0.00942630,0.00949390,0.00914550,0.00922680
1610136000000,0.00922110,0.01031800,0.00905140,0.00974000
1610150400000,0.00974750,0.01031800,0.00969730,0.01018980
1610164800000,0.01019170,0.01020580,0.00964860,0.01002250
1610179200000,0.01002250,0.01079000,0.00987500,0.01016370
1610193600000,0.01017500,0.01062330,0.01012130,0.01023830
1610208000000,0.01023830,0.01060940,0.00980000,0.01037040
1610222400000,0.01036050,0.01039980,0.01005000,0.01017890
1610236800000,0.01018900,0.01045990,0.01013100,0.01029310
1610251200000,0.01029310,0.01068550,0.01020000,0.01061000
1610265600000,0.01060180,0.01091550,0.00975950,0.00985000
1610280000000,0.00985000,0.01030000,0.00960000,0.01012360
1610294400000,0.01012040,0.01019180,0.00963250,0.00966900
1610308800000,0.00968900,0.01003900,0.00895340,0.00982000
1610323200000,0.00981620,0.00984550,0.00849360,0.00909310
1610337600000,0.00909570,0.00924300,0.00800240,0.00868950
1610352000000,0.00869050,0.00937910,0.00854510,0.00887380
1610366400000,0.00889230,0.00920450,0.00740640,0.00746710
1610380800000,0.00745810,0.00849000,0.00670940,0.00767500
1610395200000,0.00767910,0.00891940,0.00723980,0.00883260
1610409600000,0.00881040,0.00884060,0.00818430,0.00857100
1610424000000,0.00857980,0.00913940,0.00848280,0.00893770
1610438400000,0.00893650,0.00895400,0.00828860,0.00845680
1610452800000,0.00845520,0.00870930,0.00782170,0.00816860
1610467200000,0.00816640,0.00855540,0.00791500,0.00804950
1610481600000,0.00804930,0.00829510,0.00786000,0.00808070
1610496000000,0.00808060,0.00810000,0.00777000,0.00792750
1610510400000,0.00792660,0.00836190,0.00780170,0.00831260
1610524800000,0.00830050,0.00831150,0.00806930,0.00814700
1610539200000,0.00814700,0.00824700,0.00805000,0.00817120
1610553600000,0.00817670,0.00835840,0.00808600,0.00830600
1610568000000,0.00830930,0.00870000,0.00824480,0.00867380
1610582400000,0.00867900,0.00881000,0.00841130,0.00845500
1610596800000,0.00845060,0.00870000,0.00831050,0.00861680
1610611200000,0.00862300,0.00869620,0.00846000,0.00851190
1610625600000,0.00850010,0.01010000,0.00850000,0.00959200
1610640000000,0.00960000,0.00977960,0.00916270,0.00959160
1610654400000,0.00958160,0.00979530,0.00895530,0.00939070
1610668800000,0.00939310,0.00970000,0.00922940,0.00940800
1610683200000,0.00941550,0.00968610,0.00917680,0.00951930
1610697600000,0.00953990,0.00984430,0.00936010,0.00947330
1610712000000,0.00949040,0.00951640,0.00854770,0.00868380
1610726400000,0.00869290,0.00939070,0.00831230,0.00900600
1610740800000,0.00900480,0.00940700,0.00890710,0.00935250
1610755200000,0.00935680,0.00949990,0.00909000,0.00932110
1610769600000,0.00931710,0.00945000,0.00908200,0.00929260
1610784000000,0.00929410,0.00956750,0.00921010,0.00937880
1610798400000,0.00937770,0.00942970,0.00911800,0.00935480
1610812800000,0.00936260,0.00941000,0.00910000,0.00927660
1610827200000,0.00927950,0.00933990,0.00907270,0.00923740
1610841600000,0.00923740,0.00938520,0.00907900,0.00924540
1610856000000,0.00924380,0.00930000,0.00886880,0.00902570
1610870400000,0.00902910,0.00914000,0.00877900,0.00908790
1610884800000,0.00909140,0.00922210,0.00890270,0.00916680
1610899200000,0.00916680,0.00928500,0.00905690,0.00912010
1610913600000,0.00912490,0.00939570,0.00904950,0.00909870
1610928000000,0.00909870,0.00917000,0.00893500,0.00903490
1610942400000,0.00903490,0.00916730,0.00894760,0.00914550
1610956800000,0.00914890,0.00932000,0.00900100,0.00911270
1610971200000,0.00911930,0.00926450,0.00900110,0.00911000
1610985600000,0.00911090,0.00918290,0.00902380,0.00917980
1611000000000,0.00918220,0.00922250,0.00908370,0.00917820
1611014400000,0.00917820,0.00924000,0.00906210,0.00913740
1611028800000,0.00914150,0.00967570,0.00914150,0.00933870
1611043200000,0.00933640,0.00957410,0.00923500,0.00937460
1611057600000,0.00937460,0.00941950,0.00896000,0.00922340
1611072000000,0.00922230,0.00926920,0.00900010,0.00902940
1611086400000,0.00900530,0.00923830,0.00900010,0.00904280
1611100800000,0.00904280,0.00914400,0.00882350,0.00895810
1611115200000,0.00895810,0.00914320,0.00878990,0.00908670
1611129600000,0.00909420,0.00912000,0.00861800,0.00868600
1611144000000,0.00869360,0.00899500,0.00860010,0.00868040
1611158400000,0.00867410,0.00904990,0.00850000,0.00902060
1611172800000,0.00902690,0.00910000,0.00888000,0.00904870
1611187200000,0.00905890,0.00910000,0.00880090,0.00886060
1611201600000,0.00885290,0.00898150,0.00874390,0.00894120
1611216000000,0.00894970,0.00894970,0.00834000,0.00848900
1611230400000,0.00848360,0.00865500,0.00824990,0.00832600
1611244800000,0.00832500,0.00862050,0.00822220,0.00858600
1611259200000,0.00859610,0.00862090,0.00803010,0.00815810
1611273600000,0.00815810,0.00822840,0.00756390,0.00820630
1611288000000,0.00819840,0.00848690,0.00808140,0.00814310
1611302400000,0.00814310,0.00843000,0.00808860,0.00839250
1611316800000,0.00840630,0.00877080,0.00840600,0.00855700
1611331200000,0.00856230,0.00871160,0.00850000,0.00859000
1611345600000,0.00859000,0.00870710,0.00842260,0.00850750
1611360000000,0.00850920,0.00859900,0.00835000,0.00858320
1611374400000,0.00858390,0.00879990,0.00856380,0.00874200
1611388800000,0.00875660,0.00883240,0.00841090,0.00846170
1611403200000,0.00845140,0.00863910,0.00836230,0.00854400
1611417600000,0.00853240,0.00876740,0.00849520,0.00866470
1611432000000,0.00867500,0.00869350,0.00850810,0.00857790
1611446400000,0.00858220,0.00862990,0.00850000,0.00862990
1611460800000,0.00862460,0.00876310,0.00859820,0.00865810
1611475200000,0.00866980,0.00896720,0.00861060,0.00888630
1611489600000,0.00888630,0.00895100,0.00852110,0.00878000
1611504000000,0.00877190,0.00882240,0.00851250,0.00855780
1611518400000,0.00855460,0.00875080,0.00855120,0.00871350
1611532800000,0.00872060,0.00880000,0.00865360,0.00878950
1611547200000,0.00879600,0.00882590,0.00867690,0.00877480
1611561600000,0.00877720,0.00878170,0.00855550,0.00865020
1611576000000,0.00865670,0.00891720,0.00860000,0.00865650
1611590400000,0.00867650,0.00868050,0.00845000,0.00850690
1611604800000,0.00850090,0.00851900,0.00817950,0.00835090
1611619200000,0.00833410,0.00846150,0.00814320,0.00823840
1611633600000,0.00823760,0.00838310,0.00820000,0.00827710
1611648000000,0.00827770,0.00838560,0.00815500,0.00831390
1611662400000,0.00830890,0.00833280,0.00795230,0.00814570
1611676800000,0.00813930,0.00832000,0.00806120,0.00829930
1611691200000,0.00830000,0.00830950,0.00805140,0.00824720
1611705600000,0.00824720,0.00824820,0.00805060,0.00810150
1611720000000,0.00810070,0.00813210,0.00798000,0.00810000
1611734400000,0.00809010,0.00809330,0.00780130,0.00781690
1611748800000,0.00781540,0.00787000,0.00725700,0.00762330
1611763200000,0.00762040,0.00774950,0.00732430,0.00742000
1611777600000,0.00742590,0.00759590,0.00737550,0.00741240
1611792000000,0.00741040,0.00785860,0.00728800,0.00785300
1611806400000,0.00785350,0.01450000,0.00785350,0.01081960
1611820800000,0.01081780,0.01327970,0.01074690,0.01266870
1611835200000,0.01266870,0.02800000,0.01130000,0.01793800
1611849600000,0.01799950,0.02500000,0.01494150,0.02216700
1611864000000,0.02210640,0.03748490,0.02128940,0.03649950
1611878400000,0.03644200,0.08331980,0.03130000,0.08328730
