open_time_ms,open,high,low,close
1710763200000,0.23000000,5.32000000,0.23000000,3.62000000
1710766800000,3.62100000,3.66200000,3.33300000,3.39300000
1710770400000,3.39600000,3.53000000,3.25000000,3.40600000
1710774000000,3.40700000,3.55600000,3.30000000,3.48400000
1710777600000,3.48400000,3.50600000,3.25100000,3.28200000
1710781200000,3.28200000,3.31000000,3.01000000,3.19600000
1710784800000,3.19300000,3.25000000,3.04700000,3.14400000
1710788400000,3.14400000,3.25000000,3.10000000,3.12100000
1710792000000,3.12100000,3.18900000,3.09000000,3.17200000
1710795600000,3.17300000,3.44000000,3.15100000,3.26000000
1710799200000,3.26100000,3.38000000,3.21200000,3.31300000
1710802800000,3.31000000,3.31200000,3.10400000,3.12000000
1710806400000,3.11900000,3.19200000,3.00000000,3.03200000
1710810000000,3.03200000,3.04500000,2.81000000,2.88900000
1710813600000,2.88900000,3.09900000,2.88800000,3.04600000
1710817200000,3.04800000,3.18500000,2.95600000,3.14100000
1710820800000,3.14200000,3.48600000,3.10800000,3.41400000
1710824400000,3.41400000,3.41800000,3.15700000,3.25600000
1710828000000,3.25800000,3.26200000,3.05800000,3.13000000
1710831600000,3.12900000,3.29900000,3.00000000,3.26300000
1710835200000,3.26400000,3.27200000,3.04600000,3.10300000
1710838800000,3.10300000,3.45000000,3.00100000,3.37000000
1710842400000,3.37000000,3.40000000,3.20000000,3.29500000
1710846000000,3.29500000,3.33400000,3.20000000,3.22500000
1710849600000,3.22700000,3.23300000,3.08100000,3.08200000
1710853200000,3.08300000,3.12300000,2.96400000,3.02500000
1710856800000,3.02300000,3.07300000,2.93000000,3.04200000
1710860400000,3.04100000,3.12500000,3.00000000,3.07400000
1710864000000,3.07000000,3.12000000,2.99400000,3.03100000
1710867600000,3.03200000,3.10000000,3.01600000,3.07600000
1710871200000,3.07700000,3.08000000,3.02000000,3.06300000
1710874800000,3.06400000,3.11400000,3.04300000,3.07500000
1710878400000,3.07400000,3.07400000,2.95200000,3.02700000
1710882000000,3.02700000,3.04000000,2.96500000,3.00300000
1710885600000,3.00300000,3.00700000,2.82600000,2.87400000
1710889200000,2.87400000,3.07100000,2.84400000,3.02100000
1710892800000,3.02100000,3.04800000,2.92800000,3.03000000
1710896400000,3.03000000,3.03200000,2.89600000,2.97700000
1710900000000,2.98000000,3.09200000,2.93900000,3.08200000
1710903600000,3.08200000,3.23900000,3.01600000,3.03300000
1710907200000,3.03400000,3.11200000,2.93600000,3.01400000
1710910800000,3.01400000,3.05200000,2.92400000,2.99900000
1710914400000,2.99900000,3.09600000,2.99200000,3.05700000
1710918000000,3.05700000,3.23800000,3.04600000,3.18800000
1710921600000,3.18800000,3.28800000,3.14600000,3.26000000
1710925200000,3.26000000,3.31900000,3.20500000,3.22200000
1710928800000,3.22100000,3.26400000,3.17000000,3.21200000
1710932400000,3.21300000,3.38800000,3.19600000,3.29600000
1710936000000,3.29700000,3.78000000,3.27600000,3.75300000
1710939600000,3.75100000,3.92000000,3.60000000,3.87600000
1710943200000,3.87600000,3.92800000,3.65800000,3.72200000
1710946800000,3.72100000,3.81600000,3.60700000,3.67400000
1710950400000,3.67500000,3.85000000,3.61200000,3.79500000
1710954000000,3.79400000,4.15000000,3.78800000,4.05900000
1710957600000,4.05800000,4.15000000,3.99300000,4.02400000
1710961200000,4.02200000,4.20000000,4.01400000,4.15000000
1710964800000,4.15000000,4.24000000,4.04100000,4.19200000
1710968400000,4.19200000,4.39000000,4.15800000,4.24300000
1710972000000,4.24100000,4.26100000,3.88500000,4.03600000
1710975600000,4.03500000,4.24900000,3.95600000,4.20700000
1710979200000,4.20900000,4.43800000,4.05000000,4.06300000
