open_time_ms,open,high,low,close
1654070400000,1.44000000,2.20000000,1.25700000,1.31700000
1654084800000,1.31800000,1.41900000,1.15400000,1.17500000
1654099200000,1.17500000,1.31800000,1.03900000,1.24400000
1654113600000,1.24400000,1.35000000,1.14300000,1.23200000
1654128000000,1.23400000,1.30900000,1.14500000,1.18200000
1654142400000,1.18100000,1.21100000,1.05000000,1.14200000
1654156800000,1.14200000,1.30100000,1.11100000,1.28600000
1654171200000,1.28500000,1.58800000,1.26600000,1.54700000
1654185600000,1.54600000,1.63300000,1.37100000,1.44900000
1654200000000,1.44700000,1.56800000,1.42500000,1.54600000
1654214400000,1.54600000,1.65300000,1.51100000,1.53100000
1654228800000,1.53200000,1.55500000,1.44200000,1.46600000
1654243200000,1.46700000,1.47800000,1.28900000,1.33200000
1654257600000,1.33000000,1.40900000,1.30400000,1.38800000
1654272000000,1.38900000,1.40000000,1.31200000,1.34600000
1654286400000,1.34600000,1.44200000,1.32900000,1.36200000
1654300800000,1.36200000,1.38400000,1.29700000,1.32200000
1654315200000,1.32100000,1.42600000,1.31900000,1.39800000
1654329600000,1.39700000,1.48400000,1.35800000,1.37800000
1654344000000,1.37800000,1.44900000,1.32500000,1.43700000
1654358400000,1.43700000,1.44600000,1.35600000,1.40300000
1654372800000,1.40200000,1.44700000,1.37000000,1.39300000
1654387200000,1.39300000,1.43500000,1.35000000,1.36100000
1654401600000,1.36200000,1.38600000,1.33300000,1.35000000
1654416000000,1.35000000,1.36200000,1.27800000,1.32000000
1654430400000,1.32000000,1.32600000,1.16000000,1.23500000
1654444800000,1.23600000,1.27200000,1.20200000,1.22700000
1654459200000,1.22700000,1.23300000,1.15100000,1.16500000
1654473600000,1.16600000,1.28300000,1.14000000,1.27400000
1654488000000,1.27400000,1.32000000,1.24500000,1.30400000
1654502400000,1.30400000,1.34400000,1.24200000,1.25600000
1654516800000,1.25600000,1.28000000,1.22300000,1.27100000
1654531200000,1.27100000,1.36800000,1.24900000,1.35800000
1654545600000,1.35800000,1.36000000,1.29700000,1.32100000
1654560000000,1.32000000,1.32000000,1.16600000,1.21300000
1654574400000,1.21200000,1.22300000,1.18000000,1.20800000
1654588800000,1.20600000,1.22800000,1.15200000,1.17900000
1654603200000,1.18000000,1.19500000,1.11400000,1.16500000
1654617600000,1.16500000,1.22500000,1.16000000,1.19700000
1654632000000,1.19900000,1.22000000,1.05000000,1.10800000
1654646400000,1.10700000,1.11800000,0.89800000,0.98100000
1654660800000,0.98000000,1.01900000,0.94000000,0.97500000
1654675200000,0.97500000,1.03700000,0.97000000,1.00800000
1654689600000,1.00700000,1.02500000,0.95700000,0.99000000
1654704000000,0.99000000,0.99700000,0.88700000,0.91700000
1654718400000,0.91600000,0.93100000,0.69800000,0.73000000
1654732800000,0.73000000,0.90000000,0.72100000,0.85700000
1654747200000,0.85700000,0.89800000,0.82400000,0.85900000
1654761600000,0.85900000,0.91000000,0.84100000,0.84400000
1654776000000,0.84600000,0.85700000,0.80300000,0.84100000
1654790400000,0.84100000,0.85500000,0.78600000,0.79000000
1654804800000,0.79000000,0.84200000,0.76700000,0.82400000
1654819200000,0.82400000,0.94700000,0.79500000,0.91700000
1654833600000,0.91700000,0.92900000,0.86100000,0.86600000
1654848000000,0.86600000,0.96400000,0.83200000,0.91100000
1654862400000,0.91100000,0.98000000,0.85400000,0.92000000
1654876800000,0.92100000,0.92800000,0.86100000,0.90000000
1654891200000,0.90100000,0.93500000,0.86500000,0.87900000
1654905600000,0.88000000,0.92800000,0.87400000,0.91500000
1654920000000,0.91500000,0.93000000,0.87500000,0.89700000
1654934400000,0.89600000,0.90200000,0.78100000,0.80300000
1654948800000,0.80400000,0.82100000,0.73600000,0.76000000
1654963200000,0.76100000,0.80000000,0.72800000,0.77700000
1654977600000,0.77600000,0.79700000,0.75500000,0.76200000
1654992000000,0.76200000,0.77700000,0.62500000,0.65200000
1655006400000,0.65200000,0.69000000,0.62500000,0.68900000
1655020800000,0.68900000,0.72500000,0.66700000,0.68300000
1655035200000,0.68300000,0.75000000,0.63300000,0.72100000
1655049600000,0.72000000,0.76000000,0.68800000,0.68900000
1655064000000,0.68800000,0.70100000,0.64200000,0.64500000
1655078400000,0.64400000,0.66800000,0.54200000,0.57600000
1655092800000,0.57600000,0.60900000,0.50000000,0.52200000
1655107200000,0.52200000,0.55900000,0.49800000,0.54500000
1655121600000,0.54500000,0.56800000,0.50600000,0.55000000
1655136000000,0.55000000,0.59200000,0.53100000,0.53400000
1655150400000,0.53400000,0.57000000,0.50400000,0.54600000
1655164800000,0.54600000,0.58400000,0.51200000,0.57100000
1655179200000,0.57200000,0.62600000,0.55300000,0.59200000
1655193600000,0.59200000,0.59900000,0.53800000,0.55000000
1655208000000,0.55000000,0.58600000,0.53300000,0.57900000
1655222400000,0.57900000,0.58200000,0.53800000,0.53900000
1655236800000,0.53900000,0.57600000,0.52800000,0.56500000
1655251200000,0.56400000,0.59500000,0.54700000,0.55000000
1655265600000,0.54900000,0.55500000,0.52500000,0.52900000
1655280000000,0.52900000,0.52900000,0.47000000,0.52300000
1655294400000,0.52400000,0.54200000,0.50900000,0.52300000
1655308800000,0.52300000,0.57700000,0.48500000,0.55400000
1655323200000,0.55400000,0.60300000,0.55000000,0.59300000
1655337600000,0.59300000,0.62700000,0.56800000,0.57100000
1655352000000,0.57100000,0.58300000,0.54200000,0.54400000
1655366400000,0.54400000,0.55500000,0.50000000,0.51500000
1655380800000,0.51500000,0.53500000,0.50600000,0.52500000
1655395200000,0.52600000,0.55200000,0.51600000,0.51800000
1655409600000,0.51900000,0.53000000,0.48000000,0.48900000
1655424000000,0.49100000,0.52000000,0.48500000,0.49100000
1655438400000,0.49100000,0.52700000,0.48800000,0.52100000
1655452800000,0.52000000,0.52900000,0.50400000,0.51300000
1655467200000,0.51300000,0.51900000,0.49800000,0.50500000
1655481600000,0.50500000,0.51100000,0.49500000,0.50000000
1655496000000,0.50000000,0.52500000,0.49700000,0.51800000
1655510400000,0.51900000,0.52900000,0.50300000,0.51100000
1655524800000,0.51100000,0.52400000,0.45200000,0.46300000
1655539200000,0.46400000,0.47500000,0.44800000,0.46300000
1655553600000,0.46400000,0.46600000,0.45200000,0.45400000
1655568000000,0.45400000,0.46100000,0.41200000,0.41400000
