open_time_ms,open,high,low,close
1597104000000,2.85000000,3.52080000,2.84330000,3.29850000
1597190400000,3.29850000,3.92890000,3.08000000,3.75580000
1597276800000,3.75000000,4.13870000,3.50030000,3.73000000
1597363200000,3.72070000,3.76760000,3.32100000,3.40990000
1597449600000,3.41810000,3.74000000,3.15000000,3.17300000
1597536000000,3.17300000,3.49070000,3.12000000,3.38850000
1597622400000,3.38850000,3.39520000,3.10000000,3.11000000
1597708800000,3.11000000,3.70920000,2.81050000,3.34070000
1597795200000,3.33400000,3.49000000,2.80000000,2.88680000
1597881600000,2.89620000,3.44500000,2.88710000,3.20380000
1597968000000,3.20380000,3.24000000,2.89000000,2.93170000
1598054400000,2.92130000,3.20000000,2.74310000,3.01260000
1598140800000,3.02240000,3.40000000,3.00140000,3.25000000
1598227200000,3.26580000,3.62000000,3.21000000,3.34050000
1598313600000,3.34060000,3.36540000,3.00010000,3.25000000
1598400000000,3.25760000,3.79990000,3.18090000,3.56840000
1598486400000,3.55570000,3.85750000,3.24340000,3.45010000
1598572800000,3.45030000,4.30910000,3.45030000,4.00630000
1598659200000,4.00700000,4.11210000,3.77480000,3.95350000
1598745600000,3.95310000,4.71170000,3.90000000,4.43090000
1598832000000,4.41270000,4.88650000,4.10000000,4.74350000
1598918400000,4.74320000,4.94750000,4.30000000,4.33970000
1599004800000,4.32130000,4.35060000,3.66000000,4.17000000
1599091200000,4.17000000,4.45900000,3.47720000,3.50510000
1599177600000,3.50620000,3.83460000,3.17390000,3.53010000
1599264000000,3.53010000,3.66370000,2.09260000,2.60520000
1599350400000,2.61190000,3.18000000,2.25750000,3.09410000
1599436800000,3.07850000,3.19830000,2.38000000,2.92370000
1599523200000,2.92370000,2.94990000,2.40000000,2.46800000
1599609600000,2.46800000,3.88380000,2.38210000,3.60010000
1599696000000,3.61070000,3.87500000,3.30400000,3.47610000
1599782400000,3.47070000,3.50360000,3.03160000,3.39650000
1599868800000,3.39670000,3.47000000,3.14940000,3.33160000
1599955200000,3.33860000,3.47000000,2.98380000,3.26030000
1600041600000,3.26560000,3.53930000,3.07520000,3.26410000
1600128000000,3.26400000,3.32490000,2.89550000,2.92950000
1600214400000,2.92880000,2.92930000,2.42820000,2.53270000
1600300800000,2.53760000,2.93890000,2.36000000,2.88290000
1600387200000,2.88300000,3.16000000,2.72600000,3.11440000
1600473600000,3.10840000,3.25450000,2.95640000,3.03100000
1600560000000,3.02160000,3.03190000,2.70000000,2.86280000
1600646400000,2.86280000,3.03970000,2.46890000,2.76720000
1600732800000,2.75710000,3.01070000,2.65000000,2.90820000
1600819200000,2.91840000,3.09000000,2.70010000,2.85480000
1600905600000,2.85500000,3.25710000,2.78040000,3.14330000
1600992000000,3.14090000,3.27660000,2.90030000,3.19370000
1601078400000,3.18500000,3.25000000,3.03000000,3.12870000
1601164800000,3.12920000,3.18570000,2.98190000,3.15780000
1601251200000,3.15570000,3.21090000,2.90800000,2.95990000
1601337600000,2.95490000,3.02700000,2.87350000,2.95050000
1601424000000,2.94470000,2.98380000,2.82280000,2.89670000
1601510400000,2.89670000,2.98890000,2.65000000,2.86690000
1601596800000,2.86670000,2.88730000,2.42000000,2.62320000
1601683200000,2.62310000,2.67080000,2.53560000,2.54390000
1601769600000,2.54200000,2.58980000,2.42000000,2.52020000
1601856000000,2.51810000,2.68300000,2.45610000,2.65220000
1601942400000,2.64860000,2.66040000,2.13000000,2.17400000
1602028800000,2.17210000,2.40830000,2.08100000,2.30050000
1602115200000,2.30010000,2.45690000,2.01230000,2.36380000
1602201600000,2.36860000,2.63000000,2.30300000,2.53140000
1602288000000,2.52740000,2.60560000,2.38730000,2.39990000
1602374400000,2.39880000,2.46070000,2.34010000,2.42270000
1602460800000,2.42280000,2.70440000,2.41320000,2.58360000
1602547200000,2.58260000,2.58670000,2.33600000,2.40620000
1602633600000,2.40610000,2.44240000,2.23310000,2.31070000
1602720000000,2.31080000,2.34850000,2.19320000,2.26820000
1602806400000,2.26480000,2.26900000,2.10710000,2.13980000
1602892800000,2.13740000,2.24620000,2.11070000,2.20530000
