open_time_ms,open,high,low,close
1698768000000,2.87700000,2.99990000,1.90000000,2.24310000
1698771600000,2.24260000,2.28000000,2.11650000,2.19890000
1698775200000,2.19810000,2.34700000,2.12000000,2.28000000
1698778800000,2.28070000,2.47000000,2.20890000,2.44420000
1698782400000,2.44440000,2.50000000,2.32000000,2.36370000
1698786000000,2.36270000,2.46190000,2.34000000,2.43650000
1698789600000,2.43430000,2.47990000,2.32520000,2.39000000
1698793200000,2.39010000,2.42990000,2.23670000,2.27800000
1698796800000,2.27760000,2.38800000,2.24190000,2.35240000
1698800400000,2.35240000,2.39990000,2.28000000,2.31950000
1698804000000,2.31880000,2.35690000,2.23040000,2.26310000
1698807600000,2.26150000,2.29500000,2.16110000,2.28220000
1698811200000,2.28230000,2.31490000,2.24150000,2.25760000
1698814800000,2.25760000,2.26900000,2.20100000,2.21280000
1698818400000,2.21300000,2.24820000,2.18100000,2.22700000
1698822000000,2.22640000,2.25330000,2.13000000,2.22320000
1698825600000,2.22250000,2.29450000,2.20940000,2.25810000
1698829200000,2.25810000,2.29990000,2.22310000,2.28000000
1698832800000,2.28020000,2.28080000,2.20270000,2.24050000
1698836400000,2.24180000,2.26930000,2.21270000,2.25600000
1698840000000,2.25600000,2.41520000,2.24850000,2.35610000
1698843600000,2.35790000,2.36840000,2.25380000,2.28910000
1698847200000,2.28890000,2.35000000,2.27400000,2.28630000
1698850800000,2.28740000,2.33440000,2.22000000,2.30760000
1698854400000,2.30750000,2.47000000,2.30230000,2.40120000
1698858000000,2.40120000,2.66000000,2.39120000,2.57690000
1698861600000,2.57590000,2.66700000,2.51000000,2.53810000
1698865200000,2.53810000,2.61000000,2.46800000,2.56510000
1698868800000,2.56500000,2.62600000,2.52000000,2.56420000
1698872400000,2.56540000,2.62250000,2.54300000,2.58310000
1698876000000,2.58240000,2.60000000,2.45000000,2.48270000
1698879600000,2.48290000,2.56200000,2.45160000,2.54880000
1698883200000,2.54890000,2.56880000,2.46130000,2.55010000
1698886800000,2.55010000,2.77000000,2.53250000,2.74900000
1698890400000,2.74710000,2.86590000,2.70090000,2.72470000
1698894000000,2.72470000,2.78250000,2.67000000,2.67370000
1698897600000,2.67200000,2.81480000,2.67200000,2.78930000
1698901200000,2.79000000,2.82500000,2.70010000,2.76630000
1698904800000,2.76640000,2.85230000,2.72270000,2.76680000
1698908400000,2.76680000,2.78880000,2.63540000,2.67800000
1698912000000,2.67820000,2.67820000,2.42000000,2.54580000
1698915600000,2.54500000,2.59810000,2.52000000,2.57200000
1698919200000,2.57050000,2.60000000,2.54320000,2.57650000
1698922800000,2.57650000,2.57710000,2.45470000,2.51560000
