date,open,high,low,close,volume
2022-10-19,1.000000,100.000000,1.000000,7.320700,67602698.77
2022-10-20,7.321900,7.748000,6.900000,7.368500,17974526.96
2022-10-21,7.369100,7.700000,6.990000,7.498000,16533981.69
2022-10-22,7.498000,9.315200,7.341100,8.955300,22408625.29
2022-10-23,8.957100,10.330000,8.880600,9.781500,31410439.72
2022-10-24,9.780800,9.968000,9.235400,9.529300,20840808.03
2022-10-25,9.529800,9.568000,8.520200,8.786300,20968485.45
2022-10-26,8.783300,9.286300,8.606100,9.195100,15721495.42
2022-10-27,9.191100,9.638700,8.600000,8.701300,16118633.70
2022-10-28,8.701500,8.826400,7.933700,8.184500,15606321.18
2022-10-29,8.182700,8.369200,7.592000,7.953200,13416201.68
2022-10-30,7.958000,8.380000,7.602600,7.804900,11858055.96
2022-10-31,7.801500,8.221100,7.700000,7.943900,9139206.43
2022-11-01,7.933700,8.315000,7.815000,8.192500,9092526.88
2022-11-02,8.193500,8.211000,7.125900,7.370700,14872782.25
2022-11-03,7.374500,7.563500,7.165900,7.232800,6315233.43
2022-11-04,7.232800,7.790000,7.160000,7.653200,8633378.03
2022-11-05,7.652700,7.998000,7.516100,7.624900,9131990.09
2022-11-06,7.621500,8.232100,7.230000,7.309500,13277982.14
2022-11-07,7.309500,7.458600,6.800000,7.000600,9960991.00
2022-11-08,7.000000,7.022800,4.500000,5.376200,23314806.13
2022-11-09,5.373700,5.390000,3.435600,3.962600,27117956.79
2022-11-10,3.968200,5.500000,3.857200,5.153400,23161152.79
2022-11-11,5.150700,5.344600,4.500000,5.184100,13615834.03
2022-11-12,5.177500,5.183900,4.427600,4.547300,6845305.29
2022-11-13,4.544200,4.619400,4.120100,4.219600,7360914.52
2022-11-14,4.219000,4.510600,3.770800,4.192500,10570819.78
2022-11-15,4.191700,4.720000,4.111000,4.334600,9332444.72
2022-11-16,4.336300,4.968800,4.157500,4.500500,14922210.89
2022-11-17,4.500700,4.850000,4.341300,4.660400,12744677.28
2022-11-18,4.659700,4.940000,4.534800,4.717700,7369507.15
2022-11-19,4.720000,4.773500,4.500000,4.622600,3806479.07
2022-11-20,4.622800,4.635800,4.025000,4.102400,4788160.75
2022-11-21,4.101100,4.150700,3.870000,4.063700,7484136.08
2022-11-22,4.064900,4.522100,3.856300,4.316300,7456384.50
2022-11-23,4.316400,4.600000,4.243600,4.443000,6258534.24
2022-11-24,4.443500,4.747900,4.225500,4.438200,7099049.99
2022-11-25,4.438000,4.554700,4.254400,4.425900,4717623.28
2022-11-26,4.428900,5.048600,4.405900,4.768600,10233771.92
2022-11-27,4.766600,5.030000,4.621600,4.794400,6553901.77
2022-11-28,4.790900,4.790900,4.310000,4.478900,5834307.71
2022-11-29,4.477500,4.794100,4.420000,4.672200,4966707.67
2022-11-30,4.670700,4.876900,4.572300,4.771800,4729835.05
2022-12-01,4.771700,4.792200,4.585000,4.654600,2790949.40
2022-12-02,4.654200,5.066600,4.520000,4.898500,6593053.70
2022-12-03,4.898400,5.251000,4.874700,5.113700,7810214.04
2022-12-04,5.112900,5.400000,5.059100,5.182900,5269908.47
2022-12-05,5.185700,5.428600,5.001900,5.161300,4993035.57
