date,open,high,low,close,volume
2019-04-29,4.755000,4.755000,3.661000,3.777000,1579303.10
2019-04-30,3.777000,4.075000,3.750000,3.917000,638430.34
2019-05-01,3.913000,4.650000,3.876000,4.392000,1702261.31
2019-05-02,4.391000,4.661000,4.174000,4.610000,1133146.03
2019-05-03,4.608000,5.380000,4.550000,5.333000,2774683.24
2019-05-04,5.341000,5.660000,4.706000,5.243000,3500511.25
2019-05-05,5.238000,5.238000,4.774000,4.837000,1544214.97
2019-05-06,4.838000,4.940000,4.502000,4.763000,1395933.41
2019-05-07,4.763000,5.071000,4.590000,4.596000,1104548.01
2019-05-08,4.601000,4.635000,4.242000,4.313000,1025911.95
2019-05-09,4.342000,4.491000,3.415000,3.880000,1848165.51
2019-05-10,3.884000,4.114000,3.611000,3.797000,1403065.56
2019-05-11,3.804000,4.175000,3.700000,3.902000,1421951.65
2019-05-12,3.904000,4.040000,3.604000,3.750000,828353.86
2019-05-13,3.750000,4.173000,3.734000,3.897000,1023379.12
2019-05-14,3.897000,4.087000,3.779000,4.000000,1214232.76
2019-05-15,4.000000,4.800000,3.986000,4.547000,1592045.39
2019-05-16,4.546000,4.780000,4.000000,4.278000,1678626.34
2019-05-17,4.268000,4.792000,3.950000,4.413000,2800485.79
2019-05-18,4.413000,5.000000,4.330000,4.684000,1869591.00
2019-05-19,4.684000,5.171000,4.636000,4.852000,1758978.67
2019-05-20,4.852000,4.863000,4.432000,4.673000,1532786.29
2019-05-21,4.668000,4.864000,4.480000,4.743000,1172703.70
2019-05-22,4.740000,4.821000,4.300000,4.306000,997542.19
2019-05-23,4.309000,4.363000,4.115000,4.337000,976154.05
2019-05-24,4.335000,4.770000,4.258000,4.454000,2054989.88
2019-05-25,4.447000,4.600000,4.287000,4.385000,606239.44
2019-05-26,4.385000,4.543000,4.238000,4.481000,549918.06
2019-05-27,4.478000,4.699000,4.470000,4.655000,660167.30
2019-05-28,4.665000,4.863000,4.474000,4.778000,650998.40
2019-05-29,4.794000,4.873000,4.500000,4.696000,598479.76
2019-05-30,4.682000,6.603000,4.668000,5.926000,5953590.29
2019-05-31,5.928000,5.930000,5.211000,5.782000,3477721.87
2019-06-01,5.782000,6.325000,5.600000,5.771000,2589194.84
2019-06-02,5.773000,6.420000,5.572000,6.388000,1467150.23
2019-06-03,6.393000,7.249000,5.975000,6.506000,4684919.33
2019-06-04,6.506000,6.850000,5.744000,5.930000,3360461.82
2019-06-05,5.931000,6.280000,5.620000,6.140000,2180411.47
2019-06-06,6.141000,6.147000,5.621000,5.987000,1767183.83
2019-06-07,5.995000,6.576000,5.877000,6.279000,1848141.28
2019-06-08,6.279000,6.316000,5.938000,6.096000,731554.54
2019-06-09,6.097000,6.185000,5.700000,5.826000,649287.70
2019-06-10,5.825000,6.088000,5.733000,6.081000,831823.18
2019-06-11,6.076000,6.176000,5.753000,5.943000,561299.09
2019-06-12,5.949000,6.264000,5.852000,6.124000,801399.90
2019-06-13,6.125000,6.506000,6.023000,6.266000,785068.50
2019-06-14,6.264000,6.281000,5.874000,6.222000,586553.44
2019-06-15,6.224000,6.265000,6.102000,6.167000,373041.21
2019-06-16,6.164000,6.737000,6.118000,6.692000,609802.27
2019-06-17,6.689000,7.100000,6.454000,7.009000,945538.15
2019-06-18,7.011000,7.040000,6.470000,6.571000,509203.32
2019-06-19,6.586000,6.849000,6.550000,6.628000,388212.33
2019-06-20,6.621000,6.637000,6.285000,6.478000,406246.33
2019-06-21,6.476000,6.589000,6.334000,6.523000,380848.04
2019-06-22,6.513000,6.914000,6.414000,6.758000,666888.52
2019-06-23,6.764000,7.193000,6.716000,6.838000,639871.83
2019-06-24,6.830000,6.846000,6.542000,6.665000,385615.30
2019-06-25,6.675000,6.747000,6.474000,6.581000,467755.35
2019-06-26,6.579000,6.849000,6.151000,6.350000,740796.31
2019-06-27,6.350000,6.416000,5.360000,5.558000,1043714.48
2019-06-28,5.552000,5.970000,5.464000,5.928000,350835.39
2019-06-29,5.928000,6.198000,5.626000,6.058000,425212.71
2019-06-30,6.047000,6.117000,5.395000,5.443000,626818.12
2019-07-01,5.443000,5.720000,5.143000,5.475000,524258.54
