E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=AAVE early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  6079    -1017  0.65    -328.3 |  4972  -2937.3 |   4525  -2715.0 |     -341     -676 |    -2801 | fail
30  0    1   0.50 |  6079    -1297  0.58    -557.3 |  5172  -3092.9 |   4525  -2715.0 |     -483     -814 |    -3093 | fail
30  0    1   0.75 |  6079    -1275  0.62    -646.2 |  5466  -3352.2 |   4525  -2715.0 |     -508     -767 |    -3011 | fail
30  0    1   0.90 |  6079    -1304  0.63    -698.5 |  5634  -3497.3 |   4525  -2715.0 |     -509     -795 |    -3003 | fail
30  0    2   0.20 |  7647    -1511  0.59    -746.6 |  6260  -3729.0 |   5675  -3405.0 |     -607     -905 |    -3745 | fail
30  0    2   0.50 |  7647    -1521  0.61    -746.6 |  6522  -3913.9 |   5675  -3405.0 |     -595     -926 |    -3749 | fail
30  0    2   0.75 |  7647    -1509  0.64    -746.6 |  6901  -4209.8 |   5675  -3405.0 |     -596     -913 |    -3669 | fail
30  0    2   0.90 |  7647    -1577  0.64    -746.6 |  7093  -4382.6 |   5675  -3405.0 |     -624     -953 |    -3647 | fail
30  0    4   0.20 |  7729    -1410  0.62   -1011.6 |  6303  -3730.4 |   5626  -3375.6 |     -601     -810 |    -3655 | fail
30  0    4   0.50 |  7729    -1441  0.63   -1011.6 |  6587  -3924.2 |   5626  -3375.6 |     -673     -768 |    -3693 | fail
30  0    4   0.75 |  7729    -1220  0.71   -1011.6 |  6979  -4213.4 |   5626  -3375.6 |     -560     -659 |    -3370 | fail
30  0    4   0.90 |  7729    -1150  0.74   -1011.6 |  7165  -4359.6 |   5626  -3375.6 |     -548     -602 |    -3255 | fail
30  0    8   0.20 |  6816    -1395  0.58   -1011.6 |  5569  -3316.9 |   4996  -2997.6 |     -673     -722 |    -3377 | fail
30  0    8   0.50 |  6816    -1443  0.59   -1011.6 |  5820  -3487.9 |   4996  -2997.6 |     -806     -637 |    -3395 | fail
30  0    8   0.75 |  6816    -1351  0.64   -1011.6 |  6180  -3779.5 |   4996  -2997.6 |     -778     -574 |    -3260 | fail
