E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=ATOM early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  1093     -243  0.55    -274.2 |   898   -537.4 |    807   -484.2 |     -156      -86 |     -561 | fail
30  0    1   0.50 |  1093     -311  0.44    -274.2 |   932   -558.5 |    807   -484.2 |     -167     -145 |     -627 | fail
30  0    1   0.75 |  1093     -304  0.49    -333.0 |   994   -600.0 |    807   -484.2 |     -146     -157 |     -604 | fail
30  0    1   0.90 |  1093     -286  0.54    -470.9 |  1035   -625.6 |    807   -484.2 |     -133     -153 |     -585 | fail
30  0    2   0.20 |  1996     -473  0.50    -274.2 |  1619   -939.6 |   1442   -865.2 |     -297     -176 |    -1054 | fail
30  0    2   0.50 |  1996     -577  0.42    -284.9 |  1707   -991.3 |   1442   -865.2 |     -347     -230 |    -1153 | fail
30  0    2   0.75 |  1996     -609  0.42    -284.9 |  1810  -1047.4 |   1442   -865.2 |     -355     -254 |    -1157 | fail
30  0    2   0.90 |  1996     -627  0.43    -302.7 |  1882  -1092.7 |   1442   -865.2 |     -353     -274 |    -1160 | fail
30  0    4   0.20 |  2689     -645  0.49    -672.3 |  2179  -1257.3 |   1903  -1141.8 |     -374     -270 |    -1411 | fail
30  0    4   0.50 |  2689     -731  0.45    -672.3 |  2294  -1322.0 |   1903  -1141.8 |     -415     -316 |    -1479 | fail
30  0    4   0.75 |  2689     -680  0.51    -672.3 |  2428  -1399.1 |   1903  -1141.8 |     -370     -310 |    -1447 | fail
30  0    4   0.90 |  2689     -649  0.55    -672.3 |  2521  -1446.4 |   1903  -1141.8 |     -318     -331 |    -1422 | fail
30  0    8   0.20 |  2731     -677  0.46    -672.3 |  2201  -1251.2 |   1898  -1138.8 |     -375     -302 |    -1480 | fail
30  0    8   0.50 |  2731     -691  0.48    -672.3 |  2330  -1316.6 |   1898  -1138.8 |     -387     -304 |    -1486 | fail
30  0    8   0.75 |  2731     -758  0.46    -672.3 |  2480  -1416.7 |   1898  -1138.8 |     -409     -349 |    -1539 | fail
30  0    8   0.90 |  2731     -755  0.48    -672.3 |  2583  -1462.2 |   1898  -1138.8 |     -393     -362 |    -1546 | fail
30  0    12  0.20 |  2630     -637  0.47    -245.7 |  2122  -1210.8 |   1835  -1101.0 |     -342     -295 |    -1406 | fail
30  0    12  0.50 |  2630     -600  0.53    -284.9 |  2232  -1279.7 |   1835  -1101.0 |     -350     -249 |    -1380 | fail
30  0    12  0.75 |  2630     -657  0.52    -333.0 |  2383  -1362.4 |   1835  -1101.0 |     -319     -339 |    -1412 | fail
30  0    12  0.90 |  2630     -651  0.54    -391.2 |  2491  -1427.0 |   1835  -1101.0 |     -263     -388 |    -1434 | fail
60  0    1   0.20 |  1093     -370  0.48    -274.2 |   850   -716.3 |    696   -626.4 |     -237     -133 |     -679 | fail
60  0    1   0.50 |  1093     -461  0.38    -274.2 |   894   -746.8 |    696   -626.4 |     -255     -207 |     -773 | fail
60  0    1   0.75 |  1093     -485  0.40    -547.3 |   976   -812.4 |    696   -626.4 |     -258     -227 |     -776 | fail
60  0    1   0.90 |  1093     -473  0.44    -547.3 |  1025   -848.1 |    696   -626.4 |     -248     -225 |     -751 | fail
60  0    2   0.20 |  1996     -678  0.45    -274.2 |  1528  -1228.9 |   1218  -1096.2 |     -403     -275 |    -1244 | fail
60  0    2   0.50 |  1996     -786  0.39    -284.9 |  1638  -1292.2 |   1218  -1096.2 |     -462     -324 |    -1357 | fail
60  0    2   0.75 |  1996     -852  0.38    -547.3 |  1770  -1377.5 |   1218  -1096.2 |     -496     -356 |    -1386 | fail
60  0    2   0.90 |  1996     -875  0.39    -547.3 |  1858  -1430.1 |   1218  -1096.2 |     -493     -382 |    -1393 | fail
60  0    4   0.20 |  2689     -956  0.43    -672.3 |  2076  -1664.6 |   1625  -1462.5 |     -533     -423 |    -1711 | fail
60  0    4   0.50 |  2689    -1012  0.42    -672.3 |  2214  -1739.4 |   1625  -1462.5 |     -559     -454 |    -1767 | fail
60  0    4   0.75 |  2689     -941  0.49    -672.3 |  2371  -1830.0 |   1625  -1462.5 |     -493     -448 |    -1720 | fail
60  0    4   0.90 |  2689     -900  0.52    -672.3 |  2493  -1889.2 |   1625  -1462.5 |     -428     -473 |    -1676 | fail
60  0    8   0.20 |  2731     -948  0.42    -672.3 |  2065  -1629.6 |   1592  -1432.8 |     -511     -438 |    -1742 | fail
60  0    8   0.50 |  2731     -954  0.45    -672.3 |  2234  -1723.9 |   1592  -1432.8 |     -540     -415 |    -1751 | fail
60  0    8   0.75 |  2731    -1053  0.43    -672.3 |  2417  -1841.0 |   1592  -1432.8 |     -573     -480 |    -1847 | fail
60  0    8   0.90 |  2731    -1068  0.44    -672.3 |  2561  -1903.2 |   1592  -1432.8 |     -568     -500 |    -1862 | fail
60  0    12  0.20 |  2630     -886  0.44    -245.7 |  2007  -1578.7 |   1543  -1388.7 |     -460     -426 |    -1661 | fail
60  0    12  0.50 |  2630     -788  0.53    -284.9 |  2148  -1668.7 |   1543  -1388.7 |     -462     -326 |    -1593 | fail
60  0    12  0.75 |  2630     -843  0.52    -408.8 |  2322  -1765.6 |   1543  -1388.7 |     -430     -413 |    -1638 | fail
60  0    12  0.90 |  2630     -862  0.53    -414.3 |  2463  -1849.9 |   1543  -1388.7 |     -387     -476 |    -1676 | fail
