E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=AVAX early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  9052    -1745  0.61    -687.0 |  7460  -4418.5 |   6715  -4029.0 |     -639    -1106 |    -4379 | fail
30  0    1   0.50 |  9052    -2070  0.56    -687.0 |  7777  -4656.5 |   6715  -4029.0 |     -939    -1131 |    -4656 | fail
30  0    1   0.75 |  9052    -2026  0.59    -687.0 |  8153  -4932.3 |   6715  -4029.0 |     -926    -1100 |    -4522 | fail
30  0    1   0.90 |  9052    -1916  0.62    -687.0 |  8283  -5023.2 |   6715  -4029.0 |     -861    -1055 |    -4405 | fail
30  0    2   0.20 |  9673    -1695  0.64    -871.9 |  7892  -4668.8 |   7054  -4232.4 |     -611    -1084 |    -4495 | fail
30  0    2   0.50 |  9673    -1957  0.60    -911.2 |  8259  -4952.9 |   7054  -4232.4 |     -887    -1071 |    -4706 | fail
30  0    2   0.75 |  9673    -1827  0.65    -911.2 |  8687  -5271.8 |   7054  -4232.4 |     -870     -958 |    -4514 | fail
30  0    2   0.90 |  9673    -1696  0.69    -911.2 |  8842  -5397.6 |   7054  -4232.4 |     -811     -885 |    -4414 | fail
30  0    4   0.20 |  9368    -1552  0.65    -799.8 |  7601  -4465.7 |   6736  -4041.6 |     -529    -1023 |    -4284 | fail
30  0    4   0.50 |  9368    -1651  0.65    -799.8 |  7926  -4719.3 |   6736  -4041.6 |     -783     -868 |    -4350 | fail
30  0    4   0.75 |  9368    -1457  0.71   -1122.8 |  8389  -5092.1 |   6736  -4041.6 |     -704     -753 |    -4094 | fail
30  0    4   0.90 |  9368    -1399  0.73   -1122.8 |  8568  -5258.7 |   6736  -4041.6 |     -658     -740 |    -4026 | fail
30  0    8   0.20 |  7722    -1196  0.68    -871.9 |  6234  -3681.4 |   5500  -3300.0 |     -430     -766 |    -3436 | fail
30  0    8   0.50 |  7722    -1357  0.65    -911.2 |  6525  -3910.7 |   5500  -3300.0 |     -606     -751 |    -3568 | fail
30  0    8   0.75 |  7722    -1287  0.69    -911.2 |  6930  -4176.5 |   5500  -3300.0 |     -518     -769 |    -3407 | fail
30  0    8   0.90 |  7722    -1215  0.72    -911.2 |  7140  -4359.7 |   5500  -3300.0 |     -509     -706 |    -3299 | fail
30  0    12  0.20 |  6236     -828  0.72    -871.9 |  5006  -2945.3 |   4445  -2667.0 |     -269     -559 |    -2628 | fail
30  0    12  0.50 |  6236     -977  0.69    -911.2 |  5251  -3145.2 |   4445  -2667.0 |     -374     -602 |    -2760 | fail
30  0    12  0.75 |  6236     -830  0.75    -911.2 |  5589  -3372.0 |   4445  -2667.0 |     -292     -538 |    -2538 | fail
30  0    12  0.90 |  6236     -557  0.84    -911.2 |  5789  -3521.3 |   4445  -2667.0 |      -94     -463 |    -2298 | fail
60  0    1   0.20 |  9051    -2816  0.52    -687.0 |  7071  -5885.0 |   5891  -5301.9 |    -1227    -1590 |    -5444 | fail
60  0    1   0.50 |  9051    -3263  0.47    -934.4 |  7493  -6203.1 |   5891  -5301.9 |    -1587    -1676 |    -5820 | fail
60  0    1   0.75 |  9051    -3281  0.50    -934.4 |  7976  -6551.7 |   5891  -5301.9 |    -1576    -1705 |    -5684 | fail
60  0    1   0.90 |  9051    -3153  0.53    -934.4 |  8142  -6670.2 |   5891  -5301.9 |    -1513    -1640 |    -5549 | fail
60  0    2   0.20 |  9672    -2790  0.55    -871.9 |  7478  -6205.1 |   6167  -5550.3 |    -1214    -1576 |    -5548 | fail
60  0    2   0.50 |  9672    -3119  0.52    -911.2 |  7947  -6564.9 |   6167  -5550.3 |    -1538    -1581 |    -5769 | fail
60  0    2   0.75 |  9672    -2969  0.57    -911.2 |  8482  -6969.6 |   6167  -5550.3 |    -1504    -1465 |    -5501 | fail
60  0    2   0.90 |  9672    -2816  0.60    -911.2 |  8675  -7127.6 |   6167  -5550.3 |    -1437    -1379 |    -5401 | fail
60  0    4   0.20 |  9367    -2587  0.56    -799.8 |  7195  -5911.2 |   5863  -5276.7 |    -1131    -1456 |    -5327 | fail
60  0    4   0.50 |  9367    -2751  0.56    -934.4 |  7625  -6245.0 |   5863  -5276.7 |    -1434    -1318 |    -5418 | fail
60  0    4   0.75 |  9367    -2606  0.61   -1122.8 |  8200  -6711.4 |   5863  -5276.7 |    -1381    -1224 |    -5193 | fail
