E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=BCH early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 | 10154    -2340  0.51    -669.9 |  8311  -4737.0 |   7261  -4356.6 |    -1026    -1314 |    -5317 | fail
30  0    1   0.50 | 10154    -2473  0.50    -725.1 |  8723  -4948.5 |   7261  -4356.6 |    -1026    -1447 |    -5361 | fail
30  0    1   0.75 | 10154    -2408  0.53    -725.1 |  9070  -5141.7 |   7261  -4356.6 |     -967    -1442 |    -5201 | fail
30  0    1   0.90 | 10154    -2312  0.55    -725.1 |  9112  -5165.6 |   7261  -4356.6 |     -921    -1391 |    -5160 | fail
30  0    2   0.20 | 10137    -2493  0.48    -669.9 |  8370  -4761.2 |   7295  -4377.0 |    -1166    -1326 |    -5513 | fail
30  0    2   0.50 | 10137    -2557  0.48    -725.1 |  8761  -4956.6 |   7295  -4377.0 |    -1257    -1300 |    -5471 | fail
30  0    2   0.75 | 10137    -2497  0.51    -725.1 |  9113  -5145.3 |   7295  -4377.0 |    -1206    -1291 |    -5359 | fail
30  0    2   0.90 | 10137    -2421  0.53    -725.1 |  9162  -5178.3 |   7295  -4377.0 |    -1164    -1257 |    -5313 | fail
30  0    4   0.20 |  9839    -2512  0.46   -1116.0 |  8179  -4669.5 |   7125  -4275.0 |    -1224    -1288 |    -5416 | fail
30  0    4   0.50 |  9839    -2579  0.47   -1116.0 |  8546  -4840.9 |   7125  -4275.0 |    -1350    -1229 |    -5414 | fail
30  0    4   0.75 |  9839    -2508  0.51   -1116.0 |  8940  -5080.6 |   7125  -4275.0 |    -1261    -1247 |    -5325 | fail
30  0    4   0.90 |  9839    -2468  0.52   -1116.0 |  9022  -5132.4 |   7125  -4275.0 |    -1240    -1228 |    -5307 | fail
30  0    8   0.20 |  8010    -1779  0.52    -298.2 |  6548  -3696.5 |   5664  -3398.4 |     -811     -968 |    -4117 | fail
30  0    8   0.50 |  8010    -1853  0.52    -459.1 |  6866  -3858.6 |   5664  -3398.4 |     -912     -942 |    -4159 | fail
30  0    8   0.75 |  8010    -1792  0.57    -655.0 |  7279  -4125.4 |   5664  -3398.4 |     -789    -1003 |    -3997 | fail
