E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=BNB early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  5184    -1149  0.53    -430.0 |  4239  -2439.8 |   3658  -2194.8 |     -403     -746 |    -2645 | fail
30  0    1   0.50 |  5184    -1231  0.52    -442.1 |  4450  -2565.0 |   3658  -2194.8 |     -507     -724 |    -2733 | fail
30  0    1   0.75 |  5184    -1213  0.55    -923.4 |  4684  -2698.5 |   3658  -2194.8 |     -471     -742 |    -2703 | fail
30  0    1   0.90 |  5184    -1087  0.60    -923.4 |  4755  -2746.5 |   3658  -2194.8 |     -404     -683 |    -2637 | fail
30  0    2   0.20 |  6443    -1335  0.55    -430.0 |  5226  -2939.4 |   4458  -2674.8 |     -501     -834 |    -3225 | fail
30  0    2   0.50 |  6443    -1345  0.56    -438.5 |  5515  -3086.6 |   4458  -2674.8 |     -520     -825 |    -3240 | fail
30  0    2   0.75 |  6443    -1202  0.63    -750.1 |  5816  -3261.4 |   4458  -2674.8 |     -379     -824 |    -3133 | fail
30  0    2   0.90 |  6443    -1185  0.64    -750.1 |  5919  -3320.9 |   4458  -2674.8 |     -340     -845 |    -3120 | fail
30  0    4   0.20 |  6555    -1439  0.51    -430.0 |  5279  -2963.3 |   4486  -2691.6 |     -527     -912 |    -3333 | fail
30  0    4   0.50 |  6555    -1411  0.55    -430.0 |  5616  -3111.5 |   4486  -2691.6 |     -492     -919 |    -3294 | fail
30  0    4   0.75 |  6555    -1169  0.64    -430.0 |  5959  -3266.8 |   4486  -2691.6 |     -244     -925 |    -3078 | fail
30  0    4   0.90 |  6555    -1047  0.69    -430.0 |  6055  -3328.8 |   4486  -2691.6 |     -118     -929 |    -2981 | fail
30  0    8   0.20 |  5986    -1380  0.48    -336.2 |  4841  -2662.8 |   4054  -2432.4 |     -514     -866 |    -3133 | fail
30  0    8   0.50 |  5986    -1366  0.51    -475.4 |  5153  -2805.9 |   4054  -2432.4 |     -524     -842 |    -3114 | fail
30  0    8   0.75 |  5986    -1007  0.66    -817.6 |  5447  -2961.9 |   4054  -2432.4 |     -218     -789 |    -2819 | fail
30  0    8   0.90 |  5986     -938  0.69    -817.6 |  5563  -3038.1 |   4054  -2432.4 |     -143     -795 |    -2791 | fail
