E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=BTC early=1 bars=48567 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  3928    -1127  0.38    -663.9 |  3212  -1803.9 |   2727  -1636.2 |     -568     -559 |    -2250 | fail
30  0    1   0.50 |  3928    -1273  0.33    -663.9 |  3412  -1902.5 |   2727  -1636.2 |     -706     -567 |    -2407 | fail
30  0    1   0.75 |  3928    -1266  0.37    -663.9 |  3618  -2020.3 |   2727  -1636.2 |     -684     -583 |    -2322 | fail
30  0    1   0.90 |  3928    -1279  0.38    -663.9 |  3681  -2070.8 |   2727  -1636.2 |     -692     -587 |    -2320 | fail
30  0    2   0.20 |  4839    -1374  0.37    -663.9 |  3938  -2195.3 |   3331  -1998.6 |     -731     -643 |    -2754 | fail
30  0    2   0.50 |  4839    -1567  0.33    -663.9 |  4196  -2323.3 |   3331  -1998.6 |     -852     -715 |    -2930 | fail
30  0    2   0.75 |  4839    -1574  0.35    -663.9 |  4460  -2435.6 |   3331  -1998.6 |     -861     -713 |    -2924 | fail
30  0    2   0.90 |  4839    -1561  0.37    -663.9 |  4536  -2493.0 |   3331  -1998.6 |     -842     -719 |    -2913 | fail
30  0    4   0.20 |  5199    -1407  0.40    -663.9 |  4227  -2330.2 |   3536  -2121.6 |     -703     -704 |    -2869 | fail
30  0    4   0.50 |  5199    -1449  0.41    -663.9 |  4504  -2447.4 |   3536  -2121.6 |     -788     -661 |    -2881 | fail
30  0    4   0.75 |  5199    -1392  0.45    -663.9 |  4764  -2552.6 |   3536  -2121.6 |     -795     -597 |    -2823 | fail
30  0    4   0.90 |  5199    -1372  0.47    -663.9 |  4841  -2596.2 |   3536  -2121.6 |     -768     -604 |    -2814 | fail
30  0    8   0.20 |  4763    -1306  0.38    -331.6 |  3880  -2120.0 |   3234  -1940.4 |     -647     -659 |    -2647 | fail
30  0    8   0.50 |  4763    -1416  0.36    -331.6 |  4119  -2210.9 |   3234  -1940.4 |     -701     -715 |    -2766 | fail
30  0    8   0.75 |  4763    -1396  0.40    -614.4 |  4380  -2324.8 |   3234  -1940.4 |     -719     -678 |    -2707 | fail
30  0    8   0.90 |  4763    -1355  0.43    -614.4 |  4465  -2377.6 |   3234  -1940.4 |     -699     -656 |    -2654 | fail
30  0    12  0.20 |  4274    -1178  0.38    -390.1 |  3448  -1886.2 |   2877  -1726.2 |     -600     -578 |    -2387 | fail
30  0    12  0.50 |  4274    -1322  0.33    -624.9 |  3683  -1978.8 |   2877  -1726.2 |     -705     -617 |    -2510 | fail
30  0    12  0.75 |  4274    -1325  0.36    -624.9 |  3924  -2076.7 |   2877  -1726.2 |     -696     -629 |    -2485 | fail
30  0    12  0.90 |  4274    -1268  0.40    -624.9 |  3997  -2118.6 |   2877  -1726.2 |     -683     -585 |    -2445 | fail
60  0    1   0.20 |  3928    -1387  0.39    -663.9 |  2995  -2274.2 |   2251  -2025.9 |     -731     -656 |    -2521 | fail
60  0    1   0.50 |  3928    -1606  0.33    -663.9 |  3262  -2408.0 |   2251  -2025.9 |     -909     -697 |    -2761 | fail
60  0    1   0.75 |  3928    -1607  0.37    -663.9 |  3536  -2553.1 |   2251  -2025.9 |     -890     -716 |    -2660 | fail
60  0    1   0.90 |  3928    -1617  0.38    -663.9 |  3617  -2611.5 |   2251  -2025.9 |     -893     -724 |    -2661 | fail
60  0    2   0.20 |  4839    -1755  0.37    -732.1 |  3687  -2806.0 |   2784  -2505.6 |     -975     -780 |    -3156 | fail
60  0    2   0.50 |  4839    -2018  0.32    -732.1 |  4017  -2970.5 |   2784  -2505.6 |    -1134     -885 |    -3387 | fail
60  0    2   0.75 |  4839    -2055  0.34    -732.1 |  4349  -3110.5 |   2784  -2505.6 |    -1153     -902 |    -3365 | fail
60  0    2   0.90 |  4839    -2034  0.36    -732.1 |  4457  -3181.8 |   2784  -2505.6 |    -1127     -906 |    -3348 | fail
60  0    4   0.20 |  5199    -1743  0.40    -663.9 |  3923  -2915.2 |   2887  -2598.3 |     -907     -836 |    -3190 | fail
60  0    4   0.50 |  5199    -1845  0.40    -663.9 |  4298  -3084.1 |   2887  -2598.3 |    -1032     -814 |    -3227 | fail
60  0    4   0.75 |  5199    -1816  0.44    -663.9 |  4643  -3225.7 |   2887  -2598.3 |    -1049     -767 |    -3166 | fail
