E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=CRV early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  5561    -1107  0.58    -599.1 |  4547  -2665.6 |   4094  -2456.4 |     -533     -574 |    -2727 | fail
30  0    1   0.50 |  5561    -1182  0.58    -731.8 |  4745  -2808.4 |   4094  -2456.4 |     -581     -601 |    -2791 | fail
30  0    1   0.75 |  5561    -1253  0.58    -731.8 |  5010  -2999.4 |   4094  -2456.4 |     -591     -662 |    -2806 | fail
30  0    1   0.90 |  5561    -1208  0.61    -731.8 |  5095  -3070.2 |   4094  -2456.4 |     -568     -641 |    -2740 | fail
30  0    2   0.20 |  6222    -1176  0.60    -599.1 |  5068  -2946.0 |   4543  -2725.8 |     -597     -579 |    -2991 | fail
30  0    2   0.50 |  6222    -1235  0.60    -731.8 |  5297  -3098.0 |   4543  -2725.8 |     -672     -563 |    -3047 | fail
30  0    2   0.75 |  6222    -1244  0.62    -731.8 |  5599  -3292.7 |   4543  -2725.8 |     -630     -614 |    -3049 | fail
30  0    2   0.90 |  6222    -1189  0.65    -731.8 |  5695  -3358.5 |   4543  -2725.8 |     -604     -585 |    -2984 | fail
30  0    4   0.20 |  5904    -1021  0.63    -599.1 |  4761  -2762.2 |   4266  -2559.6 |     -570     -451 |    -2737 | fail
30  0    4   0.50 |  5904    -1253  0.57    -599.1 |  4999  -2909.7 |   4266  -2559.6 |     -742     -512 |    -2985 | fail
30  0    4   0.75 |  5904    -1285  0.59    -599.1 |  5280  -3100.8 |   4266  -2559.6 |     -723     -561 |    -2995 | fail
30  0    4   0.90 |  5904    -1222  0.62    -599.1 |  5401  -3190.3 |   4266  -2559.6 |     -702     -519 |    -2919 | fail
30  0    8   0.20 |  4965    -1096  0.54    -599.1 |  4063  -2359.3 |   3590  -2154.0 |     -630     -466 |    -2521 | fail
30  0    8   0.50 |  4965    -1296  0.48    -599.1 |  4255  -2469.4 |   3590  -2154.0 |     -774     -521 |    -2737 | fail
30  0    8   0.75 |  4965    -1435  0.46    -651.9 |  4517  -2663.5 |   3590  -2154.0 |     -842     -594 |    -2854 | fail
30  0    8   0.90 |  4965    -1379  0.50    -651.9 |  4637  -2770.9 |   3590  -2154.0 |     -878     -501 |    -2778 | fail
30  0    12  0.20 |  4150     -886  0.55   -1213.7 |  3359  -1982.8 |   2941  -1764.6 |     -557     -329 |    -2080 | fail
30  0    12  0.50 |  4150    -1156  0.44   -1213.7 |  3526  -2080.1 |   2941  -1764.6 |     -690     -466 |    -2346 | fail
30  0    12  0.75 |  4150    -1358  0.39   -1213.7 |  3747  -2240.0 |   2941  -1764.6 |     -750     -608 |    -2504 | fail
30  0    12  0.90 |  4150    -1367  0.43   -1213.7 |  3892  -2393.5 |   2941  -1764.6 |     -807     -560 |    -2492 | fail
60  0    1   0.20 |  5561    -1676  0.53    -599.1 |  4322  -3563.5 |   3592  -3232.8 |     -818     -858 |    -3303 | fail
60  0    1   0.50 |  5561    -1796  0.52    -731.8 |  4571  -3737.2 |   3592  -3232.8 |     -892     -904 |    -3391 | fail
60  0    1   0.75 |  5561    -1867  0.53    -731.8 |  4907  -3983.4 |   3592  -3232.8 |     -896     -970 |    -3399 | fail
60  0    1   0.90 |  5561    -1817  0.55    -731.8 |  5004  -4061.5 |   3592  -3232.8 |     -863     -953 |    -3332 | fail
60  0    2   0.20 |  6222    -1869  0.53    -599.1 |  4836  -3941.6 |   3984  -3585.6 |     -935     -934 |    -3679 | fail
60  0    2   0.50 |  6222    -1960  0.52    -731.8 |  5115  -4116.9 |   3984  -3585.6 |    -1029     -931 |    -3724 | fail
60  0    2   0.75 |  6222    -1951  0.55    -731.8 |  5485  -4349.6 |   3984  -3585.6 |     -956     -995 |    -3711 | fail
60  0    2   0.90 |  6222    -1890  0.57    -731.8 |  5598  -4425.1 |   3984  -3585.6 |     -922     -968 |    -3635 | fail
60  0    4   0.20 |  5904    -1691  0.54    -599.1 |  4553  -3700.4 |   3745  -3370.5 |     -901     -790 |    -3397 | fail
60  0    4   0.50 |  5904    -1954  0.50    -599.1 |  4840  -3870.6 |   3745  -3370.5 |    -1076     -878 |    -3650 | fail
60  0    4   0.75 |  5904    -1955  0.52    -599.1 |  5173  -4094.3 |   3745  -3370.5 |    -1039     -916 |    -3651 | fail
60  0    4   0.90 |  5904    -1879  0.55    -599.1 |  5314  -4193.5 |   3745  -3370.5 |    -1003     -876 |    -3568 | fail
60  0    8   0.20 |  4965    -1586  0.49    -599.1 |  3862  -3118.6 |   3114  -2802.6 |     -849     -737 |    -3008 | fail
60  0    8   0.50 |  4965    -1858  0.43    -599.1 |  4117  -3264.8 |   3114  -2802.6 |    -1009     -850 |    -3284 | fail
60  0    8   0.75 |  4965    -2007  0.43    -651.9 |  4433  -3498.4 |   3114  -2802.6 |    -1091     -916 |    -3427 | fail
60  0    8   0.90 |  4965    -1934  0.47    -651.9 |  4571  -3617.9 |   3114  -2802.6 |    -1118     -816 |    -3326 | fail
60  0    12  0.20 |  4150    -1278  0.51   -1213.7 |  3196  -2606.6 |   2557  -2301.3 |     -739     -539 |    -2489 | fail
60  0    12  0.50 |  4150    -1616  0.41   -1213.7 |  3402  -2728.0 |   2557  -2301.3 |     -913     -703 |    -2811 | fail
60  0    12  0.75 |  4150    -1840  0.37   -1213.7 |  3663  -2921.9 |   2557  -2301.3 |    -1003     -836 |    -2987 | fail
60  0    12  0.90 |  4150    -1827  0.41   -1213.7 |  3841  -3098.3 |   2557  -2301.3 |    -1046     -781 |    -2944 | fail
