E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=DOGE early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 | 10839    -2742  0.48   -1212.8 |  9053  -5272.2 |   8089  -4853.4 |    -1341    -1401 |    -5905 | fail
30  0    1   0.50 | 10839    -2937  0.47   -1212.8 |  9499  -5533.0 |   8089  -4853.4 |    -1305    -1631 |    -5997 | fail
30  0    1   0.75 | 10839    -2905  0.50   -1212.8 |  9830  -5786.2 |   8089  -4853.4 |    -1273    -1632 |    -5882 | fail
30  0    1   0.90 | 10839    -2728  0.53   -1212.8 |  9873  -5815.7 |   8089  -4853.4 |    -1169    -1559 |    -5760 | fail
30  0    2   0.20 | 10861    -2532  0.52   -1212.8 |  9004  -5224.7 |   8020  -4812.0 |    -1153    -1379 |    -5735 | fail
30  0    2   0.50 | 10861    -2681  0.51   -1212.8 |  9441  -5492.9 |   8020  -4812.0 |    -1142    -1540 |    -5769 | fail
30  0    2   0.75 | 10861    -2363  0.59   -1212.8 |  9829  -5793.2 |   8020  -4812.0 |     -786    -1577 |    -5374 | fail
30  0    2   0.90 | 10861    -2155  0.63   -1212.8 |  9904  -5860.4 |   8020  -4812.0 |     -650    -1505 |    -5217 | fail
30  0    4   0.20 | 10168    -2346  0.52   -1212.8 |  8424  -4871.1 |   7447  -4468.2 |    -1073    -1274 |    -5322 | fail
30  0    4   0.50 | 10168    -2213  0.57   -1212.8 |  8865  -5165.2 |   7447  -4468.2 |     -830    -1383 |    -5076 | fail
30  0    4   0.75 | 10168    -1676  0.69   -1212.8 |  9268  -5434.6 |   7447  -4468.2 |     -288    -1387 |    -4493 | fail
30  0    4   0.90 | 10168    -1592  0.71   -1212.8 |  9404  -5548.7 |   7447  -4468.2 |     -220    -1372 |    -4410 | fail
30  0    8   0.20 |  8170    -1830  0.53   -1212.8 |  6772  -3906.5 |   5908  -3544.8 |     -763    -1067 |    -4208 | fail
