E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=DOT early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  6558    -1502  0.51    -479.1 |  5380  -3073.1 |   4645  -2787.0 |     -847     -655 |    -3365 | fail
30  0    1   0.50 |  6558    -1684  0.48    -661.8 |  5647  -3227.0 |   4645  -2787.0 |     -925     -759 |    -3504 | fail
30  0    1   0.75 |  6558    -1630  0.51    -661.8 |  5852  -3338.6 |   4645  -2787.0 |     -888     -742 |    -3413 | fail
30  0    1   0.90 |  6558    -1570  0.53    -661.8 |  5886  -3361.0 |   4645  -2787.0 |     -862     -708 |    -3402 | fail
30  0    2   0.20 |  6661    -1580  0.49    -436.6 |  5467  -3073.2 |   4657  -2794.2 |     -894     -686 |    -3482 | fail
30  0    2   0.50 |  6661    -1636  0.49    -465.1 |  5724  -3207.7 |   4657  -2794.2 |     -959     -677 |    -3499 | fail
30  0    2   0.75 |  6661    -1592  0.52    -465.1 |  5967  -3332.0 |   4657  -2794.2 |     -950     -641 |    -3374 | fail
30  0    2   0.90 |  6661    -1536  0.54    -465.1 |  6014  -3351.7 |   4657  -2794.2 |     -924     -611 |    -3357 | fail
30  0    4   0.20 |  6169    -1471  0.48    -355.7 |  5061  -2818.5 |   4267  -2560.2 |     -873     -598 |    -3234 | fail
30  0    4   0.50 |  6169    -1521  0.48    -661.8 |  5311  -2935.2 |   4267  -2560.2 |     -916     -605 |    -3256 | fail
30  0    4   0.75 |  6169    -1473  0.52    -661.8 |  5589  -3089.1 |   4267  -2560.2 |     -917     -556 |    -3194 | fail
30  0    4   0.90 |  6169    -1404  0.55    -661.8 |  5666  -3139.9 |   4267  -2560.2 |     -885     -519 |    -3166 | fail
30  0    8   0.20 |  5075    -1153  0.51    -573.5 |  4140  -2369.8 |   3547  -2128.2 |     -712     -441 |    -2599 | fail
30  0    8   0.50 |  5075    -1168  0.53    -573.5 |  4388  -2490.3 |   3547  -2128.2 |     -791     -377 |    -2566 | fail
30  0    8   0.75 |  5075    -1113  0.57    -573.5 |  4636  -2610.4 |   3547  -2128.2 |     -781     -332 |    -2471 | fail
30  0    8   0.90 |  5075    -1132  0.58    -573.5 |  4741  -2691.7 |   3547  -2128.2 |     -774     -358 |    -2476 | fail
30  0    12  0.20 |  4195     -906  0.53    -458.2 |  3387  -1933.2 |   2911  -1746.6 |     -595     -311 |    -2139 | fail
30  0    12  0.50 |  4195     -998  0.51    -458.2 |  3573  -2024.8 |   2911  -1746.6 |     -694     -304 |    -2193 | fail
30  0    12  0.75 |  4195    -1012  0.52    -458.2 |  3793  -2116.1 |   2911  -1746.6 |     -731     -282 |    -2186 | fail
30  0    12  0.90 |  4195    -1034  0.53    -458.2 |  3922  -2200.5 |   2911  -1746.6 |     -724     -310 |    -2204 | fail
