E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=ETC early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  3492     -775  0.51    -199.4 |  2838  -1586.5 |   2466  -1479.6 |     -384     -390 |    -1789 | fail
30  0    1   0.50 |  3492     -816  0.51    -319.9 |  2998  -1661.0 |   2466  -1479.6 |     -455     -361 |    -1786 | fail
30  0    1   0.75 |  3492     -884  0.50    -389.7 |  3173  -1755.7 |   2466  -1479.6 |     -476     -408 |    -1819 | fail
30  0    1   0.90 |  3492     -874  0.51    -444.9 |  3246  -1796.4 |   2466  -1479.6 |     -487     -387 |    -1782 | fail
30  0    2   0.20 |  4432     -963  0.53    -991.0 |  3598  -2042.4 |   3121  -1872.6 |     -508     -455 |    -2247 | fail
30  0    2   0.50 |  4432    -1147  0.47    -991.0 |  3824  -2166.1 |   3121  -1872.6 |     -653     -494 |    -2342 | fail
30  0    2   0.75 |  4432    -1074  0.52    -991.0 |  4038  -2258.6 |   3121  -1872.6 |     -671     -403 |    -2273 | fail
30  0    2   0.90 |  4432    -1061  0.54    -991.0 |  4110  -2293.4 |   3121  -1872.6 |     -670     -390 |    -2265 | fail
30  0    4   0.20 |  4478    -1039  0.50    -991.0 |  3666  -2078.3 |   3190  -1914.0 |     -554     -486 |    -2351 | fail
30  0    4   0.50 |  4478    -1217  0.44    -991.0 |  3870  -2191.4 |   3190  -1914.0 |     -655     -562 |    -2471 | fail
30  0    4   0.75 |  4478    -1202  0.48    -991.0 |  4097  -2294.4 |   3190  -1914.0 |     -703     -498 |    -2442 | fail
30  0    4   0.90 |  4478    -1165  0.50    -991.0 |  4165  -2327.9 |   3190  -1914.0 |     -697     -468 |    -2409 | fail
30  0    8   0.20 |  3904     -957  0.48    -991.0 |  3226  -1832.6 |   2757  -1654.2 |     -469     -488 |    -2064 | fail
30  0    8   0.50 |  3904    -1141  0.42    -991.0 |  3414  -1957.7 |   2757  -1654.2 |     -586     -554 |    -2203 | fail
30  0    8   0.75 |  3904    -1037  0.49    -991.0 |  3607  -2030.4 |   2757  -1654.2 |     -555     -481 |    -2119 | fail
30  0    8   0.90 |  3904     -991  0.52    -991.0 |  3671  -2070.4 |   2757  -1654.2 |     -545     -446 |    -2075 | fail
30  0    12  0.20 |  3321     -814  0.48   -1129.1 |  2731  -1559.9 |   2307  -1384.2 |     -408     -406 |    -1771 | fail
30  0    12  0.50 |  3321     -905  0.45   -1129.1 |  2881  -1649.2 |   2307  -1384.2 |     -498     -407 |    -1840 | fail
30  0    12  0.75 |  3321     -824  0.52   -1129.1 |  3061  -1725.6 |   2307  -1384.2 |     -521     -304 |    -1772 | fail
30  0    12  0.90 |  3321     -793  0.55   -1129.1 |  3145  -1777.5 |   2307  -1384.2 |     -507     -286 |    -1759 | fail
60  0    1   0.20 |  3492    -1055  0.48    -199.4 |  2652  -2037.4 |   2053  -1847.7 |     -552     -502 |    -2052 | fail
60  0    1   0.50 |  3492    -1127  0.47    -319.9 |  2866  -2138.1 |   2053  -1847.7 |     -633     -494 |    -2098 | fail
60  0    1   0.75 |  3492    -1184  0.48    -389.7 |  3101  -2264.9 |   2053  -1847.7 |     -662     -523 |    -2124 | fail
60  0    1   0.90 |  3492    -1194  0.49    -444.9 |  3193  -2322.5 |   2053  -1847.7 |     -685     -509 |    -2086 | fail
60  0    2   0.20 |  4432    -1278  0.51    -991.0 |  3354  -2600.3 |   2586  -2327.4 |     -701     -577 |    -2548 | fail
60  0    2   0.50 |  4432    -1510  0.45    -991.0 |  3644  -2760.7 |   2586  -2327.4 |     -874     -636 |    -2681 | fail
60  0    2   0.75 |  4432    -1436  0.50    -991.0 |  3936  -2889.3 |   2586  -2327.4 |     -913     -522 |    -2604 | fail
60  0    2   0.90 |  4432    -1428  0.51    -991.0 |  4027  -2934.3 |   2586  -2327.4 |     -912     -515 |    -2594 | fail
60  0    4   0.20 |  4478    -1402  0.47    -991.0 |  3441  -2668.4 |   2657  -2391.3 |     -738     -664 |    -2731 | fail
60  0    4   0.50 |  4478    -1611  0.43    -991.0 |  3695  -2804.4 |   2657  -2391.3 |     -853     -758 |    -2879 | fail
60  0    4   0.75 |  4478    -1572  0.47    -991.0 |  3987  -2942.5 |   2657  -2391.3 |     -907     -666 |    -2845 | fail
60  0    4   0.90 |  4478    -1538  0.49    -991.0 |  4076  -2987.9 |   2657  -2391.3 |     -903     -634 |    -2812 | fail
60  0    8   0.20 |  3904    -1250  0.46    -991.0 |  3031  -2318.0 |   2263  -2036.7 |     -649     -601 |    -2382 | fail
60  0    8   0.50 |  3904    -1434  0.42    -991.0 |  3268  -2470.9 |   2263  -2036.7 |     -752     -682 |    -2508 | fail
60  0    8   0.75 |  3904    -1286  0.50    -991.0 |  3518  -2571.7 |   2263  -2036.7 |     -726     -560 |    -2377 | fail
60  0    8   0.90 |  3904    -1244  0.53    -991.0 |  3600  -2626.2 |   2263  -2036.7 |     -718     -525 |    -2327 | fail
60  0    12  0.20 |  3321    -1077  0.45   -1129.1 |  2559  -1968.7 |   1905  -1714.5 |     -570     -507 |    -2034 | fail
60  0    12  0.50 |  3321    -1186  0.43   -1129.1 |  2759  -2081.1 |   1905  -1714.5 |     -673     -513 |    -2107 | fail
60  0    12  0.75 |  3321    -1087  0.50   -1129.1 |  2998  -2182.4 |   1905  -1714.5 |     -695     -392 |    -2020 | fail
60  0    12  0.90 |  3321    -1064  0.53   -1129.1 |  3103  -2253.9 |   1905  -1714.5 |     -687     -378 |    -2015 | fail
