E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=ETH early=1 bars=48568 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  1968     -395  0.56    -343.7 |  1561   -900.8 |   1380   -828.0 |     -225     -170 |     -960 | fail
30  0    1   0.50 |  1968     -303  0.68    -614.6 |  1657   -950.1 |   1380   -828.0 |     -152     -152 |     -862 | fail
30  0    1   0.75 |  1968     -297  0.71    -614.6 |  1787  -1033.1 |   1380   -828.0 |     -153     -144 |     -835 | fail
30  0    1   0.90 |  1968     -298  0.73    -614.6 |  1875  -1098.8 |   1380   -828.0 |     -139     -159 |     -825 | fail
30  0    2   0.20 |  3056     -825  0.43    -980.8 |  2500  -1458.8 |   2220  -1332.0 |     -436     -389 |    -1695 | fail
30  0    2   0.50 |  3056     -801  0.48    -980.8 |  2630  -1528.2 |   2220  -1332.0 |     -444     -357 |    -1634 | fail
30  0    2   0.75 |  3056     -789  0.52    -980.8 |  2806  -1635.5 |   2220  -1332.0 |     -429     -360 |    -1596 | fail
30  0    2   0.90 |  3056     -719  0.57    -980.8 |  2889  -1690.1 |   2220  -1332.0 |     -417     -303 |    -1551 | fail
30  0    4   0.20 |  3779     -893  0.49    -980.8 |  3038  -1749.1 |   2664  -1598.4 |     -491     -402 |    -1987 | fail
30  0    4   0.50 |  3779    -1019  0.45    -980.8 |  3221  -1844.0 |   2664  -1598.4 |     -626     -393 |    -2111 | fail
30  0    4   0.75 |  3779     -951  0.52    -980.8 |  3463  -1981.2 |   2664  -1598.4 |     -611     -340 |    -1993 | fail
30  0    4   0.90 |  3779     -894  0.57    -980.8 |  3575  -2066.6 |   2664  -1598.4 |     -578     -317 |    -1938 | fail
30  0    8   0.20 |  3882     -999  0.44    -372.6 |  3136  -1795.7 |   2720  -1632.0 |     -577     -421 |    -2125 | fail
30  0    8   0.50 |  3882    -1027  0.45    -659.6 |  3310  -1883.4 |   2720  -1632.0 |     -699     -328 |    -2137 | fail
30  0    8   0.75 |  3882    -1024  0.49    -659.6 |  3538  -2006.5 |   2720  -1632.0 |     -694     -330 |    -2114 | fail
30  0    8   0.90 |  3882    -1020  0.51    -659.6 |  3677  -2101.4 |   2720  -1632.0 |     -739     -281 |    -2099 | fail
30  0    12  0.20 |  3583     -860  0.47    -325.4 |  2893  -1630.8 |   2507  -1504.2 |     -481     -379 |    -1896 | fail
30  0    12  0.50 |  3583     -900  0.48    -659.6 |  3061  -1717.4 |   2507  -1504.2 |     -590     -310 |    -1935 | fail
30  0    12  0.75 |  3583     -912  0.51    -659.6 |  3276  -1847.6 |   2507  -1504.2 |     -537     -375 |    -1914 | fail
30  0    12  0.90 |  3583     -862  0.55    -659.6 |  3388  -1912.3 |   2507  -1504.2 |     -550     -312 |    -1896 | fail
