E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=FIL early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  4960    -1064  0.55    -517.8 |  4097  -2367.6 |   3610  -2166.0 |     -577     -487 |    -2510 | fail
30  0    1   0.50 |  4960    -1281  0.49   -1008.0 |  4285  -2500.3 |   3610  -2166.0 |     -719     -561 |    -2707 | fail
30  0    1   0.75 |  4960    -1236  0.54   -1352.5 |  4531  -2682.0 |   3610  -2166.0 |     -695     -541 |    -2614 | fail
30  0    1   0.90 |  4960    -1174  0.57   -1352.5 |  4601  -2721.4 |   3610  -2166.0 |     -673     -501 |    -2597 | fail
30  0    2   0.20 |  5449    -1130  0.56    -463.0 |  4423  -2554.4 |   3914  -2348.4 |     -662     -468 |    -2701 | fail
30  0    2   0.50 |  5449    -1261  0.53   -1008.0 |  4645  -2677.5 |   3914  -2348.4 |     -751     -510 |    -2779 | fail
30  0    2   0.75 |  5449    -1161  0.59   -1352.5 |  4909  -2842.1 |   3914  -2348.4 |     -738     -423 |    -2672 | fail
30  0    2   0.90 |  5449    -1107  0.62   -1352.5 |  4994  -2892.5 |   3914  -2348.4 |     -695     -412 |    -2653 | fail
30  0    4   0.20 |  5499    -1034  0.60    -463.0 |  4452  -2555.9 |   3891  -2334.6 |     -680     -355 |    -2644 | fail
30  0    4   0.50 |  5499    -1410  0.49   -1008.0 |  4698  -2738.9 |   3891  -2334.6 |     -894     -516 |    -2974 | fail
30  0    4   0.75 |  5499    -1380  0.53   -1060.2 |  4992  -2922.9 |   3891  -2334.6 |     -869     -511 |    -2932 | fail
30  0    4   0.90 |  5499    -1293  0.57   -1060.2 |  5099  -2982.6 |   3891  -2334.6 |     -822     -471 |    -2887 | fail
30  0    8   0.20 |  4552     -781  0.63    -463.0 |  3674  -2102.9 |   3247  -1948.2 |     -558     -223 |    -2123 | fail
30  0    8   0.50 |  4552     -997  0.56   -1008.0 |  3894  -2262.7 |   3247  -1948.2 |     -724     -273 |    -2277 | fail
30  0    8   0.75 |  4552    -1079  0.56   -1060.2 |  4148  -2448.3 |   3247  -1948.2 |     -781     -298 |    -2337 | fail
30  0    8   0.90 |  4552    -1068  0.58   -1060.2 |  4274  -2523.5 |   3247  -1948.2 |     -739     -328 |    -2337 | fail
30  0    12  0.20 |  3792     -747  0.58    -389.4 |  3092  -1759.7 |   2712  -1627.2 |     -457     -290 |    -1862 | fail
30  0    12  0.50 |  3792     -654  0.66   -1008.0 |  3251  -1901.4 |   2712  -1627.2 |     -634      -20 |    -1749 | fail
30  0    12  0.75 |  3792     -709  0.66   -1060.2 |  3487  -2076.7 |   2712  -1627.2 |     -703       -5 |    -1736 | fail
30  0    12  0.90 |  3792     -687  0.68   -1060.2 |  3596  -2145.6 |   2712  -1627.2 |     -660      -27 |    -1744 | fail
60  0    1   0.20 |  4960    -1617  0.48    -766.2 |  3872  -3131.5 |   3071  -2763.9 |     -826     -791 |    -3042 | fail
60  0    1   0.50 |  4960    -1933  0.42   -1008.0 |  4118  -3316.5 |   3071  -2763.9 |    -1038     -895 |    -3337 | fail
60  0    1   0.75 |  4960    -1921  0.46   -1352.5 |  4436  -3558.1 |   3071  -2763.9 |    -1051     -870 |    -3261 | fail
60  0    1   0.90 |  4960    -1854  0.49   -1352.5 |  4530  -3606.9 |   3071  -2763.9 |    -1024     -830 |    -3240 | fail
60  0    2   0.20 |  5449    -1727  0.49    -766.2 |  4175  -3364.2 |   3343  -3008.7 |     -970     -757 |    -3317 | fail
60  0    2   0.50 |  5449    -1925  0.46   -1008.0 |  4464  -3537.1 |   3343  -3008.7 |    -1096     -828 |    -3457 | fail
