E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=GRT early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  6710     -985  0.70    -999.0 |  5502  -3320.5 |   5037  -3022.2 |     -530     -455 |    -2943 | fail
30  0    1   0.50 |  6710    -1288  0.63    -999.0 |  5731  -3501.4 |   5037  -3022.2 |     -675     -613 |    -3223 | fail
30  0    1   0.75 |  6710    -1190  0.68    -999.0 |  6048  -3746.6 |   5037  -3022.2 |     -618     -572 |    -3131 | fail
30  0    1   0.90 |  6710    -1153  0.70    -999.0 |  6199  -3872.0 |   5037  -3022.2 |     -596     -557 |    -3089 | fail
30  0    2   0.20 |  8011    -1207  0.69    -999.0 |  6556  -3911.3 |   5952  -3571.2 |     -599     -608 |    -3543 | fail
30  0    2   0.50 |  8011    -1515  0.63    -999.0 |  6836  -4116.8 |   5952  -3571.2 |     -778     -737 |    -3791 | fail
30  0    2   0.75 |  8011    -1361  0.69    -999.0 |  7207  -4382.9 |   5952  -3571.2 |     -759     -601 |    -3637 | fail
30  0    2   0.90 |  8011    -1243  0.72    -999.0 |  7369  -4513.2 |   5952  -3571.2 |     -690     -553 |    -3563 | fail
30  0    4   0.20 |  8254    -1361  0.66    -999.0 |  6729  -3973.2 |   6061  -3636.6 |     -570     -791 |    -3762 | fail
30  0    4   0.50 |  8254    -1646  0.61    -999.0 |  7066  -4213.8 |   6061  -3636.6 |     -718     -928 |    -4002 | fail
30  0    4   0.75 |  8254    -1517  0.66   -1112.0 |  7443  -4527.4 |   6061  -3636.6 |     -697     -820 |    -3849 | fail
30  0    4   0.90 |  8254    -1476  0.69   -1195.7 |  7641  -4715.1 |   6061  -3636.6 |     -672     -803 |    -3810 | fail
30  0    8   0.20 |  6814    -1082  0.67    -999.0 |  5524  -3261.6 |   4998  -2998.8 |     -532     -551 |    -3082 | fail
30  0    8   0.50 |  6814    -1461  0.58    -999.0 |  5798  -3454.3 |   4998  -2998.8 |     -736     -725 |    -3420 | fail
30  0    8   0.75 |  6814    -1511  0.60    -999.0 |  6156  -3731.4 |   4998  -2998.8 |     -791     -720 |    -3447 | fail
30  0    8   0.90 |  6814    -1354  0.65    -999.0 |  6345  -3896.7 |   4998  -2998.8 |     -756     -598 |    -3334 | fail
30  0    12  0.20 |  5763     -947  0.66    -999.0 |  4719  -2781.8 |   4248  -2548.8 |     -426     -522 |    -2631 | fail
30  0    12  0.50 |  5763    -1164  0.60    -999.0 |  4933  -2932.8 |   4248  -2548.8 |     -421     -742 |    -2808 | fail
30  0    12  0.75 |  5763    -1184  0.63   -1112.0 |  5235  -3194.7 |   4248  -2548.8 |     -430     -754 |    -2848 | fail
30  0    12  0.90 |  5763    -1105  0.67   -1112.0 |  5421  -3362.1 |   4248  -2548.8 |     -457     -648 |    -2786 | fail
60  0    1   0.20 |  6710    -1840  0.59    -999.0 |  5249  -4497.1 |   4525  -4072.5 |    -1041     -799 |    -3765 | fail
60  0    1   0.50 |  6710    -2163  0.54    -999.0 |  5533  -4718.5 |   4525  -4072.5 |    -1210     -953 |    -4075 | fail
60  0    1   0.75 |  6710    -2036  0.59    -999.0 |  5923  -5013.2 |   4525  -4072.5 |    -1150     -886 |    -3966 | fail
60  0    1   0.90 |  6710    -2002  0.61    -999.0 |  6102  -5158.5 |   4525  -4072.5 |    -1121     -880 |    -3921 | fail
60  0    2   0.20 |  8011    -2169  0.59    -999.0 |  6229  -5262.2 |   5293  -4763.7 |    -1194     -975 |    -4461 | fail
60  0    2   0.50 |  8011    -2555  0.54    -999.0 |  6593  -5532.4 |   5293  -4763.7 |    -1417    -1138 |    -4780 | fail
60  0    2   0.75 |  8011    -2351  0.60    -999.0 |  7046  -5863.5 |   5293  -4763.7 |    -1394     -957 |    -4618 | fail
60  0    2   0.90 |  8011    -2178  0.64    -999.0 |  7245  -6017.9 |   5293  -4763.7 |    -1286     -891 |    -4508 | fail
60  0    4   0.20 |  8254    -2410  0.55    -999.0 |  6406  -5350.3 |   5392  -4852.8 |    -1159    -1251 |    -4766 | fail
60  0    4   0.50 |  8254    -2809  0.51    -999.0 |  6841  -5678.4 |   5392  -4852.8 |    -1359    -1450 |    -5117 | fail
60  0    4   0.75 |  8254    -2719  0.55   -1112.0 |  7314  -6069.1 |   5392  -4852.8 |    -1351    -1369 |    -4989 | fail
60  0    4   0.90 |  8254    -2680  0.57   -1195.7 |  7554  -6291.8 |   5392  -4852.8 |    -1319    -1362 |    -4937 | fail
60  0    8   0.20 |  6814    -1925  0.56    -999.0 |  5267  -4392.3 |   4449  -4004.1 |    -1035     -890 |    -3936 | fail
60  0    8   0.50 |  6814    -2366  0.49    -999.0 |  5616  -4638.2 |   4449  -4004.1 |    -1255    -1111 |    -4325 | fail
60  0    8   0.75 |  6814    -2455  0.51    -999.0 |  6056  -4969.9 |   4449  -4004.1 |    -1343    -1113 |    -4410 | fail
60  0    8   0.90 |  6814    -2296  0.56    -999.0 |  6281  -5171.9 |   4449  -4004.1 |    -1323     -973 |    -4301 | fail
60  0    12  0.20 |  5763    -1658  0.56    -999.0 |  4485  -3739.5 |   3761  -3384.9 |     -827     -831 |    -3318 | fail
60  0    12  0.50 |  5763    -1928  0.51    -999.0 |  4759  -3931.5 |   3761  -3384.9 |     -853    -1075 |    -3536 | fail
60  0    12  0.75 |  5763    -1929  0.54   -1112.0 |  5138  -4237.6 |   3761  -3384.9 |     -866    -1063 |    -3578 | fail
60  0    12  0.90 |  5763    -1867  0.58   -1112.0 |  5360  -4440.9 |   3761  -3384.9 |     -919     -947 |    -3511 | fail
