E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=ICP early=1 bars=31062 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  2061     -406  0.60    -908.5 |  1728  -1018.9 |   1577   -946.2 |     -216     -189 |    -1021 | fail
30  0    1   0.50 |  2061     -456  0.57    -908.5 |  1796  -1070.5 |   1577   -946.2 |     -248     -208 |    -1057 | fail
30  0    1   0.75 |  2061     -488  0.58    -908.5 |  1898  -1155.1 |   1577   -946.2 |     -244     -244 |    -1062 | fail
30  0    1   0.90 |  2061     -459  0.62    -908.5 |  1957  -1199.2 |   1577   -946.2 |     -269     -190 |    -1027 | fail
30  0    2   0.20 |  3128     -573  0.62    -908.5 |  2579  -1498.0 |   2321  -1392.6 |     -331     -242 |    -1511 | fail
30  0    2   0.50 |  3128     -686  0.57    -908.5 |  2699  -1581.4 |   2321  -1392.6 |     -390     -295 |    -1612 | fail
30  0    2   0.75 |  3128     -705  0.58    -908.5 |  2847  -1693.0 |   2321  -1392.6 |     -340     -365 |    -1608 | fail
30  0    2   0.90 |  3128     -706  0.60    -908.5 |  2943  -1772.7 |   2321  -1392.6 |     -365     -341 |    -1578 | fail
30  0    4   0.20 |  3589     -763  0.56    -908.5 |  2963  -1739.8 |   2671  -1602.6 |     -387     -375 |    -1810 | fail
30  0    4   0.50 |  3589     -726  0.60    -908.5 |  3105  -1827.4 |   2671  -1602.6 |     -325     -402 |    -1761 | fail
30  0    4   0.75 |  3589     -665  0.66    -908.5 |  3267  -1935.2 |   2671  -1602.6 |     -266     -398 |    -1677 | fail
30  0    4   0.90 |  3589     -657  0.68    -908.5 |  3376  -2040.9 |   2671  -1602.6 |     -291     -365 |    -1624 | fail
30  0    8   0.20 |  3277     -744  0.53    -908.5 |  2699  -1567.6 |   2416  -1449.6 |     -370     -374 |    -1731 | fail
30  0    8   0.50 |  3277     -702  0.57    -908.5 |  2815  -1635.7 |   2416  -1449.6 |     -330     -372 |    -1676 | fail
30  0    8   0.75 |  3277     -549  0.69    -908.5 |  2995  -1746.0 |   2416  -1449.6 |     -264     -285 |    -1518 | fail
30  0    8   0.90 |  3277     -496  0.73    -908.5 |  3093  -1827.8 |   2416  -1449.6 |     -235     -260 |    -1503 | fail
30  0    12  0.20 |  2951     -758  0.47    -908.5 |  2438  -1437.3 |   2181  -1308.6 |     -366     -392 |    -1625 | fail
30  0    12  0.50 |  2951     -750  0.50    -908.5 |  2550  -1503.1 |   2181  -1308.6 |     -361     -389 |    -1596 | fail
30  0    12  0.75 |  2951     -616  0.62    -908.5 |  2703  -1613.6 |   2181  -1308.6 |     -325     -291 |    -1553 | fail
30  0    12  0.90 |  2951     -606  0.64    -908.5 |  2811  -1703.3 |   2181  -1308.6 |     -309     -297 |    -1556 | fail
60  0    1   0.20 |  2061     -651  0.53    -908.5 |  1642  -1378.7 |   1411  -1269.9 |     -348     -303 |    -1259 | fail
60  0    1   0.50 |  2061     -730  0.50    -939.1 |  1730  -1453.6 |   1411  -1269.9 |     -389     -341 |    -1307 | fail
60  0    1   0.75 |  2061     -827  0.48    -939.1 |  1869  -1581.9 |   1411  -1269.9 |     -403     -424 |    -1350 | fail
60  0    1   0.90 |  2061     -794  0.51    -939.1 |  1937  -1632.4 |   1411  -1269.9 |     -431     -363 |    -1316 | fail
60  0    2   0.20 |  3128     -936  0.53    -908.5 |  2442  -1999.2 |   2038  -1834.2 |     -554     -382 |    -1867 | fail
60  0    2   0.50 |  3128    -1066  0.49    -939.1 |  2590  -2110.1 |   2038  -1834.2 |     -631     -434 |    -1979 | fail
60  0    2   0.75 |  3128    -1148  0.49    -939.1 |  2793  -2268.9 |   2038  -1834.2 |     -594     -554 |    -2025 | fail
60  0    2   0.90 |  3128    -1128  0.52    -939.1 |  2911  -2365.0 |   2038  -1834.2 |     -629     -499 |    -1982 | fail
60  0    4   0.20 |  3589    -1202  0.48    -908.5 |  2815  -2322.8 |   2343  -2108.7 |     -633     -569 |    -2237 | fail
60  0    4   0.50 |  3589    -1164  0.52    -939.1 |  2991  -2448.5 |   2343  -2108.7 |     -587     -577 |    -2183 | fail
60  0    4   0.75 |  3589    -1154  0.56    -939.1 |  3208  -2606.0 |   2343  -2108.7 |     -543     -612 |    -2130 | fail
60  0    4   0.90 |  3589    -1119  0.59    -939.1 |  3339  -2734.5 |   2343  -2108.7 |     -569     -550 |    -2055 | fail
60  0    8   0.20 |  3277    -1100  0.47    -908.5 |  2557  -2073.5 |   2088  -1879.2 |     -578     -521 |    -2099 | fail
60  0    8   0.50 |  3277    -1033  0.52    -939.1 |  2708  -2172.1 |   2088  -1879.2 |     -554     -479 |    -2007 | fail
60  0    8   0.75 |  3277     -877  0.62    -939.1 |  2940  -2316.4 |   2088  -1879.2 |     -497     -380 |    -1832 | fail
60  0    8   0.90 |  3277     -780  0.68    -939.1 |  3054  -2412.9 |   2088  -1879.2 |     -465     -315 |    -1800 | fail
60  0    12  0.20 |  2951    -1080  0.43    -908.5 |  2298  -1879.4 |   1859  -1673.1 |     -546     -534 |    -1942 | fail
60  0    12  0.50 |  2951    -1081  0.45    -939.1 |  2441  -1971.0 |   1859  -1673.1 |     -548     -533 |    -1879 | fail
60  0    12  0.75 |  2951     -901  0.57    -939.1 |  2659  -2120.5 |   1859  -1673.1 |     -470     -431 |    -1815 | fail
60  0    12  0.90 |  2951     -892  0.60    -939.1 |  2786  -2225.5 |   1859  -1673.1 |     -447     -445 |    -1817 | fail
