E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=LDO early=1 bars=34542 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  6543    -1017  0.68    -753.8 |  5367  -3178.5 |   4834  -2900.4 |     -515     -502 |    -2921 | fail
30  0    1   0.50 |  6543    -1210  0.64    -753.8 |  5578  -3323.6 |   4834  -2900.4 |     -568     -642 |    -3082 | fail
30  0    1   0.75 |  6543    -1192  0.66    -753.8 |  5838  -3496.8 |   4834  -2900.4 |     -583     -609 |    -3017 | fail
30  0    1   0.90 |  6543    -1129  0.68    -753.8 |  5920  -3563.1 |   4834  -2900.4 |     -565     -564 |    -2973 | fail
30  0    2   0.20 |  7209    -1300  0.62    -328.1 |  5910  -3447.6 |   5307  -3184.2 |     -636     -664 |    -3396 | fail
30  0    2   0.50 |  7209    -1526  0.58    -558.9 |  6160  -3605.2 |   5307  -3184.2 |     -722     -804 |    -3566 | fail
30  0    2   0.75 |  7209    -1502  0.61   -1984.4 |  6478  -3831.2 |   5307  -3184.2 |     -786     -716 |    -3502 | fail
30  0    2   0.90 |  7209    -1412  0.64   -1984.4 |  6582  -3915.1 |   5307  -3184.2 |     -760     -652 |    -3435 | fail
30  0    4   0.20 |  6861    -1345  0.60    -741.8 |  5667  -3330.2 |   5084  -3050.4 |     -712     -633 |    -3330 | fail
30  0    4   0.50 |  6861    -1531  0.56    -741.8 |  5922  -3479.4 |   5084  -3050.4 |     -808     -723 |    -3457 | fail
30  0    4   0.75 |  6861    -1507  0.60   -1984.4 |  6235  -3749.0 |   5084  -3050.4 |     -781     -725 |    -3375 | fail
30  0    4   0.90 |  6861    -1465  0.62   -1984.4 |  6349  -3840.9 |   5084  -3050.4 |     -769     -696 |    -3326 | fail
30  0    8   0.20 |  5611    -1041  0.62    -698.0 |  4617  -2722.6 |   4176  -2505.6 |     -543     -498 |    -2665 | fail
30  0    8   0.50 |  5611    -1165  0.59    -698.0 |  4814  -2854.8 |   4176  -2505.6 |     -600     -566 |    -2756 | fail
30  0    8   0.75 |  5611    -1249  0.59   -1984.4 |  5075  -3076.9 |   4176  -2505.6 |     -622     -627 |    -2810 | fail
30  0    8   0.90 |  5611    -1141  0.65   -1984.4 |  5226  -3213.9 |   4176  -2505.6 |     -601     -540 |    -2723 | fail
30  0    12  0.20 |  4532     -655  0.70    -741.8 |  3721  -2195.8 |   3382  -2029.2 |     -378     -277 |    -1962 | fail
30  0    12  0.50 |  4532     -794  0.66    -741.8 |  3906  -2331.8 |   3382  -2029.2 |     -406     -388 |    -2046 | fail
30  0    12  0.75 |  4532     -766  0.70   -1511.5 |  4112  -2526.6 |   3382  -2029.2 |     -340     -426 |    -2013 | fail
30  0    12  0.90 |  4532     -689  0.74   -1511.5 |  4237  -2610.8 |   3382  -2029.2 |     -260     -428 |    -1950 | fail
60  0    1   0.20 |  6543    -1741  0.60    -753.8 |  5135  -4299.1 |   4293  -3863.7 |     -930     -811 |    -3648 | fail
60  0    1   0.50 |  6543    -1982  0.56    -753.8 |  5390  -4471.6 |   4293  -3863.7 |    -1008     -974 |    -3857 | fail
60  0    1   0.75 |  6543    -1980  0.58    -753.8 |  5708  -4687.6 |   4293  -3863.7 |    -1024     -956 |    -3786 | fail
60  0    1   0.90 |  6543    -1897  0.60    -753.8 |  5813  -4770.4 |   4293  -3863.7 |     -987     -909 |    -3728 | fail
60  0    2   0.20 |  7209    -2123  0.54    -418.7 |  5642  -4629.2 |   4656  -4190.4 |    -1074    -1049 |    -4213 | fail
60  0    2   0.50 |  7209    -2394  0.50    -558.9 |  5943  -4820.9 |   4656  -4190.4 |    -1194    -1200 |    -4424 | fail
60  0    2   0.75 |  7209    -2406  0.53   -1984.4 |  6334  -5101.9 |   4656  -4190.4 |    -1294    -1112 |    -4366 | fail
60  0    2   0.90 |  7209    -2313  0.56   -1984.4 |  6468  -5205.8 |   4656  -4190.4 |    -1270    -1043 |    -4287 | fail
60  0    4   0.20 |  6861    -2080  0.53    -741.8 |  5402  -4453.3 |   4448  -4003.2 |    -1096     -985 |    -4070 | fail
60  0    4   0.50 |  6861    -2298  0.50    -741.8 |  5718  -4634.1 |   4448  -4003.2 |    -1217    -1082 |    -4234 | fail
60  0    4   0.75 |  6861    -2307  0.54   -1984.4 |  6112  -4962.2 |   4448  -4003.2 |    -1210    -1097 |    -4170 | fail
60  0    4   0.90 |  6861    -2217  0.56   -1984.4 |  6248  -5072.5 |   4448  -4003.2 |    -1156    -1061 |    -4086 | fail
60  0    8   0.20 |  5611    -1642  0.55    -698.0 |  4393  -3640.5 |   3631  -3267.9 |     -819     -822 |    -3283 | fail
60  0    8   0.50 |  5611    -1765  0.54    -698.0 |  4636  -3803.9 |   3631  -3267.9 |     -858     -907 |    -3373 | fail
60  0    8   0.75 |  5611    -1840  0.55   -1984.4 |  4959  -4068.6 |   3631  -3267.9 |     -863     -977 |    -3410 | fail
60  0    8   0.90 |  5611    -1721  0.59   -1984.4 |  5140  -4232.5 |   3631  -3267.9 |     -833     -888 |    -3304 | fail
60  0    12  0.20 |  4532    -1139  0.61    -741.8 |  3550  -2950.4 |   2941  -2646.9 |     -618     -521 |    -2431 | fail
60  0    12  0.50 |  4532    -1279  0.59    -741.8 |  3776  -3116.7 |   2941  -2646.9 |     -643     -637 |    -2510 | fail
60  0    12  0.75 |  4532    -1228  0.63   -1511.5 |  4025  -3349.7 |   2941  -2646.9 |     -543     -685 |    -2412 | fail
60  0    12  0.90 |  4532    -1142  0.67   -1511.5 |  4180  -3452.8 |   2941  -2646.9 |     -447     -695 |    -2328 | fail
