E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=LINK early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  5429     -936  0.64    -776.8 |  4336  -2576.2 |   3877  -2326.2 |     -463     -473 |    -2507 | fail
30  0    1   0.50 |  5429    -1155  0.58    -776.8 |  4563  -2735.6 |   3877  -2326.2 |     -661     -494 |    -2712 | fail
30  0    1   0.75 |  5429    -1163  0.60    -776.8 |  4850  -2936.8 |   3877  -2326.2 |     -656     -507 |    -2679 | fail
30  0    1   0.90 |  5429    -1088  0.64    -776.8 |  5001  -3038.5 |   3877  -2326.2 |     -608     -480 |    -2657 | fail
30  0    2   0.20 |  6952    -1422  0.57   -1034.9 |  5599  -3302.8 |   4987  -2992.2 |     -593     -829 |    -3455 | fail
30  0    2   0.50 |  6952    -1779  0.50   -1034.9 |  5900  -3530.9 |   4987  -2992.2 |     -927     -851 |    -3778 | fail
30  0    2   0.75 |  6952    -1851  0.51   -1034.9 |  6273  -3783.0 |   4987  -2992.2 |    -1007     -844 |    -3730 | fail
30  0    2   0.90 |  6952    -1725  0.56   -1034.9 |  6435  -3894.4 |   4987  -2992.2 |     -966     -759 |    -3684 | fail
30  0    4   0.20 |  7271    -1588  0.53    -361.8 |  5864  -3412.5 |   5190  -3114.0 |     -693     -896 |    -3697 | fail
30  0    4   0.50 |  7271    -1825  0.50    -729.1 |  6199  -3646.4 |   5190  -3114.0 |     -928     -897 |    -3899 | fail
30  0    4   0.75 |  7271    -1793  0.54    -729.1 |  6598  -3914.9 |   5190  -3114.0 |     -957     -835 |    -3760 | fail
30  0    4   0.90 |  7271    -1664  0.59    -729.1 |  6763  -4017.9 |   5190  -3114.0 |     -905     -759 |    -3686 | fail
30  0    8   0.20 |  6466    -1405  0.53    -361.8 |  5201  -3017.7 |   4576  -2745.6 |     -690     -715 |    -3285 | fail
30  0    8   0.50 |  6466    -1646  0.49    -729.1 |  5511  -3221.5 |   4576  -2745.6 |     -923     -723 |    -3489 | fail
30  0    8   0.75 |  6466    -1627  0.53    -729.1 |  5892  -3454.5 |   4576  -2745.6 |     -946     -681 |    -3388 | fail
30  0    8   0.90 |  6466    -1477  0.59    -729.1 |  6058  -3559.1 |   4576  -2745.6 |     -836     -641 |    -3298 | fail
30  0    12  0.20 |  5412    -1203  0.52    -420.2 |  4356  -2527.7 |   3835  -2301.0 |     -625     -578 |    -2764 | fail
30  0    12  0.50 |  5412    -1424  0.47    -729.1 |  4593  -2676.0 |   3835  -2301.0 |     -785     -639 |    -2935 | fail
30  0    12  0.75 |  5412    -1397  0.52    -729.1 |  4918  -2883.6 |   3835  -2301.0 |     -819     -578 |    -2818 | fail
30  0    12  0.90 |  5412    -1245  0.58    -729.1 |  5090  -2995.4 |   3835  -2301.0 |     -746     -499 |    -2810 | fail
60  0    1   0.20 |  5429    -1528  0.56    -776.8 |  4112  -3441.5 |   3398  -3058.2 |     -799     -729 |    -3082 | fail
60  0    1   0.50 |  5429    -1806  0.50    -776.8 |  4390  -3629.6 |   3398  -3058.2 |    -1025     -782 |    -3346 | fail
60  0    1   0.75 |  5429    -1873  0.52    -776.8 |  4753  -3889.8 |   3398  -3058.2 |    -1049     -824 |    -3342 | fail
60  0    1   0.90 |  5429    -1780  0.56    -776.8 |  4938  -4010.4 |   3398  -3058.2 |     -982     -799 |    -3322 | fail
60  0    2   0.20 |  6952    -2157  0.51   -1043.8 |  5309  -4384.9 |   4326  -3893.4 |    -1025    -1132 |    -4203 | fail
60  0    2   0.50 |  6952    -2577  0.45   -1043.8 |  5674  -4650.9 |   4326  -3893.4 |    -1404    -1173 |    -4592 | fail
60  0    2   0.75 |  6952    -2645  0.47   -1043.8 |  6132  -4957.2 |   4326  -3893.4 |    -1530    -1115 |    -4504 | fail
60  0    2   0.90 |  6952    -2501  0.51   -1043.8 |  6340  -5096.8 |   4326  -3893.4 |    -1473    -1028 |    -4445 | fail
60  0    4   0.20 |  7271    -2284  0.49    -437.0 |  5531  -4480.0 |   4439  -3995.1 |    -1071    -1213 |    -4385 | fail
60  0    4   0.50 |  7271    -2588  0.46    -729.1 |  5947  -4760.4 |   4439  -3995.1 |    -1367    -1221 |    -4683 | fail
60  0    4   0.75 |  7271    -2606  0.49    -805.7 |  6459  -5105.1 |   4439  -3995.1 |    -1433    -1173 |    -4559 | fail
60  0    4   0.90 |  7271    -2445  0.53    -805.7 |  6661  -5232.2 |   4439  -3995.1 |    -1364    -1080 |    -4481 | fail
60  0    8   0.20 |  6466    -2051  0.49    -437.0 |  4927  -3988.6 |   3942  -3547.8 |    -1061     -990 |    -3952 | fail
60  0    8   0.50 |  6466    -2419  0.43    -729.1 |  5308  -4244.1 |   3942  -3547.8 |    -1350    -1069 |    -4286 | fail
60  0    8   0.75 |  6466    -2438  0.46    -805.7 |  5777  -4534.7 |   3942  -3547.8 |    -1396    -1043 |    -4218 | fail
60  0    8   0.90 |  6466    -2274  0.51    -805.7 |  5984  -4672.3 |   3942  -3547.8 |    -1269    -1005 |    -4118 | fail
60  0    12  0.20 |  5412    -1697  0.49    -420.2 |  4107  -3297.3 |   3265  -2938.5 |     -910     -787 |    -3284 | fail
60  0    12  0.50 |  5412    -2021  0.42    -729.1 |  4405  -3491.3 |   3265  -2938.5 |    -1116     -905 |    -3547 | fail
60  0    12  0.75 |  5412    -1962  0.48    -729.1 |  4806  -3747.4 |   3265  -2938.5 |    -1154     -808 |    -3391 | fail
60  0    12  0.90 |  5412    -1799  0.54    -729.1 |  5026  -3891.7 |   3265  -2938.5 |    -1074     -726 |    -3391 | fail
