E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=LTC early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 | 10293    -2924  0.41   -1221.5 |  8586  -4932.7 |   7512  -4507.2 |    -1434    -1490 |    -5962 | fail
30  0    1   0.50 | 10290    -3198  0.38   -1221.5 |  9016  -5147.4 |   7512  -4507.2 |    -1587    -1611 |    -6134 | fail
30  0    1   0.75 | 10289    -3170  0.40   -1221.5 |  9347  -5318.9 |   7512  -4507.2 |    -1590    -1580 |    -6067 | fail
30  0    1   0.90 | 10289    -3085  0.42   -1221.5 |  9391  -5349.0 |   7512  -4507.2 |    -1552    -1532 |    -6027 | fail
30  0    2   0.20 | 10620    -3071  0.39   -1221.5 |  8859  -5071.4 |   7701  -4620.6 |    -1523    -1548 |    -6176 | fail
30  0    2   0.50 | 10617    -3341  0.37   -1221.5 |  9314  -5296.5 |   7701  -4620.6 |    -1635    -1706 |    -6338 | fail
30  0    2   0.75 | 10617    -3315  0.40   -1221.5 |  9670  -5486.4 |   7701  -4620.6 |    -1585    -1729 |    -6252 | fail
30  0    2   0.90 | 10617    -3241  0.41   -1221.5 |  9728  -5525.2 |   7701  -4620.6 |    -1534    -1707 |    -6214 | fail
30  0    4   0.20 | 10165    -2976  0.39   -1221.5 |  8536  -4876.9 |   7415  -4449.0 |    -1455    -1521 |    -5957 | fail
30  0    4   0.50 | 10160    -3317  0.35   -1221.5 |  8957  -5103.6 |   7415  -4449.0 |    -1653    -1664 |    -6214 | fail
30  0    4   0.75 | 10159    -3287  0.38   -1221.5 |  9329  -5301.9 |   7415  -4449.0 |    -1590    -1696 |    -6121 | fail
30  0    4   0.90 | 10159    -3218  0.40   -1221.5 |  9426  -5362.0 |   7415  -4449.0 |    -1538    -1680 |    -6064 | fail
30  0    8   0.20 |  8222    -2245  0.42    -759.5 |  6863  -3880.9 |   5966  -3579.6 |    -1049    -1196 |    -4645 | fail
30  0    8   0.50 |  8222    -2595  0.37    -759.5 |  7236  -4093.9 |   5966  -3579.6 |    -1274    -1321 |    -4913 | fail
30  0    8   0.75 |  8220    -2552  0.41    -759.5 |  7608  -4300.6 |   5966  -3579.6 |    -1175    -1377 |    -4844 | fail
30  0    8   0.90 |  8220    -2455  0.44    -759.5 |  7728  -4381.5 |   5966  -3579.6 |    -1148    -1307 |    -4777 | fail
30  0    12  0.20 |  7031    -1914  0.42    -970.8 |  5847  -3307.6 |   5087  -3052.2 |     -915     -999 |    -3979 | fail
30  0    12  0.50 |  7031    -2282  0.35    -970.8 |  6159  -3485.8 |   5087  -3052.2 |    -1154    -1127 |    -4279 | fail
30  0    12  0.75 |  7031    -2428  0.34    -970.8 |  6504  -3681.2 |   5087  -3052.2 |    -1225    -1204 |    -4388 | fail
30  0    12  0.90 |  7031    -2389  0.37    -970.8 |  6656  -3780.6 |   5087  -3052.2 |    -1159    -1230 |    -4309 | fail
60  0    1   0.20 | 10293    -4001  0.38   -1221.5 |  8090  -6434.7 |   6340  -5706.0 |    -2072    -1929 |    -7047 | fail
60  0    1   0.50 | 10290    -4365  0.35   -1221.5 |  8658  -6717.4 |   6340  -5706.0 |    -2261    -2105 |    -7277 | fail
60  0    1   0.75 | 10289    -4350  0.37   -1221.5 |  9111  -6948.5 |   6340  -5706.0 |    -2256    -2095 |    -7191 | fail
60  0    1   0.90 | 10289    -4238  0.39   -1221.5 |  9169  -6987.4 |   6340  -5706.0 |    -2212    -2027 |    -7140 | fail
60  0    2   0.20 | 10620    -4213  0.36   -1221.5 |  8381  -6617.8 |   6481  -5832.9 |    -2190    -2023 |    -7318 | fail
60  0    2   0.50 | 10617    -4581  0.34   -1221.5 |  8968  -6899.4 |   6481  -5832.9 |    -2340    -2241 |    -7574 | fail
