E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=MANA early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  4536     -815  0.61    -779.1 |  3670  -2116.3 |   3241  -1944.6 |     -399     -416 |    -2142 | fail
30  0    1   0.50 |  4536     -929  0.58    -779.1 |  3840  -2224.2 |   3241  -1944.6 |     -424     -505 |    -2212 | fail
30  0    1   0.75 |  4536     -829  0.65    -779.1 |  4055  -2348.7 |   3241  -1944.6 |     -327     -502 |    -2081 | fail
30  0    1   0.90 |  4536     -788  0.67    -779.1 |  4138  -2394.7 |   3241  -1944.6 |     -303     -485 |    -2053 | fail
30  0    2   0.20 |  5462    -1152  0.54    -341.5 |  4413  -2524.6 |   3877  -2326.2 |     -629     -524 |    -2753 | fail
30  0    2   0.50 |  5462    -1201  0.55   -1030.4 |  4633  -2660.8 |   3877  -2326.2 |     -672     -529 |    -2757 | fail
30  0    2   0.75 |  5462    -1150  0.60   -1052.0 |  4911  -2853.7 |   3877  -2326.2 |     -673     -477 |    -2667 | fail
30  0    2   0.90 |  5462    -1104  0.62   -1052.0 |  5011  -2915.3 |   3877  -2326.2 |     -627     -477 |    -2639 | fail
30  0    4   0.20 |  5387    -1012  0.59    -779.1 |  4338  -2492.1 |   3794  -2276.4 |     -543     -469 |    -2604 | fail
30  0    4   0.50 |  5387    -1107  0.58   -1030.4 |  4563  -2620.0 |   3794  -2276.4 |     -706     -401 |    -2645 | fail
30  0    4   0.75 |  5387    -1046  0.62   -1030.4 |  4850  -2786.1 |   3794  -2276.4 |     -719     -326 |    -2537 | fail
30  0    4   0.90 |  5387    -1006  0.65   -1030.4 |  4950  -2848.0 |   3794  -2276.4 |     -700     -306 |    -2511 | fail
30  0    8   0.20 |  4462     -899  0.56    -282.4 |  3554  -2046.4 |   3138  -1882.8 |     -428     -471 |    -2206 | fail
30  0    8   0.50 |  4462    -1145  0.47   -1030.4 |  3768  -2152.7 |   3138  -1882.8 |     -611     -533 |    -2437 | fail
30  0    8   0.75 |  4462    -1018  0.56   -1030.4 |  4027  -2295.9 |   3138  -1882.8 |     -567     -451 |    -2300 | fail
30  0    8   0.90 |  4462    -1050  0.56   -1030.4 |  4157  -2363.0 |   3138  -1882.8 |     -570     -480 |    -2315 | fail
30  0    12  0.20 |  3833     -826  0.53    -779.1 |  3075  -1762.2 |   2668  -1600.8 |     -426     -399 |    -1952 | fail
30  0    12  0.50 |  3833    -1038  0.44    -779.1 |  3231  -1845.1 |   2668  -1600.8 |     -561     -477 |    -2170 | fail
30  0    12  0.75 |  3833    -1075  0.47    -779.1 |  3488  -2015.6 |   2668  -1600.8 |     -585     -490 |    -2148 | fail
30  0    12  0.90 |  3833    -1098  0.47    -779.1 |  3601  -2080.3 |   2668  -1600.8 |     -588     -510 |    -2177 | fail
60  0    1   0.20 |  4536    -1244  0.56    -779.1 |  3472  -2805.0 |   2818  -2536.2 |     -613     -632 |    -2564 | fail
60  0    1   0.50 |  4536    -1396  0.53    -779.1 |  3701  -2949.9 |   2818  -2536.2 |     -662     -734 |    -2633 | fail
60  0    1   0.75 |  4536    -1283  0.59    -779.1 |  3967  -3099.4 |   2818  -2536.2 |     -563     -719 |    -2471 | fail
60  0    1   0.90 |  4536    -1233  0.61    -779.1 |  4060  -3152.3 |   2818  -2536.2 |     -536     -697 |    -2442 | fail
60  0    2   0.20 |  5462    -1654  0.50    -351.4 |  4182  -3311.0 |   3301  -2970.9 |     -894     -760 |    -3265 | fail
60  0    2   0.50 |  5462    -1661  0.52   -1030.4 |  4465  -3486.9 |   3301  -2970.9 |     -910     -750 |    -3214 | fail
60  0    2   0.75 |  5462    -1623  0.56   -1052.0 |  4813  -3720.5 |   3301  -2970.9 |     -938     -684 |    -3131 | fail
60  0    2   0.90 |  5462    -1564  0.59   -1052.0 |  4930  -3803.2 |   3301  -2970.9 |     -883     -681 |    -3102 | fail
60  0    4   0.20 |  5387    -1529  0.53    -779.1 |  4123  -3255.3 |   3234  -2910.6 |     -797     -732 |    -3128 | fail
60  0    4   0.50 |  5387    -1628  0.52   -1030.4 |  4404  -3412.0 |   3234  -2910.6 |    -1006     -622 |    -3154 | fail
60  0    4   0.75 |  5387    -1567  0.57   -1030.4 |  4765  -3617.3 |   3234  -2910.6 |    -1035     -532 |    -3032 | fail
60  0    4   0.90 |  5387    -1526  0.59   -1030.4 |  4880  -3690.2 |   3234  -2910.6 |    -1014     -511 |    -3003 | fail
60  0    8   0.20 |  4462    -1268  0.52    -351.4 |  3347  -2667.5 |   2655  -2389.5 |     -577     -691 |    -2585 | fail
60  0    8   0.50 |  4462    -1547  0.45   -1030.4 |  3620  -2805.2 |   2655  -2389.5 |     -808     -740 |    -2841 | fail
60  0    8   0.75 |  4462    -1394  0.53   -1030.4 |  3938  -2977.9 |   2655  -2389.5 |     -778     -616 |    -2663 | fail
60  0    8   0.90 |  4462    -1445  0.53   -1212.0 |  4093  -3075.9 |   2655  -2389.5 |     -794     -651 |    -2714 | fail
60  0    12  0.20 |  3833    -1154  0.50    -779.1 |  2908  -2291.5 |   2267  -2040.3 |     -557     -597 |    -2304 | fail
60  0    12  0.50 |  3833    -1416  0.41    -779.1 |  3105  -2399.7 |   2267  -2040.3 |     -717     -699 |    -2575 | fail
60  0    12  0.75 |  3833    -1480  0.43    -779.1 |  3419  -2599.8 |   2267  -2040.3 |     -753     -727 |    -2559 | fail
60  0    12  0.90 |  3833    -1508  0.44    -779.1 |  3555  -2685.1 |   2267  -2040.3 |     -756     -752 |    -2596 | fail
