E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=NEAR early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 | 12538    -2697  0.56   -1067.9 | 10430  -6178.3 |   9506  -5703.6 |    -1478    -1219 |    -6341 | fail
30  0    1   0.50 | 12538    -3046  0.53   -1067.9 | 10793  -6471.0 |   9506  -5703.6 |    -1660    -1387 |    -6631 | fail
30  0    1   0.75 | 12538    -2937  0.56   -1067.9 | 11163  -6749.2 |   9506  -5703.6 |    -1663    -1275 |    -6388 | fail
30  0    1   0.90 | 12538    -2815  0.59   -1511.5 | 11234  -6833.5 |   9506  -5703.6 |    -1608    -1207 |    -6308 | fail
30  0    2   0.20 | 12312    -2470  0.59   -1067.9 | 10155  -5976.9 |   9235  -5541.0 |    -1280    -1190 |    -6060 | fail
30  0    2   0.50 | 12312    -2859  0.55   -1067.9 | 10568  -6295.8 |   9235  -5541.0 |    -1522    -1337 |    -6413 | fail
30  0    2   0.75 | 12312    -2773  0.58   -1067.9 | 11016  -6631.1 |   9235  -5541.0 |    -1496    -1277 |    -6190 | fail
30  0    2   0.90 | 12312    -2695  0.60   -1308.4 | 11142  -6759.2 |   9235  -5541.0 |    -1457    -1238 |    -6096 | fail
30  0    4   0.20 | 11388    -2205  0.60    -418.0 |  9293  -5475.4 |   8437  -5062.2 |    -1222     -982 |    -5520 | fail
30  0    4   0.50 | 11388    -2458  0.57    -951.5 |  9679  -5761.2 |   8437  -5062.2 |    -1327    -1131 |    -5755 | fail
30  0    4   0.75 | 11388    -2327  0.62    -951.5 | 10208  -6155.3 |   8437  -5062.2 |    -1294    -1033 |    -5515 | fail
30  0    4   0.90 | 11388    -2199  0.65   -1308.4 | 10390  -6322.0 |   8437  -5062.2 |    -1254     -945 |    -5428 | fail
30  0    8   0.20 |  9210    -1689  0.62    -944.9 |  7478  -4430.4 |   6734  -4040.4 |    -1006     -684 |    -4345 | fail
