E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=OP early=1 bars=36190 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  9157    -1974  0.56    -937.7 |  7650  -4485.4 |   6921  -4152.6 |     -818    -1156 |    -4688 | fail
30  0    1   0.50 |  9157    -2141  0.54    -937.7 |  7926  -4643.5 |   6921  -4152.6 |     -886    -1255 |    -4819 | fail
30  0    1   0.75 |  9157    -2071  0.57    -937.7 |  8182  -4810.8 |   6921  -4152.6 |     -849    -1222 |    -4684 | fail
30  0    1   0.90 |  9157    -1943  0.60    -937.7 |  8227  -4843.7 |   6921  -4152.6 |     -781    -1162 |    -4627 | fail
30  0    2   0.20 |  9017    -2037  0.54    -974.9 |  7482  -4400.3 |   6753  -4051.8 |     -895    -1142 |    -4691 | fail
30  0    2   0.50 |  9017    -2194  0.52    -974.9 |  7740  -4543.8 |   6753  -4051.8 |     -959    -1235 |    -4843 | fail
30  0    2   0.75 |  9017    -2134  0.55    -974.9 |  8076  -4758.0 |   6753  -4051.8 |     -948    -1186 |    -4746 | fail
30  0    2   0.90 |  9017    -2097  0.57    -974.9 |  8162  -4833.3 |   6753  -4051.8 |     -933    -1165 |    -4737 | fail
30  0    4   0.20 |  8283    -1662  0.58    -888.5 |  6812  -3957.9 |   6071  -3642.6 |     -619    -1043 |    -4079 | fail
30  0    4   0.50 |  8283    -1855  0.55    -888.5 |  7102  -4138.4 |   6071  -3642.6 |     -702    -1153 |    -4247 | fail
30  0    4   0.75 |  8283    -1737  0.60    -992.3 |  7469  -4386.8 |   6071  -3642.6 |     -647    -1090 |    -4100 | fail
30  0    4   0.90 |  8283    -1634  0.64    -992.3 |  7595  -4484.7 |   6071  -3642.6 |     -572    -1062 |    -4048 | fail
30  0    8   0.20 |  6575    -1370  0.57    -888.5 |  5429  -3176.5 |   4890  -2934.0 |     -559     -811 |    -3287 | fail
30  0    8   0.50 |  6575    -1489  0.55    -888.5 |  5670  -3330.2 |   4890  -2934.0 |     -598     -890 |    -3367 | fail
30  0    8   0.75 |  6575    -1321  0.62    -888.5 |  5976  -3520.2 |   4890  -2934.0 |     -664     -657 |    -3201 | fail
30  0    8   0.90 |  6575    -1203  0.67    -888.5 |  6136  -3658.8 |   4890  -2934.0 |     -585     -617 |    -3181 | fail
30  0    12  0.20 |  5445    -1048  0.60    -888.5 |  4482  -2621.9 |   4027  -2416.2 |     -457     -591 |    -2613 | fail
30  0    12  0.50 |  5445    -1110  0.59    -888.5 |  4667  -2732.1 |   4027  -2416.2 |     -442     -668 |    -2664 | fail
30  0    12  0.75 |  5445     -919  0.69    -888.5 |  4951  -2924.8 |   4027  -2416.2 |     -361     -558 |    -2427 | fail
