E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=RUNE early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  4970     -732  0.69   -1027.5 |  3957  -2390.1 |   3437  -2062.2 |     -247     -485 |    -2138 | fail
30  0    1   0.50 |  4970     -811  0.68   -1308.0 |  4167  -2571.8 |   3437  -2062.2 |     -295     -516 |    -2248 | fail
30  0    1   0.75 |  4970     -770  0.72   -1308.0 |  4407  -2737.5 |   3437  -2062.2 |     -233     -537 |    -2143 | fail
30  0    1   0.90 |  4970     -657  0.76   -1308.0 |  4493  -2786.3 |   3437  -2062.2 |     -180     -477 |    -2075 | fail
30  0    2   0.20 |  5895     -873  0.69   -1027.5 |  4688  -2777.4 |   4067  -2440.2 |     -256     -617 |    -2531 | fail
30  0    2   0.50 |  5895     -906  0.69   -1308.0 |  4942  -2966.0 |   4067  -2440.2 |     -318     -588 |    -2605 | fail
30  0    2   0.75 |  5895     -822  0.74   -1308.0 |  5225  -3174.5 |   4067  -2440.2 |     -172     -650 |    -2445 | fail
30  0    2   0.90 |  5895     -752  0.77   -1617.5 |  5321  -3274.6 |   4067  -2440.2 |     -147     -606 |    -2421 | fail
30  0    4   0.20 |  5513     -853  0.67    -916.1 |  4372  -2573.7 |   3751  -2250.6 |     -267     -586 |    -2393 | fail
30  0    4   0.50 |  5513     -828  0.70    -916.1 |  4604  -2721.6 |   3751  -2250.6 |     -242     -586 |    -2345 | fail
30  0    4   0.75 |  5513     -745  0.74    -916.1 |  4888  -2910.9 |   3751  -2250.6 |     -125     -619 |    -2232 | fail
30  0    4   0.90 |  5513     -638  0.79    -916.1 |  4981  -2986.6 |   3751  -2250.6 |      -71     -568 |    -2170 | fail
30  0    8   0.20 |  4552     -816  0.62   -1027.5 |  3596  -2137.1 |   3070  -1842.0 |     -361     -456 |    -2079 | fail
30  0    8   0.50 |  4552     -697  0.69   -1308.0 |  3812  -2283.3 |   3070  -1842.0 |     -242     -455 |    -1974 | fail
30  0    8   0.75 |  4550     -517  0.79   -1308.0 |  4060  -2430.3 |   3070  -1842.0 |      -14     -503 |    -1767 | fail
30  0    8   0.90 |  4550     -384  0.85   -1308.0 |  4170  -2500.7 |   3070  -1842.0 |      +83     -467 |    -1731 | fail
30  0    12  0.20 |  3848     -489  0.73   -1027.5 |  2999  -1809.5 |   2578  -1546.8 |     -202     -288 |    -1593 | fail
30  0    12  0.50 |  3848     -547  0.72   -1308.0 |  3170  -1958.2 |   2578  -1546.8 |     -187     -359 |    -1633 | fail
30  0    12  0.75 |  3848     -612  0.71   -1308.0 |  3433  -2136.7 |   2578  -1546.8 |     -179     -433 |    -1610 | fail
30  0    12  0.90 |  3848     -587  0.74   -1617.5 |  3539  -2259.5 |   2578  -1546.8 |     -192     -396 |    -1643 | fail
60  0    1   0.20 |  4970    -1139  0.63   -1027.5 |  3723  -3094.9 |   2956  -2660.4 |     -390     -749 |    -2546 | fail
60  0    1   0.50 |  4970    -1214  0.63   -1308.0 |  4003  -3317.6 |   2956  -2660.4 |     -440     -774 |    -2661 | fail
60  0    1   0.75 |  4970    -1162  0.67   -1308.0 |  4302  -3524.2 |   2956  -2660.4 |     -392     -770 |    -2542 | fail
