E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=SOL early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  5671     -782  0.72   -1333.8 |  4627  -2746.1 |   4220  -2532.0 |      -82     -700 |    -2442 | fail
30  0    1   0.50 |  5671     -943  0.68   -1333.8 |  4847  -2904.8 |   4220  -2532.0 |     -151     -792 |    -2599 | fail
30  0    1   0.75 |  5671     -965  0.69   -1333.8 |  5123  -3105.5 |   4220  -2532.0 |     -168     -796 |    -2595 | fail
30  0    1   0.90 |  5671     -833  0.74   -1333.8 |  5259  -3217.5 |   4220  -2532.0 |     -155     -678 |    -2492 | fail
30  0    2   0.20 |  7330    -1067  0.70    -722.8 |  5991  -3503.0 |   5411  -3246.6 |      -84     -983 |    -3227 | fail
30  0    2   0.50 |  7330    -1188  0.68    -722.8 |  6266  -3703.0 |   5411  -3246.6 |     -181    -1007 |    -3324 | fail
30  0    2   0.75 |  7330    -1092  0.72    -832.8 |  6590  -3895.9 |   5411  -3246.6 |     -169     -923 |    -3259 | fail
30  0    2   0.90 |  7330    -1006  0.75   -1141.8 |  6747  -4022.1 |   5411  -3246.6 |     -118     -888 |    -3159 | fail
30  0    4   0.20 |  7660    -1240  0.66    -722.8 |  6217  -3626.9 |   5561  -3336.6 |     -259     -981 |    -3475 | fail
30  0    4   0.50 |  7660    -1414  0.63    -722.8 |  6502  -3819.8 |   5561  -3336.6 |     -468     -947 |    -3613 | fail
30  0    4   0.75 |  7660    -1334  0.67    -832.8 |  6891  -4081.6 |   5561  -3336.6 |     -430     -904 |    -3546 | fail
30  0    4   0.90 |  7660    -1199  0.72    -832.8 |  7087  -4233.8 |   5561  -3336.6 |     -397     -801 |    -3409 | fail
30  0    8   0.20 |  6520     -939  0.70    -394.6 |  5256  -3079.7 |   4712  -2827.2 |      -99     -840 |    -2840 | fail
30  0    8   0.50 |  6520    -1209  0.63    -622.0 |  5507  -3255.6 |   4712  -2827.2 |     -365     -844 |    -3097 | fail
30  0    8   0.75 |  6520    -1240  0.64    -832.8 |  5862  -3484.9 |   4712  -2827.2 |     -384     -856 |    -3133 | fail
30  0    8   0.90 |  6520    -1122  0.69    -942.8 |  6072  -3659.9 |   4712  -2827.2 |     -373     -749 |    -3040 | fail
30  0    12  0.20 |  5612     -852  0.68    -394.6 |  4524  -2638.4 |   4056  -2433.6 |     -148     -704 |    -2508 | fail
30  0    12  0.50 |  5612    -1143  0.59    -394.6 |  4751  -2781.5 |   4056  -2433.6 |     -459     -683 |    -2766 | fail
30  0    12  0.75 |  5612    -1190  0.60    -832.8 |  5050  -2980.4 |   4056  -2433.6 |     -565     -625 |    -2796 | fail
30  0    12  0.90 |  5612    -1166  0.63    -942.8 |  5260  -3162.7 |   4056  -2433.6 |     -609     -557 |    -2742 | fail
60  0    1   0.20 |  5671    -1338  0.64   -1333.8 |  4380  -3699.5 |   3743  -3368.7 |     -389     -949 |    -3009 | fail
60  0    1   0.50 |  5671    -1480  0.62   -1333.8 |  4658  -3902.5 |   3743  -3368.7 |     -418    -1062 |    -3129 | fail
60  0    1   0.75 |  5671    -1493  0.64   -1333.8 |  5001  -4150.6 |   3743  -3368.7 |     -478    -1015 |    -3109 | fail
60  0    1   0.90 |  5671    -1378  0.68   -1333.8 |  5178  -4300.3 |   3743  -3368.7 |     -476     -902 |    -3002 | fail
60  0    2   0.20 |  7330    -1852  0.60    -722.8 |  5684  -4687.1 |   4733  -4259.7 |     -514    -1338 |    -3989 | fail
60  0    2   0.50 |  7330    -2018  0.59    -722.8 |  6040  -4951.1 |   4733  -4259.7 |     -670    -1349 |    -4094 | fail
60  0    2   0.75 |  7330    -1942  0.63    -832.8 |  6447  -5187.3 |   4733  -4259.7 |     -704    -1238 |    -4026 | fail
60  0    2   0.90 |  7330    -1819  0.66   -1141.8 |  6639  -5342.0 |   4733  -4259.7 |     -628    -1191 |    -3892 | fail
60  0    4   0.20 |  7660    -1982  0.59    -722.8 |  5884  -4810.2 |   4811  -4329.9 |     -687    -1296 |    -4185 | fail
60  0    4   0.50 |  7660    -2167  0.57    -722.8 |  6245  -5067.0 |   4811  -4329.9 |     -943    -1224 |    -4315 | fail
60  0    4   0.75 |  7660    -2149  0.60    -832.8 |  6744  -5408.7 |   4811  -4329.9 |     -961    -1188 |    -4279 | fail
60  0    4   0.90 |  7660    -2009  0.64    -832.8 |  6976  -5588.3 |   4811  -4329.9 |     -924    -1086 |    -4123 | fail
60  0    8   0.20 |  6520    -1566  0.62    -394.6 |  4976  -4085.2 |   4091  -3681.9 |     -456    -1110 |    -3442 | fail
60  0    8   0.50 |  6520    -1905  0.56    -637.5 |  5294  -4321.6 |   4091  -3681.9 |     -792    -1113 |    -3759 | fail
60  0    8   0.75 |  6520    -1973  0.57    -832.8 |  5730  -4611.8 |   4091  -3681.9 |     -873    -1100 |    -3839 | fail
60  0    8   0.90 |  6520    -1848  0.62    -942.8 |  5980  -4815.2 |   4091  -3681.9 |     -863     -985 |    -3733 | fail
60  0    12  0.20 |  5612    -1316  0.62    -394.6 |  4269  -3490.1 |   3501  -3150.9 |     -411     -906 |    -2936 | fail
60  0    12  0.50 |  5612    -1589  0.57    -394.6 |  4559  -3671.6 |   3501  -3150.9 |     -699     -889 |    -3184 | fail
60  0    12  0.75 |  5612    -1647  0.58    -832.8 |  4931  -3920.3 |   3501  -3150.9 |     -832     -815 |    -3204 | fail
60  0    12  0.90 |  5612    -1597  0.61    -942.8 |  5181  -4128.2 |   3501  -3150.9 |     -876     -721 |    -3125 | fail
