E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=SUSHI early=1 bars=31062 thr=1.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  3497     -564  0.66    -788.4 |  2849  -1669.7 |   2545  -1527.0 |     -390     -173 |    -1584 | fail
30  0    1   0.50 |  3497     -675  0.62    -788.4 |  2970  -1761.0 |   2545  -1527.0 |     -373     -302 |    -1727 | fail
30  0    1   0.75 |  3497     -727  0.62   -1064.5 |  3172  -1902.7 |   2545  -1527.0 |     -387     -340 |    -1695 | fail
30  0    1   0.90 |  3497     -711  0.64   -1064.5 |  3260  -1969.9 |   2545  -1527.0 |     -338     -373 |    -1671 | fail
30  0    2   0.20 |  4438     -882  0.58    -788.4 |  3607  -2112.6 |   3230  -1938.0 |     -532     -350 |    -2160 | fail
30  0    2   0.50 |  4438    -1005  0.55    -788.4 |  3792  -2229.0 |   3230  -1938.0 |     -573     -432 |    -2296 | fail
30  0    2   0.75 |  4438    -1028  0.57   -1064.5 |  4035  -2405.4 |   3230  -1938.0 |     -546     -482 |    -2250 | fail
30  0    2   0.90 |  4438     -986  0.60   -1064.5 |  4137  -2463.4 |   3230  -1938.0 |     -523     -464 |    -2196 | fail
30  0    4   0.20 |  4785     -861  0.62    -605.5 |  3897  -2271.2 |   3477  -2086.2 |     -559     -302 |    -2255 | fail
30  0    4   0.50 |  4785    -1049  0.56    -648.6 |  4096  -2393.3 |   3477  -2086.2 |     -670     -378 |    -2455 | fail
30  0    4   0.75 |  4785     -961  0.63   -1064.5 |  4342  -2581.3 |   3477  -2086.2 |     -681     -280 |    -2332 | fail
30  0    4   0.90 |  4785     -897  0.66   -1064.5 |  4460  -2667.9 |   3477  -2086.2 |     -662     -236 |    -2276 | fail
30  0    8   0.20 |  4112     -751  0.62    -346.9 |  3369  -1968.2 |   2968  -1780.8 |     -536     -215 |    -1951 | fail
30  0    8   0.50 |  4112     -854  0.58    -648.6 |  3522  -2049.9 |   2968  -1780.8 |     -667     -187 |    -2037 | fail
30  0    8   0.75 |  4112     -822  0.62   -1064.5 |  3733  -2188.3 |   2968  -1780.8 |     -686     -136 |    -1975 | fail
30  0    8   0.90 |  4112     -833  0.63   -1064.5 |  3849  -2267.4 |   2968  -1780.8 |     -691     -142 |    -1996 | fail
30  0    12  0.20 |  3539     -642  0.62    -788.4 |  2917  -1672.8 |   2545  -1527.0 |     -410     -232 |    -1670 | fail
30  0    12  0.50 |  3539     -728  0.58    -788.4 |  3058  -1740.9 |   2545  -1527.0 |     -512     -216 |    -1733 | fail
30  0    12  0.75 |  3539     -586  0.68   -1064.5 |  3211  -1840.7 |   2545  -1527.0 |     -482     -104 |    -1551 | fail
30  0    12  0.90 |  3539     -549  0.71   -1064.5 |  3315  -1902.7 |   2545  -1527.0 |     -480      -69 |    -1549 | fail
60  0    1   0.20 |  3497     -952  0.57    -788.4 |  2691  -2237.2 |   2238  -2014.2 |     -601     -350 |    -1969 | fail
60  0    1   0.50 |  3497    -1039  0.56    -788.4 |  2849  -2349.6 |   2238  -2014.2 |     -569     -470 |    -2095 | fail
60  0    1   0.75 |  3497    -1061  0.58   -1064.5 |  3100  -2517.5 |   2238  -2014.2 |     -569     -491 |    -2055 | fail
60  0    1   0.90 |  3497    -1025  0.61   -1064.5 |  3210  -2601.6 |   2238  -2014.2 |     -501     -524 |    -2025 | fail
60  0    2   0.20 |  4438    -1373  0.51    -788.4 |  3422  -2817.6 |   2815  -2533.5 |     -800     -574 |    -2623 | fail
60  0    2   0.50 |  4438    -1537  0.48    -788.4 |  3651  -2955.0 |   2815  -2533.5 |     -877     -660 |    -2808 | fail
60  0    2   0.75 |  4438    -1560  0.51   -1064.5 |  3950  -3161.7 |   2815  -2533.5 |     -847     -713 |    -2733 | fail
60  0    2   0.90 |  4438    -1500  0.54   -1064.5 |  4076  -3236.0 |   2815  -2533.5 |     -814     -686 |    -2671 | fail
60  0    4   0.20 |  4785    -1408  0.53    -605.5 |  3688  -3014.9 |   2993  -2693.7 |     -870     -538 |    -2803 | fail
60  0    4   0.50 |  4785    -1643  0.48    -648.6 |  3943  -3169.5 |   2993  -2693.7 |    -1019     -624 |    -3053 | fail
60  0    4   0.75 |  4785    -1552  0.54   -1064.5 |  4253  -3391.6 |   2993  -2693.7 |    -1049     -503 |    -2925 | fail
60  0    4   0.90 |  4785    -1470  0.58   -1064.5 |  4399  -3503.2 |   2993  -2693.7 |    -1015     -455 |    -2852 | fail
60  0    8   0.20 |  4112    -1193  0.54    -554.8 |  3183  -2602.7 |   2556  -2300.4 |     -737     -456 |    -2392 | fail
60  0    8   0.50 |  4112    -1355  0.50    -648.6 |  3388  -2714.1 |   2556  -2300.4 |     -906     -449 |    -2534 | fail
60  0    8   0.75 |  4112    -1344  0.53   -1064.5 |  3656  -2884.7 |   2556  -2300.4 |     -946     -397 |    -2500 | fail
60  0    8   0.90 |  4112    -1329  0.56   -1064.5 |  3798  -2993.5 |   2556  -2300.4 |     -932     -397 |    -2505 | fail
60  0    12  0.20 |  3539    -1048  0.53    -788.4 |  2764  -2223.3 |   2206  -1985.4 |     -592     -456 |    -2067 | fail
60  0    12  0.50 |  3539    -1182  0.49    -788.4 |  2946  -2319.4 |   2206  -1985.4 |     -732     -450 |    -2183 | fail
60  0    12  0.75 |  3539    -1010  0.59   -1064.5 |  3140  -2444.0 |   2206  -1985.4 |     -692     -318 |    -1997 | fail
60  0    12  0.90 |  3539     -938  0.63   -1064.5 |  3266  -2535.6 |   2206  -1985.4 |     -666     -272 |    -1971 | fail
