E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=TIA early=1 bars=23775 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  5207     -879  0.65    -955.8 |  4280  -2542.8 |   3888  -2332.8 |     -463     -416 |    -2412 | fail
30  0    1   0.50 |  5207     -907  0.66    -955.8 |  4435  -2652.7 |   3888  -2332.8 |     -495     -412 |    -2468 | fail
30  0    1   0.75 |  5207     -876  0.69    -955.8 |  4652  -2809.8 |   3888  -2332.8 |     -476     -401 |    -2381 | fail
30  0    1   0.90 |  5207     -782  0.73    -955.8 |  4723  -2866.7 |   3888  -2332.8 |     -424     -358 |    -2312 | fail
30  0    2   0.20 |  5465     -994  0.63    -955.8 |  4495  -2673.2 |   4076  -2445.6 |     -465     -528 |    -2585 | fail
30  0    2   0.50 |  5465    -1125  0.60    -955.8 |  4650  -2782.8 |   4076  -2445.6 |     -584     -540 |    -2749 | fail
30  0    2   0.75 |  5465    -1133  0.62    -955.8 |  4891  -2960.3 |   4076  -2445.6 |     -578     -555 |    -2715 | fail
30  0    2   0.90 |  5465    -1041  0.66    -955.8 |  4969  -3026.7 |   4076  -2445.6 |     -521     -521 |    -2658 | fail
30  0    4   0.20 |  4942     -797  0.67    -955.8 |  4076  -2420.6 |   3685  -2211.0 |     -344     -453 |    -2231 | fail
30  0    4   0.50 |  4942     -843  0.67    -955.8 |  4223  -2527.7 |   3685  -2211.0 |     -393     -451 |    -2312 | fail
30  0    4   0.75 |  4942     -683  0.75   -1001.2 |  4429  -2686.8 |   3685  -2211.0 |     -312     -371 |    -2112 | fail
30  0    4   0.90 |  4942     -604  0.78   -1001.2 |  4536  -2763.6 |   3685  -2211.0 |     -240     -364 |    -2074 | fail
30  0    8   0.20 |  4059     -723  0.64    -434.4 |  3356  -1989.1 |   3039  -1823.4 |     -307     -416 |    -1918 | fail
30  0    8   0.50 |  4059     -892  0.57    -636.1 |  3471  -2066.7 |   3039  -1823.4 |     -418     -473 |    -2123 | fail
30  0    8   0.75 |  4059     -900  0.59    -636.1 |  3663  -2201.5 |   3039  -1823.4 |     -479     -421 |    -2100 | fail
30  0    8   0.90 |  4059     -844  0.63    -636.1 |  3798  -2307.0 |   3039  -1823.4 |     -435     -410 |    -2082 | fail
30  0    12  0.20 |  3403     -592  0.65    -347.9 |  2798  -1686.2 |   2570  -1542.0 |     -184     -408 |    -1595 | fail
30  0    12  0.50 |  3403     -792  0.55    -636.1 |  2888  -1758.3 |   2570  -1542.0 |     -330     -462 |    -1842 | fail
30  0    12  0.75 |  3403     -818  0.57    -636.1 |  3060  -1891.0 |   2570  -1542.0 |     -398     -420 |    -1849 | fail
30  0    12  0.90 |  3403     -784  0.61    -636.1 |  3200  -2011.4 |   2570  -1542.0 |     -373     -411 |    -1805 | fail
60  0    1   0.20 |  5207    -1491  0.57    -955.8 |  4090  -3459.6 |   3487  -3138.3 |     -759     -732 |    -3029 | fail
60  0    1   0.50 |  5207    -1523  0.58    -955.8 |  4289  -3596.2 |   3487  -3138.3 |     -785     -738 |    -3088 | fail
60  0    1   0.75 |  5207    -1473  0.61    -955.8 |  4555  -3797.8 |   3487  -3138.3 |     -738     -736 |    -3000 | fail
60  0    1   0.90 |  5207    -1374  0.64    -955.8 |  4639  -3866.5 |   3487  -3138.3 |     -690     -684 |    -2925 | fail
60  0    2   0.20 |  5465    -1606  0.56    -955.8 |  4291  -3625.4 |   3620  -3258.0 |     -773     -833 |    -3190 | fail
60  0    2   0.50 |  5465    -1759  0.53    -955.8 |  4488  -3759.5 |   3620  -3258.0 |     -899     -860 |    -3349 | fail
60  0    2   0.75 |  5465    -1805  0.55    -955.8 |  4787  -3979.5 |   3620  -3258.0 |     -906     -899 |    -3324 | fail
60  0    2   0.90 |  5465    -1713  0.58    -955.8 |  4881  -4058.3 |   3620  -3258.0 |     -848     -864 |    -3265 | fail
60  0    4   0.20 |  4942    -1371  0.58    -955.8 |  3894  -3275.0 |   3268  -2941.2 |     -662     -710 |    -2813 | fail
60  0    4   0.50 |  4942    -1460  0.57    -955.8 |  4091  -3413.9 |   3268  -2941.2 |     -736     -724 |    -2927 | fail
60  0    4   0.75 |  4942    -1246  0.65   -1001.2 |  4338  -3597.4 |   3268  -2941.2 |     -622     -624 |    -2670 | fail
60  0    4   0.90 |  4942    -1160  0.69   -1001.2 |  4464  -3685.4 |   3268  -2941.2 |     -539     -620 |    -2615 | fail
60  0    8   0.20 |  4059    -1218  0.55    -504.0 |  3222  -2709.3 |   2704  -2433.6 |     -556     -662 |    -2430 | fail
60  0    8   0.50 |  4059    -1438  0.49    -636.1 |  3372  -2809.6 |   2704  -2433.6 |     -705     -734 |    -2666 | fail
60  0    8   0.75 |  4059    -1412  0.52    -636.1 |  3597  -2970.4 |   2704  -2433.6 |     -722     -690 |    -2598 | fail
60  0    8   0.90 |  4059    -1358  0.56    -636.1 |  3747  -3088.5 |   2704  -2433.6 |     -682     -676 |    -2577 | fail
60  0    12  0.20 |  3403     -987  0.57    -504.0 |  2672  -2286.4 |   2284  -2055.6 |     -369     -618 |    -1988 | fail
60  0    12  0.50 |  3403    -1236  0.48    -636.1 |  2788  -2380.8 |   2284  -2055.6 |     -545     -691 |    -2275 | fail
60  0    12  0.75 |  3403    -1231  0.52    -636.1 |  3000  -2546.6 |   2284  -2055.6 |     -605     -626 |    -2235 | fail
60  0    12  0.90 |  3403    -1200  0.55    -636.1 |  3157  -2680.1 |   2284  -2055.6 |     -590     -610 |    -2196 | fail
